activitat_,nom_abocam,Punt2
"GREEN PLANET EVENTS, SL","GREEN PLANET EVENTS, SL (SORTIDA TRACTAMENT SANITÀRIES)",38
URBANITACIO CAN CERDA,CAN CERDÀ (SORTIDA DEPURADORA) - Torrent de Can Cerdà,10
"SERRA BOSCH, ANNA (RESTAURANTE TRES PINS)","ABOC.RTE.EL POSTE TRES PINS, SL AL TORRENT FOGUERAR",41
"SÁNCHEZ REBELLES, MARIO (FINCA MONTMANY)",MARIO SÁNCHEZ REBELLES,60
AAVV SOL I AIRE (NUCLI URBÀ SOL I AIRE),AAVV SOL I AIRE (SORTIDA TRACTAMENT C FONT RICA 6),53
CAN BONDIA RESTAURANT SL,JACINTO VERDAGUER COLOMER (SORTIDA DEPURADORA),54
"CÀRNIQUES AUSA, SL","CÀRNIQUES AUSA, SL  (SORTIDA DEPURADORA EMPRESA)",36
ASS. ADM. DE COOPERACIÓ CAN CORTES SECTOR A,ASSOCIACIÓ ADM. CAN CORTÈS (SORTIDA TRACTAMENT),8
DIPUTACIÓ DE BARCELONA - MARQUET DE LES ROQUES,DIPUTACIÓ DE BARCELONA - MARQUET DE LES ROQUES (SORTIDA DEPURADORA),16
"PUIG SANTASUSANA, JOSEP",AA2002000723(RESTAURANTE MIRADOR DEL FAI,30
"GALP DISTRIBUCION OIL ESPAÑA, SA (MONTCADA NORD)","GALP DISTRIBUCION OIL ESPAÑA, SAU ES MONTCADA (SORTIDA DEPURADORA)",48
"STOCKMEIER QUIMICA, SL","ABOCAMENT INDUSTRIAS KERN ESPAÑOLA, SA (INDUKERN)",20
REAL CLUB DE GOLF - EL PRAT,REAL CLUB DE GOLF EL PRAT - llera,5
BISER THERMOTECH S.L.,SEIACO SA,28
CONSORCI DE SERVEIS SOCIALS DE BARCELONA,CONSORCI SERVEIS SOCIALS BARCELONA (CAN PUIG): TORRENT DE SALAMANDRA,10
"ENVERNISSATS AGUILA, SL",AA2003001606-Riera Seca-Tenes-Besòs,26
"FLINT GROUP IBERIA, SL","ABOC.FLINT GROUP IBERIA, SA (ABANS BASF SISTEMAS DE IMPRESION SA)",37
"PETROLIS INDEPENDENTS, SL","PETROLIS INDEPENDENTS, SL: RIERA DE GAUSACS",51
ATLETIC TERRASSA HOCKEY CLUB,TERRASSA HOCKEY CLUB (SORTIDA DEPURADORA PAVELLÓ),1
"COBEGA EMBOTELLADOR, SLU",ABOCAMENT COBEGA 1D LLACUNA,57
"DESGUACES TRECE, SL","DESGUACES TRECE, SL (SORTIDA PRETRACTAMENT4)",38
"DESGUACES DE AUTOMOVILES, SL",DESGUACES DE AUTOMOVILES SL (SORTIDA FOSSA SEPTICA),26
"CESARI BOHIGAS, JOAN",JOAN DOMINGUEZ SANCHEZ (SORTIDA FOSSA+FILTRE),24
"CERAMICA LA CORONA, SA","CERÁMICA LA CORONA, SA (SORTIDA AIGÜES SANITÀRIES I NETEJA)",28
INSTITUT CULTURAL CIC - ESCOLA THAU SANT CUGAT,INSTITUCIÓ CULTURAL DEL CIC -ESCOLA THAU (SORTIDA DEPURADORA),64
"DOSRIUS CASASIN, RAMONA",RAMONA DOSRIUS CASASIN - CAN GRAU (SORTIDA DEPURADORA),34
AJUNTAMENT DE SANT QUIRZE SAFAJA,"ETAP SANT QUIRZE SAFAJA (ABOCAMENT 1, AIGUA RENTAT FILTRES)",31
"INSTITUCIÓ FAMILIAR D'EDUCACIÓ, SA (COL·LEGI LA VALL)",ABOCAMENT COL·LEGI LA VALL,5
"COBEGA EMBOTELLADOR, SLU","ABOCAMENT COBEGA, SA",57
"DESGUACES TRECE, SL","DESGUACES TRECE, SL (SORTIDA PRETRACTAMENT)",47
"AGIP ESPAÑA, SA (E.S. MONTSENY)","AGIP ESPAÑA, SA - E.S. MONTSENY (SORTIDA SEPARADOR D'HIDROCARBURS)",46
AJUNTAMENT DE SANT PERE DE VILAMAJOR,P.I. LA PLANA,52
"GUINART PARERA, MONTSERRAT",MONTSERRAT GUINART PARERA (SORTIDA DEPURACIÓ),52
DIPUTACIÓ DE BARCELONA - RECTORIA DE VALLCÀRQUERA,DIPUTACIÓ DE BARCELONA (sortida fossa sèptica) - riera de Vallcàrquera,34
"IRMASOL, SA","IRMASOL, S.A. (SORTIDA AIGÜES REG DE PAPERS I PLUVIALS)",19
"FRESENIUS MEDICAL CARE ESPAÑA, SA","FRESENIUS MEDICAL CARE ESPAÑA, SA, (AIGÜES RESIDUALS PROCÉS)",38
"ADES, SL","ADES, SL (SORTIDA SANITÀRIES: 3 PUNTS D'ABOCAMENT IGUALS)",40
"RESTAURACIONS AMBIENTALS CATALANES, SL-MONODIPÒSIT ST. ANTONI-","RESTAURACIONS AMBIENTALS CATALANES, SL (FOCUS 1)",61
DIA RETAIL ESPAÑA SA,"Abocament DIA, SA - riera de Vilamajor",45
"COBEGA EMBOTELLADOR, SLU",ABOCAMENT COBEGA 1B COL·LECTOR BIOLÒGIC,25
AJUNTAMENT DE SANT CUGAT,AJUNTAMENT DE SANT CUGAT DEL VALLÈS (RIERA DE VOLPALLERES),64
CENTRE EDUCATIU L'ALZINA,CENTRE EDUCATIU L'ALZINA- SORTIDA DEPURADORA,24
"TERRASSA NETA, SA",TERRASSA NETA (SORTIDA SANITÀRIES DEPURADES),3
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU (PK 126,4), SORTIDA DEPURADORA",51
FUNDACIÓ CATALONIA (CENTRE MONTSERRAT MONTERO),FUNDACIÓ CATALONIA (CENTRE MONTSERRAT MONTERO): TORRENT DE CAN COLL,10
"CONSTRUCCIONES MECÁNICAS LLAMADA, SL","TORRENT DEL CLAVETAIRE  (CONSTRUCCIONES MECANICAS LLAMADA, SL)",41
JUNTA COMP. SUBSECT. 1 Y 2 PLAN PARCIAL CAN BAGES,POLÍGON INDUSTRIAL CAN BAGES (SORTIDA DEPURADORA),13
"UTE GESTORA DE RUNES DE LA CONSTRUCCIÓ, SA","UTE GESTORA DE RUNES DE LA CONSTRUCCIÓ, SA (SORTIDA POU DE REGISTRE)",14
EL VALLÈS GOLF DE TERRASSA,Abocament EL VALLES GOLF DE TERRASSA - torrent Can Canya,3
"VENTURA, ORXATA I GELATS, SA","VENTURA, ORXATA I GELATS, SA - torrent de Can Sora",39
"PARC DE BELLOCH, SL",PARC DE BELLOCH (SORTIDA DEPURADORA),41
"PUIGJANER AMAT, LLUISA",LLUISA PUIGJANER AMAT (SORTIDA DEPURADORA),42
AAVV SOL I AIRE (NUCLI URBÀ SOL I AIRE),AAVV SOL I AIRE (SORTIDA TRACTAMENT C FONT RICA 2),53
"BRI-AUTO PLATFORM, SL (RESTAURANT ESTEBANELL)",RESTAURANT MAS ESTABANELL (SORTIDA DEPURADORA),36
"CEMENTIRIS DE BARCELONA, SA","CEMENTERIS DE BARCELONA, SA (SORTIDA DEPURADORA)",10
"PIVEMA, SA","RIERA DE CALDES (PIVEMA,SA)",20
"DESGUACE LA ROCA, SL","DESGUACE LA ROCA, SL (SORTIDA AIGÜES PLUVIALS)",11
"FIRTEC, SA","FIRTEC, SA (AIGÜES PLUVIALS POTENCIALMENT CONTAMINADES)",55
ASSOCIACIÓ VALL DE TOSSA DE LA MOLINA,VALL DE TOSSA DE LA MOLINA (MAS DEL BOSC) (SORTIDA DEPURADORA),63
JUNTA DE COMPENSACIÓ DEL PLA PARCIAL DEL POL.IND.VALLDERIOLF,ABOC. JUNTA DE COMPENS.PLA PARCIAL POL.IND.VALLDERIOLF - llera,38
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU (LA ROCA DEL VALLÈS), PK 128,7 (SORTIDA DEPURADORA)",50
"DESGUACES LA CABAÑA, SL",DESGUACES LA CABAÑA PLUVIALS PUNT 2,37
"TAMAYO AUTODESGUACES, SL",Reciclatges Tamayo- Riu Congost a través d'un torrent,33
"LLULL 80, SL","ESTACIÓ DE SERVEI (PROMOTORA LLULL 80, SL) (SORTIDA DEPURADORA)",12
CONGREGACIÓN RELIGIOSA PUREZA DE MARIA,CONGREGACIÓN RELIGIOSA PUREZA DE MARIA (SORTIDA DEPURADORA),64
"CEPAS MUÑOZ, DOMINGO",DOMINGO CEPAS MUÑOZ (SORTIDA SANITÀRIES),58
"REPSOL COMERCIAL DE PRODUCTOS PETROLÍFEROS, SA",REPSOL SA - ESTACIÓ DE SERVEI 12188 FONTFREDA (SORTIDA DEPURADORA),35
"COLÒNIES ROSA DELS VENTS, SA (MAS BADÓ)","COLONIES RV, SA: MAS BADÓ (LLERA)",59
