activitat_,nom_abocam,Punt2
"INDUSTRIA AUXILIAR CARROCERIAS, SL","INDÚSTRIA AUXILIAR CARROCERIA, SL (SORTIDA DEPURADORA)",19
"PMT-EUROPE, SL",TORRENT DE MINYÓ (AIGÜES RESIDUALS SANITÀRIES PLANTA BAIXA),18
AJUNTAMENT DE CALDES DE MALAVELLA  (URB. CAN CARBONELL),EUC CAN CARBONELL sortida EDAR  al Rec Clar,38
"RECUPERAUTO PALAFOLLS, SL","Abocament  1 RECUPERAUTO PALAFOLLS, SL (decantador)",2
"ENDESA DISTRIBUCIÓN, SL (SE SILS)","ENDESA DISTRIBUCION ELECTRICA, S.L -SE SILS- Abocament sanitàries",36
"MADERERA GERUNDENSE, SA",MADERERA GERUNDENSE SA (SORTIDA DEPURADORA) (2),51
"GASERAN, SA","GASERAN, SA (arqueta aigües procés destil·lació)",23
AJUNTAMENT DE CAMPINS (URBANITZACIÓ LES ESPLANES),AJUNTAMENT DE CAMPINS_URBANITZACIÓ LES ESPLANES (SORTIDA DEPURADORA),15
"COMPAÑIA ESPAÑOLA DISTRIBUIDORA PETROLEOS, SA  (E.S.GASERANS I-II)",E.S. GASERANS I (SORTIDA TRACTAMENT AIGUES POTENC. HIDROCARBURADES I SANITÀRIES),47
"COLÒNIES ROSA DELS VENTS, SA","COLÒNIES ROSA DELS VENTS, SA (CAN MUNDET): TORRENT DE L'ABEURADOR",54
FUNDACIO CATALANA DE L'ESPLAI - ESCOLA LA TRAÜNA,DIPUTACIÓ DE BARCELONA - llera,8
JUNTA DE COMPENSACIO PLA PARCIAL SECTOR LA GOBA DE VIDRERES,ABOC. JUNTA COMPENSACIO PLA PARCIAL SECTOR LA GOBA DE VIDRERES - RIERA RECLAR,39
"RECUPERAUTO PALAFOLLS, SL","Abocament  2 RECUPERAUTO PALAFOLLS, SL (decantador)",2
"ESTACIONS DE SERVEI VIURA-GINESTA, SL",ES VIURA GINESTA: RIERA DEL SOT GRAN,17
"FUSTERIA GURDO, SL","Abocament FUSTERIA GURDO, SL - riu Tordera",23
"ARKEMA QUÍMICA, SAU","ABOC.CRAY VALLEY IBERICA, SA A LA RIERA DE VALLGORGUINA",5
"GOHER TEXTIL CALELLA, SA","GOHER  TÈXTIL CALELLA, SA (PRETRACTAMENT)",22
ASOCIACION RECREATIVA CULTURAL FAMILIAR TORDERA PARK,RIERA MINA D'OR AA2003000801 ASSOCIACIO RECREATIVA TORDERA PARK,49
"MAS MERCADER, NARCIS",NARCIS MAS MERCADER (LLERA),22
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU -MAÇANET- (SORT. TRACTAMENT)",42
"PALOU MIR, LURDES",LURDES PALOU MIR (SORTIDA TRACTAMENT),35
"IMPRO LACORTE, SL",IMPRO LACORTE SL (SORTIDA DEPURADORA),23
"POLIESTER NAUTIC, SL","POLIESTER NAUTIC, S.L (SORTIDA DEPURADORA) - Riera Xica",56
ENTITAT URBANÍSTICA DE CONSERVACIÓ DEL POL. IND EL MOLINOT,EDAR ENTITAT URBANISTICA DE CONSERVACIÓ DEL PO. IND. EL MOLINOT (sortida riera),5
"FISA RECUBRIMIENTOS, SA",FISA RECUBRIMIENTOS (SORTIDA RESIDUALS),12
"PUIG DEUMAL, REMEI (CAMPING LES ILLES)","CÀMPING LES ILLES, PUNT D'ABOCAMENT 2",7
"GOHER TEXTIL CALELLA, SA",RIU TORDERA GOHER TEXTIL CALELLA 021999005083,23
"EXCAVACIONS ROSELL, SL","EXCAVACIONS ROSELL, SL (SORTIDA DEPURADORA BIOLÒGICA)",56
"GOMEZ BEDMAR, CONCEPCION",Gomez Bedmar (aboc osmosi),16
"MENADIONA, SL",RIERA REIXACH (MENADIONA),2
"UNGÉ MARIAGES, MARC","UNGÉ MARIEGES, MARC (SORTIDA DEPURADORA)",6
"PMT-EUROPE, SL","TORRENT DEL MINYÓ INDEL INDUSTRIAL ELECTROLITICA,SA 021992000078",18
"RECUPERACIONS MASNOU, SL",RECUPERACIONS MASNOU S.L. (SORTIDA PRETRACTAMENT),23
"FORESTAL CATALANA, SA","FORESTAL CATALANA, SA (SORTIDA DEPURADORA)",26
"CRODA IBÉRICA, SA (MEVISA SITE)","ABOC. REFRIGERACIÓ CRODA OLEOCHEMICALS IBÉRICA, SA (MEVISA SITE)",30
RWE INNOGY IBERIA SLU,RWE INNOGY ABOCAMENT PROCÉS I REBUIG,34
"MONTSENYSER, SL  -HOTEL VILAR RURAL DE SANT HILARI-",HOTEL VILAR RURAL DE ST. HILARI (SORTIDA DEPURADORA),20
AJUNTAMENT DE SANT FELIU DE BUIXALLEU,AJUNTAMENT DE SANT FELIU DE BUIXALLEU_EQUIPAMENTS (SORTIDA DEPURADORA),23
"MASIA MONTCORP, SL",JAUME SOLER SAÑÉ (SORTIDA DEPURADORA),44
"VILA VILLAGE, SCP (CAMPING ELS PINS)",ABOC.CAMPING ELS PINS - REC DE GASERANS,23
"INICIATIVAS NAMBE, SL","INICIATIVAS NAMBE, SL (SORTIDA DEPURADORA)",43
"PUIG DEUMAL, REMEI (CAMPING LES ILLES)",CÀMPING LES ILLES-PUNT D'ABOCAMENT 1,7
"SISTEMAS TÉCNICOS DE ENCOFRADOS, SA",SISTEMAS TÉCNICOS DE ENCOFRADOS (SORTIDA DEPURADORA),23
"VALLS AUTOMOCIO, SL","VALLS AUTOMOCIÓ, SL : RIERA D'ARBÚCIES",19
CLUB CARAVANING AQUA ALBA,ABOC.ENTRADA: CLUB CARAVANING AQUA ALBA,17
"MAS MAROTO HERMINA Y CIA, CB","CAL SASTRE 2009, SCP: TORRENT DE COMA XIFRÀ",51
"CAN CLARENS, SL","Abocament CAN CLARENS, SL - Sot de Can Montesell",4
AJUNTAMENT DE GUALBA - URB. LA LLOBREGOSA,URBANITZACIÓ LA LLOBREGOSA -  AJUNTAMENT DE GUALBA : TORRENT DE LA LLOBREGOSA.,14
"SOCIEDAD ESPAÑOLA DE CARBUROS METALICOS, SA","ABOC.1 - SDAD.ESPAÑOLA CARBUROS METALICOS, SA: 021997000351",16
"COMPAÑIA ESPAÑOLA DISTRIBUIDORA PETROLEOS, SA  (E.S.GASERANS I-II)",E.S. GASERANS I (SORTIDA TRACTAMENT AIGUES RENTAT VEHICLES),47
"MADERERA GERUNDENSE, SA","MADERERA GERUNDENSE, S.A (sortida depuradora)",55
"TALLERES PENA, SL","ABOC.PENA BIMETALLIC TECNHOLOGY, SL (SORTIDA TRACTAMENT BIOLÒGIC)",16
"PERXISTÓ, SL","PERXISTÓ, SL_Abocament (Torrent de Gaserans)",23
"OUTILS WOLF ESPAÑA, SL","021999000249-OUTILS WOLF ESPAÑA,SL",24
"SOREA, ETAP CAN SANS DE SANT CELONI",SOREA - ETAP CAN SANS (SORTIDA TRACTAMENT - AIGÜES DE NETEJA DELS FILTRES DE SORRA),11
"RECUPERAUTO PALAFOLLS, SL","ABOCAMENT 3 RECUPERACIÓ PALAFOLLS, SL (DECANTADOR)",2
"TYLER, PAUL",PAUL TYLER: BARRANC DE NUALARD,30
"PREMIUM MIX GROUP, SL","022000000190 - AB 1 MALAVELLA, SA",37
"COMPAÑIA ESPAÑOLA DISTRIBUIDORA PETROLEOS, SA  (E.S.GASERANS I-II)",E.S. GASERANS II (SORTIDA TRACTAMENT AIGUES POTENC. HIDROCARBURADES I SANITÀRIES),47
"AIGÜES VALLFLORIDA, SLU",COMUNITAT DE REGANTS DE ST ESTEVE DE PALAUTORDERA (ACTUAL),10
"UNITEX, SA","UNITEX, SA: 021998000222 - AB 1",30
"PLUS-FELT, SL","PLUS FELT, SL: CLAVEGUERAM DEL POLÍGON INDUSTRIAL GASERANS I DESPRÉS LA TORDERA",23
"EXCAVACIONS ROSELL, SL",EXCAVACIONS ROSELL (Aigües pluvials),56
AJUNTAMENT DE FOGARS DE LA SELVA,POLIGON INDUSTRIAL MARGE DRET DEL RIU TORDERA I POL CAN BATALLO RIU TORDERA,30
"DEUTSCHER SHAFERHUND CENTER, SL","ABOCAMENT KHAFKA, SL",40
"CÁRNICA BATALLÉ, SA","ABOC.2 - CÁRNICA BATALLÉ, SA",43
"TRETY, SA","AA2003000393 - TRETY, SA",42
FUNDACIO CATALANA DE L'ESPLAI - CAN MASSAGUER -,Can Massaguer,17
DIPUTACIO DE BARCELONA - CENTRE D'INFORMACIO CAN CASADES,DIPUTACIO DE BARCELONA (CENTRE D'INFORMACIÓ CAN CASADES),13
"SISMANDELFOS, SL","SISMANDELFOS, S.L. (AIGÜES SANITÀRIES)",41
ROSA TARRÉS FERRER,ROSA TARRES FERRER - (llera),22
AJUNTAMENT DE TORDERA - VEÏNAT DE ST. DANIEL,"VEÏNAT DE SAT DANIEL (AJUNTAMENT DE TORDERA) - RIERA DE SANT DANIEL, RIU TORDERA",1
"REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS, SA (EE/S 15.180)","REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS, SA (LLERA)",3
"GERMANS MONTSANT, SC (RESTAURANT BELL-LLOC)","GERMANS MONTSAN, SC (SORTIDA TRACTAMENT)",29
"SERVEIS MEDIAMBIENTALS DE LA SELVA, NORA, SA -ABOCADOR DE RESIDUS-",FOCUS 2,52
"ARCILLAS DE BREDA, SA","ABOCAMENT ARCILLAS DE BREDA, SA (ARBRESA): 021995000141 - AB 1",28
"FRIGORÍFIC SANTA COLOMA, SLU","ABOC. REFRIGERACIÓ INDUSTRIAS MAYNOU, SA",45
"LA SELVA, SL","E.S.ELS ESTANYS, SL - ABOCAMENT A LA SÈQUIA DE SILS",36
"SERVEIS MEDIAMBIENTALS DE LA SELVA, NORA, SA -ABOCADOR DE RESIDUS-",FOCUS 1 RIU ESPLET,52
"CONCERTO DÉVELOPPMENT IBERICA, SL",CONCERTO DÉVELOPPEMENT IBERICA SL (SORTIDA DEPURADORA),23
"GIVAUDAN IBÉRICA, SA",ABOC. GIVAUDAN-LA TORDERA,46
"CRODA IBÉRICA, SA (MEVISA SITE)","ABOC. PROCÉS CRODA OLEOCHEMICALS IBÉRICA, SA (MEVISA SITE): 021996000250",30
AJUNTAMENT DE GUALBA (NUCLI URBÀ CAN PLA),AJUNTAMENT DE GUALBA - NUCLI URBÀ DE CAN PLA (SORTIDA DEPURADORA),17
SA VICHY CATALAN,"022001000008 - AB 1 VICHY CATALAN, SA",37
"SUREDA NOGUÉ, JOSEP (GARATGE SUREDA)",Abocament JOSEP SUREDA NOGUE (GARATGE SUREDA) - torrent d'Esplet,43
POLÍGON INDUSTRIAL PONT CREMAT,APLICACIONES ELECTRONICAS Y COMUNICACIONES SL,19
"BAGUÉ SALVÀ, DOLORS -RESTAURANT ELS CORTALS DEL MIG-",RESTAURANT ELS CORTALS  (SORTIDA TRACTAMENT),20
"LAMITOR, SA",AA2003000347_x000D_,23
"CORCHO DEL PAIS, SA",Riu Esplet: 022002000054,51
"CERÀMIQUES LA PEÇA, SC","ABOCAMENT CERAMIQUES LA PEÇA, SC",57
"SERVEIS MUNICIPALS DE RIUDARENES, SA",REC DE CAN BOTA 2 (PLUVIALS),51
AJUN.SANT FELIU BUIXALLEU(EDAR I COL.EL DUCAT DEL MONTSENY),TORRENT DE CAN RAURELL (URBANITZACIÓ DUCAT DEL MONTSENY),24
EASTMAN CHEMICAL BARCELONA SL,INDUSTRIAS DEL ACETATO DE CELULOSA,17
"E.S.TORDERA KM.684, SL","CARBURANTS TORDERA, SL (SORTIDA DEPURADORA)",32
"LA LLUNA DE CAN CASTELLAR, SL",LLAR D'INFANTS LA GRANOTA (SORTIDA DEPURADORA) - Riera de Vallgorguina,4
"RETAL IBERIA, SLU","ABOCAMENT RETAL ITALIA, SPA (LLERA)",47
"BUSQUETS VALDEVELL, MARIA TERESA",MARIA TERESA BUSQUETS VALDEVELL (sortida sistema de tractament),9
"ESTAMPADOS GASERANS, SL",RIU TORDERA,23
TESCA SPAIN BARCELONA S.L.U.,"ABOC.TREBORTEX, SL - RIU LA TORDERA",30
"APLICA, SL (E.S.VIDRERES - MARGE DRET)",AA2003000237,41
"NAVARRETE VILCHEZ, TOMÀS  -RESTAURANT CAN CABATXÓ-",JOSE TOMAS TABERNER (SORTIDA DEPURADORA),52
"CERVERA CORTADA, MANEL (CAMPING MONTSENY)",ABOC.CAMPING MONTSENY: 021993000050,61
AJUNTAMENT DE RIUDARENES - ZONA ESPORTIVA,Abocament AJUNTAMENT DE RIUDARENES (ZONA ESPORTIVA - Riu Esplet,43
"SERVEIS MUNICIPALS DE RIUDARENES, SA",RIERA SANTA COLOMA 1 (SANITÀRIES),50
"ECOLOGIA QUIMICA, SA","ABOC. ECOLOGIA QUIÍMICA, SA: 021992000049 (PO GUALBA)",58
"CAN PIJAUME, SL",CAN PIJAUME SL (SORTIDA DEPURADORA),48
"GRUAS VIÑOLAS, SL","GRUES VIÑOLAS, SL (SORTIDA DEPURADORA)",41
ALEXANDRALOG SPNE02 SL,"LPFE FOGARS, SL",30
"RANKE QUIMICA, SA","RANKE QUIMICA, SL: 021999005121 - AB 1",16
"SANS BRANDED APPAREL, SL","ABOC.SANS BRANDED APPAREL, SL: 021996000180",30
"CAN RIERA DE CIURET, SL (CAMPING I CASA DE COLÒNIES)","ABOC.CAN RIERA DE CIURET, SL: TORRENT DE L'INFERN",60
"RESTAURANT CAN NET, SL",022000000137,59
