activitat_,nom_abocam,Punt2
"COPERFIL OBRAS Y SERVICIOS, SA","RIERA DE RAPIOLES COPERFIL GROUP,SA",5
AJUNTAMENT DE SAT FELIU DE BUIXALLEU - EDAR URB. CAN NOGUERA,AJUNTAMENT DE SANT FELIU DE BUIXALLEU - URB. CAN NOGUERA (SORTIDA DEPURADORA),23
"RESERVAT 2000, SL",AA2003001113,21
"IMAR SANT HILARI, SL","IMAR SANT HILARI, S.L (sortida pretractament)",19
"GOMEZ BEDMAR, CONCEPCION",Gomez Bedmar (aboc sanitaries),16
"LLAR D'INFANTS GRANOTA, SL",LLAR D'INFANTS LA GRANOTA (SORTIDA DEPURADORA) - Riera de Vallgorguina,4
CLUB CARAVANING AQUA ALBA,ABOC.CEMENTIRI: CLUB CARAVANING AQUA ALBA,17
"SANOFI AVENTIS, SA","SANOFI AVENTIS, SA (Sortida depuradora pròpia)",25
"GASERAN, SA","GASERAN, SA (arqueta aigües sanitàries)",23
"EGARA 2005, SL - ES VIDRERES -EGARA","E.S. VIDRERES TERRAFORTUNA, SL (SORTIDA TRACTAMENT)",53
"TAPISSERIA BATALLE, SL","TAPISSERIA BATALLE, SL: RIERA D'ARBÚCIES",19
AJUNTAMENT DE SANT FELIU DE BUIXALLEU,AJUNTAMENT DE SANT FELIU-NUCLI URBÀ (SORTIDA DEPURADORA),21
"ESTACIÓ DE SERVEI VALLGORGUINA, SL",REPSOL COMERCIAL DE PRODUCTOS PETROLÍFEROS SA - ES 12.543 VALLGORGUINA (SORTIDA DEPURADORA),4
"CRUELLS MONTASELL, CB (RESTAURANT CAN CAMBÓ)",ABOC. RESTAURANT CAN CAMBÓ,15
"ACIN COSTA BRAVA, SL","JEGRECIKLA, SL",23
"PARCET POU, SARA (RESTAURANT CAN QUEL)",ABOC. RESTAURANT CAN QUEL,27
"EL CLOS DE CAN ROQUET, SL","EL CLOS DE CAN ROQUET, S.L (sortida depuradora)",33
"VICO AGUILAR, FRANCISCO",Riera de Gualba,15
"HOSTAL MARLET, SC",HOSTAL MARLET SC (SORTIDA DEPURADORA),29
"CITRICOS Y REFRESCANTES, SA",ABOC.CITRICOS Y REFRESCANTES (SORTIDA DEPURADORA),31
CLUB CARAVANING AQUA ALBA,ABOC.3A FASE: CLUB CARAVANING AQUA ALBA,17
"SERVEIS MUNICIPALS DE RIUDARENES, SA",RIERA SANTA COLOMA 1 (PLUVIALS),50
"FERRER INTERNACIONAL, SA","ABOC.FERRER INTERNACIONAL, SA  (LLERA)",23
"T 500 PURATOS, SA",ABOC.T500 PURATOS - TORRENT DE CAN RABASSA,36
"FARRE LOGISTICS, SL","FARRE LOGISTICS, S.L (SORTIDA FOSSA + FILTRE)",37
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIAS ESPAÑOLA, SAU   (PEATGE SANT CELONI), SORTIDA DEPURADORA",5
"ASDARA MOBILIARI, SA",021999001782 TORRENT DE GASERANS,23
"OXIRIS CHEMICALS, SA","Abocament OXIRIS CHEMICALS, SA_Riu Tordera",16
