activitat_,nom_abocam,Punt2
"CODERCH PRUNÉS, MARTA",MARTA CODERCH PRUNÉS- SORTIDA DEPURADORA,4
"ALBA SERVEIS EDUCATIUS, SL","ALBA SERVEIS EDUCATIUS, SL (llera)",24
"MOLÍ EL FERRÉ, SC","MOLÍ EL FERRÉS, SC - RIERA DE JOANETES",49
"ESTEBAN ESPUÑA, SA  -PLANTA PERNIL CURAT-","ESTEBAN ESPUÑA, SA  -PLANTA PERNIL CURAT-  (SORTIDA AIGUA REFRIGERACIÓ)",6
"PUJOL-GALCERAN DE VISA SITJAR, CARLES -CÀMPING-MASIA SADERNES-",CARLES PUJOL GALCERAN -CAMPING MASIA SADERNES- (SORTIDA DEPURADORA),20
"TUBERT LLENSA, ARTUR  -RESTAURANT CAL FERRER-",AA2003000328 TORRENT DE L'ARN_x000D_,31
AREAS SAU  -ÀREA DE L'EMPORDÀ 2018-,"AREAMED 2000, SA (AREA DE L'EMPORDÀ) (SORTIDA SOBREEXIDOR DIPÒSIT POST. DECANTADOR)",44
"ENDESA GENERACION, SA  -C.H. LES ILLES-","ENDESA GENERACION, SA (llera) - riu Ter",54
"FRANCISCO PAGÉS VALENTÍ, SA","ABOCAMENT FRANCISCO PAGÉS VALENTÍ, SA (SANITÀRIES)",15
"TORRASPAPEL, SA","TORRASPAPEL, SA ""S. JOAN LES FONTS"" (SORTIDA AIGÜES RESIDUALS DEPURADORA)",50
"MERCADER MAS, OLGA -RESIDENCIA RURAL LA VIOLELLA-",RESIDÈNCIA RURAL LA VIOLELLA (SORTIDA DEPURADORA),14
AJUNTAMENT DE LES PRESES - PISCINA MUNICIPAL,AJUNTAMENT DE LES PRESES - PISCINA MUNICIPAL,3
"POLIESTER PLA DE L'ESTANY, SL",Abocament POLIESTER PLA DE L'ESTANY-Rec d'Espolla,53
"NOGAREDA BURCH, LLUIS",LLUIS NOGAREDA BURCH (sortida depuradora)- riera de Bianya,11
"CLOTA DURAN, LLUIS",LLUIS CLOTA DURAN (sortida depuradora) - Riu Gurn,2
"ESCORXADOR VILA DE L'ARMENTERA, SL","RIU FLUVIÀ - ESCORXADOR VILA DE L'ARMENTERA, SL 0220000000205",47
"PLASFUR, SA",PLASFUR_ riu Fluvià,7
"SERRA PEREZ, CONCEPCIÓN -RESTAURANT MASIA CAL SORDET-",RESTAURANT MASIA CAL SORDET (SORTIDA PRETRACTAMENT),14
"CÀMPING ESPONELLÀ, SL",Abocament CÀMPING ESPONELLÀ - Riu Fluvià,36
"MASIAS CODINA, CARLES  -CÀMPING MASIA CAN PATXET-",CÀMPING MASIA CAN PATXET (SORTIDA PRETRACTAMENT),33
COMUNITAT SALESIANA GIRONA,COMUNITAT SALESIANA GIRONA (SORTIDA FOSSA SÈPTICA),5
"FRANCISCO PUIGVERT, SL","FRANCISCO PUIGVERT, SL  (SORTIDA REFRIGERACIÓ)",7
"RESERVES EXPERIENCIA RURAL, S.L.-TURISME RURAL-","PUJOLDEVALL VIÑOLAS, NURIA  (SORTIDA DEPURADORA)",55
"BRITLI, SL   -CÀMPING LAVA-",CAMPING LAVA: sortida EDAR,52
LA FAGEDA FUNDACIÓ,LA FAGEDA SCCL (EDAR pròpia + zona de llacunatge),55
