activitat_,nom_abocam,Punt2
"HECINEMAX, SA  -PENSIÓ CAN SEROLA-","AA2003000272 Can Serola (HECINEMAX, SA)",23
CONSELL COMARCAL DE LA GARROTXA -DIPÒSIT CONTROLAT BEUDA-,"INSTAL.LACIONS GESTIÓ FORMACIÓ I ASSESSORAMENT, SA (SORTIDA AIGÜES PLUVIALS)",51
"DOMINGO JANÉ, ANNA  -TURISME RURAL CAN ETXALDE-",CAN ETXALDE (SORTIDA AIGÜES PRETRACTAMENT),22
CEDIPSA   -E.S. 33.821 PONTOS I  I PONTOS II-,ESTACIÓ DE SERVEI PONTÓS I: RIU FLUVIÀ,43
"CÀMPING BESALÚ, SL",CAMPING BESALU (LLERA),25
"NOEL ALIMENTARIA, SAU  -CENTRES 1 I 4-","EMBUTIDOS Y JAMONES NOEL, SA_Abocament",56
"OLOT MEATS, SA",ABOCAMENT EDAR OLOT MEATS,12
AJUNTAMENT DE PALAU DE SANTA EULÀLIA EDAR 3 (ZONA NORD),AJUNTAMENT DE PALAU DE SANTA EULALIA (SORTIDA DEPURADORA 2),45
"CALES DE LLIERCA, SA","CALES DE LLIERCA, SA (SOBREEIXIDOR D'AIGÜES DE LA DEPURADORA FÍSICOQUÍMICA, ABOCAMENT PUNTUAL)",16
AJUNTAMENT DE LA VALL DE BIANYA (CASAL JOVES),AJUNTAMENT DE LA VALL DE BIANYA: RIERA DE SANTA LLÚCIA,10
"TRANSPORTES PRUJÀ, SA","Abocament Transports Prujà, SA. RIU FLUVIÀ",27
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU  (PEATGE ORRIOLS/L'ESCALA)",43
"LIDEROU, SL","LIDEROU, SL  (SORTIDA DEPURADORA EMPRESA)",29
"POSIBLEMENTE LA MEJOR CASA RURAL DE GIRONA, SL -TURISME RURAL-",CASA RURAL (SORTIDA A LLERA SENSE EDAR),41
"TRANS GRUES FONT, SL",TRANS GRUES FONT SL (SORTIDA DESARENADOR 2 I SEPARADOR HIDROCARBURS),17
"NOEL ALIMENTARIA, SAU - PLANTA SANT ESTEVE D'EN BAS-","HERMANOS FONT VERDAGUER, SA (SORTIDA PROCÉS, SANITÀRIES I REFRIGERACIÓ)",1
"HIJOS DE JOSÉ CASAPONSA, SA",Hijos de José Casaponsa_Aigües de refrigeració,13
"MAR RICO, SL  -RESTAURANT SANTA ANA-","MAS RICO, SL -RESTAURANT SANTA ANNA- (SORTIDA DEPURADORA)",43
"CÀMPING DE LA VALL DE BIANYA, SA","CAMPING LA VALL DE BIANYA, SA  (SORTIDA DEPURADORA)",57
"CALES DE LLIERCA, SA","CALES DE LLIERCA, SA (sortida depuradora)",16
"MAS CUCUT, SCP","MAS CUCUT, SCP   (SORTIDA DEPURADORA)",39
"L.C. PAPER 1881, SA","L.C. PAPER 1881, SA (SORTIDA DEPURADORA)",27
ASSOC D'AMICS DE SANT ANIOL D'AGUJA -REFUGI SANT ANIOL D'AGUJA,CTAT. USUARIS AMICS DE SANT ANIOL D'AGUJA (SORTIDA DEPURADORA),19
"LORENZO RUA, HORACIO  -RESTAURANT LA MONGETA-",RIU FLUVIA  (HORACIO LORENZO RUA),15
SAT N  3021  -L'ARMENTERA FRUITS N 345 CAT-,"ARMENTERA FRUITS: REC DEL MOLÍ, TRIBUTARI DEL RIU VELL",47
"RAMON VENTULÀ, SA  -LA VALL DE BIANYA-","RAMON VENTULÀ, SA  (SORTIDA AIGÜES REFRIGERACIÓ)",12
"HOTEL MAS LA FERRERIA, SL",RIERA DE STA. MARGARIDA,48
CONSELL COMARCAL DE L'ALT EMPORDÀ,CONSELL COMARCAL DE L'ALT EMPORDÀ -ZONA ESPORTIVA ELS GORGS- (SORTIDA DEPURADORA),46
"RAMÓN VENTULÀ, SA  -OLOT ANTIGA MONVERVI-",RAMÓN VENTULÀ FIGUERES (ABOCAMENT AIGÜES REFRIGERACIÓ),7
"ENRIC JUNCÀ, SL",ENRIC JUNCÀ SL (SORTIDA DEPURADORA),10
"LLONGARRIU RURAL, SL -CAN COMA D'EN ROCA-","LLONGARRIU RURAL, S.L (sortida depuradora) - Torrent de la Coma d'en Roca",58
COM.PROP.NAUS INDUSTRIALS D'OLOT A VIC,POLIGON INDUSTRIAL DE LA VALL D'EN BAS (SORTIDA DEPURADORA),1
"RESTAURANT SANT FERRIOL,  SL  -HOTEL SPA SANT FERRIOL-","GIROPELL, SL (SORTIDA DEPURADORA EMPRESA)",28
CASA RURAL - JORDI VAYREDA BOFILL,AA2003001151 (FICTICI),11
CEDIPSA,E.S. EMPORDÀ NÚM. 31573 (SORTIDA SEPARADOR D'HIDROCARBURS),44
"TRANS GRUES FONT, SL",TRANS GRUES FONT SL (SORTIDA DESARENADOR 1 I SEPARADOR HIDROCARBURS),17
"RESIDENCIA PLA DE MARTÍS, SCCL","RESIDÈNCIA PLA DE MARTÍS, SL  (SORTIDA DEPURADORA EMPRESA)",37
"PRAT POLIESTER, SL",PRATS I POLIESTER_RIERA DE GARRUMBERT,53
FUNDACIÓ ESPLAI GIRONA  -CASA DE COLÒNIES ELS ARCS-,CASA DE COLÒNIES ELS ARCS  (SOBREEIXIDOR FOSSA SÈPTICA RESIDUALS + PISCINA + PLUVIALS),32
"ENDESA GENERACIÓN, SA  -C.H. ORFES-","ENDESA GENERACION,S.A  C.H. ORFES   (SORT. TRACTAMENT)",42
"CONSTRUCCIONES H. HERRERA, SL","CONSTRUCCIONES H.HERRERA, SL",2
"CAL PARENT RESORT, SL","CAL PARENT RESORT, SL  (SORTIDA DEPURADORA)",26
"RESANGI, SL",RIU SER,34
"CONSTRUCCIONES H. HERRERA, SL","CONSTRUCCIONS H.HERRERA, SL (SORTIDA TRACTAMENT)",2
EULALIA NOGAREDA BURCH,EULALIA NOGAREDA BURCH (sortida depuradora) - El torrent de Can Guitart,48
"CASA ANAMARIA RESORT, SLU -HOTEL CASA ANAMARIA-",HOTEL CASA ANAMARIA  (SORTIDA DEPURADORA) - REC DE LA FONT SANTA,40
CEDIPSA,ES LA TRAMUNTANA: RIERA CORBEROLA,44
"RESANGI, SL  -SANTUARI SANTA MARIA DEL COLLELL-","RESANGI, SL -SANTA MARIA DEL COLLELL-  (SORTIDA DEPURADORA EMPRESA)",35
CEDIPSA   -E.S. 33.821 PONTOS I  I PONTOS II-,ESTACIÓ DE SERVEI PONTÓS II: RIU FLUVIÀ,43
"EMBUTIDOS MONTER, SLU  -PLANTA SERINYÀ-","EMBUTIDOS MONTER, SLU - PLANTA SERINYÀ",30
"CARNS I EMBOTITS GARROTXA, SA","CARNS I EMBOTITS GARROTXA, SA  (SORTIDA DEPURADORA EMPRESA)",1
"RAMON VENTULÀ, SA   -LA CANTINA-","RAMON VENTULÀ, SA  (RIUDAURA)  (SORTIDA PRETRACTAMENT)",9
"AGRICOLA RAMADERA LES ANGLADES, SCP","AGRICOLA RAMADERA LES ANGLADES, SCP (SORTIDA DEPURADORA)",38
"BOSCH DEL BES, S.C.P","BOSCH DEL BES, S.C.P (riera de la Vall del Bac)",21
"EL PONT DE LLIERCA, SL  -CÀMPING MONTAGUT-",CÀMPING MONTAGUT (SORTIDA DEPURADORA EMPRESA),18
CONSELL COMARCAL DE LA GARROTXA -DIPÒSIT CONTROLAT BEUDA-,ABOCADOR BEUDA (ABOCAMENT LIXIVIATS TRACTATS),51
"MIR BAGÓ, SCP","MIR BAGÓ, SCP (SORTIDA DEPURADORA) - Torrent el Rierell",48
"ALSINA BARCELÓ, RAMON  -MAS GIFREU-",RAMON ALSINA BARCELO- SORTIDA DEPURADORA,44
"ESTEBAN ESPUÑA, SA  -PLANTA MULTIPRODUCTE-","ESTEBAN ESPUÑA, S.A. (AIGÜES DE REFRIGERACIÓ)",8
"FÀBREGA BONADONA, SL","Abocament FÀBREGA BONADONA, SL - riera de Merdançà (infiltració)",35
