key,x,y
"ESTAMBAÑO, SL EDAR RUBI",416668.93,4590130.77
"DEPUNT, SA EDAR D' IGUALADA (VILANOVA DEL CAMÍ)",387457.97,4602415.01
"RECUPERACIONES F. LÓPEZ 2001, SL RECUPERACIONES F.LÓPEZ 2001,SL",414105.93,4590495.79
"TRANSFORMACION EUROPEA DE RESIDUOS, SL EDAR MOIA",425501.23,4628058.76
"INYECTADOS DE PRECISION PERGOM, SL INYECTADOS DE PRECISIÓN PERGOM, SL (SORTIDA SANITÀRIES)",406212.96,4597330.86
"CENTRE HÍPIC 3 AIRES, SL CENTRE HÍPIC 3 AIRES, SL",399389.0,4615490.0
"SAINT-GOBAIN WEBER CEMARKSA, SA EDAR MONTCADA",432443.96,4591681.65
"NAVARRO PEREZ, ANGEL ANGEL NAVARRO PEREZ",438775.37,4644704.69
CLUB CARAVANING AQUA ALBA ABOC.3A FASE: CLUB CARAVANING AQUA ALBA,461425.0,4619092.0
CLUB CARAVANING AQUA ALBA ABOC.CEMENTIRI: CLUB CARAVANING AQUA ALBA,461879.0,4618882.0
"AIGUA D' ORA, SL CAMPING AIGUA D'ORA, SL",393306.45,4664415.06
"CAMPING DE GOSOL, S.A. CAMPING GOSOL",389713.54,4676055.11
"IBERABRASIVOS, SLL IBERABRASIVOS, S.L.L.",428666.08,4607270.71
"BOEHRINGER INGELHEIM ESPAÑA, SA BOEHRINGER INGELHEIM ESPAÑA, SA ( llera)",421431.0,4594248.0
"INDUSTRIA DE ACABADOS ESPECIALES SAMA, SL INDUSTRIA DE ACABADOS ESPECIALES SAMA, SL (AIGÜES SANITÀRIES)",405905.94,4593795.86
"PLANAS RIERA, GRISELDA GRISELDA PLANAS RIERA: FITODEPURACIÓ I INFILTRACIÓ TERRENY",383950.0,4606536.0
"AUSA CENTER, SLU EDAR DE MANRESA",403639.12,4617791.91
"PONT, AURELL Y ARMENGOL, SL PONT AURELL Y ARMENGOL (SORTIDA SANITARIES)",418365.03,4602797.78
"TALLERS MECANICS CASANOVA-CAPDEVILA, SL AA2003001338-clavegueram-riu Ter",438906.47,4656885.7
"RESTAURANT CAN NET, SL 022000000137",455797.19,4617171.51
"INDOCAR REUS, SCCL Abocament INDOCAR, SCCL - pou d'infiltració",341162.56,4557778.29
"ABELLO LINDE, SA ABELLO-Abocament",417415.94,4591320.77
"INSTITUCIÓ FAMILIAR D'EDUCACIÓ, SA (COL·LEGI LA VALL) ABOCAMENT COL·LEGI LA VALL",424298.98,4595986.72
"ECCOCIWINE, SL BLAU NOU, S.L  (SORTIDA DEPURADORA)",494732.5,4650310.27
ENRIC PLADEVALL VILA Abocament ENRIC PLADEVALL VILA - torrent de la Reguera,501106.63,4665295.25
"GUITART PACHECO, JOSEP XAVIER EDAR RUBI",416668.93,4590130.77
"TECNOLOGIAS DEL MEDIO AMBIENTE, SA MANIPULADOS FORESTALES SA (TORRENT DIVUIT)",452402.15,4611962.53
EDAR SILS-VIDRERES EDAR SILS-VIDRERES (SORTIDA),479352.31,4627638.35
"CAN MUNNAR SC -EXPLOTACIÓ RAMADERA- SOLÉS - PAGÈS, SC (RIERA DE PINS)",498582.59,4660775.26
"FUNDICIONES OLOTENSES, SA EDAR OLOT",457959.61,4672318.58
"RECOLLIDA I RECICLATGE, SL  -CR. TARRAGONA- RECOLLIDA I RECICLATGE SL (ABOCAMENT)",437508.36,4643573.69
"SINCROFARM, SL SINCROFARM, SL",423905.85,4578045.7
"TRACTAMENTS I SERVEIS AMBIENTALS VILA, SL FERRAN VILA VILA (SORTIDA DEPURADORA NETEJA CAMIONS)",482833.58,4662928.38
RWE INNOGY IBERIA SLU RWE INNOGY ABOCAMENT PROCÉS I REBUIG,472282.0,4624993.0
"DERMO, SA DERMO SA. (AIGÜES RESIDUALS)",429646.02,4599715.69
"MIRFER, SA MIRFER, SA_2",501203.0,4627021.0
"MOVIGRUP, SA MOVIGRUP SA (SORTIDA DEPURADORA)",376423.32,4650860.17
