uwwCode,pe,dcpCode,dcpName,dcpLatitude,dcpLongitude,pop_2015_g,country_id
PLLE0440,2126.46,PLLE0440Z,dcp Strzyżów,50.8394,24.0355,34403.0178954939,PL
PLLE0450,705.17,PLLE0450Z,dcp Niedrzwica,51.1248,22.397,8171.23768129037,PL
PLLE0460,934.912,PLLE0460Z,dcp Oczyszczalnia Ścieków Gościeradów Folwark,50.5152,21.5021,36845.8674068572,PL
PLLE0461,163.328,PLLE0461Z,dcp Oczyszczalnia Ścieków Wólka Gościeradowska,50.5222,22.0146,52.4175355434418,PL
PLLE0370,6511.802,PLLE0370Z,dcp NAŁĘCZÓW,51.2873,22.1931,13044.8348920085,PL
PLLE0400,4450.05,PLLE0400Z,dcp Niemce,51.3638,22.627,4127.46463247761,PL
PLLE0410,2904.038,PLLE0410Z,dcp Werbkowice,50.7623,23.7674,24936.542355781,PL
PLLE0430,3838.38,PLLE0430Z,dcp Stoczek Łukowski,51.9615,21.9754,3006.32161766291,PL
PLLE0310,5771.502,PLLE0310Z,dcp Zwierzyniec,50.6167,22.9561,9670.71615841612,PL
PLLE0320,13394.475,PLLE0320Z,dcp Mechaniczno-Biologiczna Oczyszczalnia Ścieków w Milejowie,51.2258,22.9357,16426.3663632674,PL
PLLE0330,2598.458,PLLE0330Z,dcp Szczebrzeszyn,50.7067,23.0081,8337.90710686054,PL
PLLE0340,3630.06,PLLE0340Z,dcp Rejowiec Fabryczny,51.1091,23.25,66.7384449243546,PL
PLLE0250,4054.056,PLLE0250Z,dcp Snopków,51.1833,22.2935,6811.28594126552,PL
PLLE0260,5191.789,PLLE0260Z,"dcp Terespol ""Wschód""",52.0858,23.6378,18120.8285220601,PL
PLLE0290,5113.773,PLLE0290Z,dcp Koroszczyn,52.0713,23.5599,9856.99869837658,PL
PLLE0300,7410.44,PLLE0300Z,dcp BEŁŻYCE,51.1801,22.2994,8.8385534286499,PL
PLLE0200,23622.66,PLLE0200Z,dcp Radzyń Podlaski,51.7719,22.5929,26142.291546193,PL
PLLE0210,13336.617,PLLE0210Z,dcp Miejska oczyszczalnia ścieków,51.1834,22.0535,10282.2847359926,PL
