id_gis,id_rec_dat,name,edar,edar_code,ind,capt,lat,lon
2,1,pt002,,,33,,41.79820226,2.6147061
4,2,pt004,,,,,41.77750257,2.35290629
6,3,pt006,,,,,41.78397466,2.680446189
8,4,pt008,,,,,41.79480804,2.692120118
10,5,pt010,,,,,41.80002069,2.706229741
12,6,pt012,,,,,41.80295066,2.708020853
14,7,pt014,,,50,,41.81646371,2.712471673
16,8,pt016,,,,,41.8592971,2.658699548
18,9,pt018,,,,,41.85952123,2.658397343
20,10,pt020,,,,,41.87204362,2.632739492
22,11,pt022,,,35,,41.79460134,2.699037443
24,12,pt024,,,,,41.79851222,2.733602931
26,13,pt026,,,,,41.80054372,2.73630116
28,14,pt028,,,19,,41.81069586,2.532327125
30,15,pt030,SILS-VIDRERES,ES9171930002010E,36,,41.80484559,2.748013093
32,16,pt032,,,8,,41.77519661,2.39911047
34,17,pt034,,,41,,41.78822106,2.76100747
36,18,pt036,MAÇANET DE LA SELVA,ES9171030006010E,42,,41.78794279,2.736653484
38,19,pt038,,,,,41.82382104,2.63409921
40,20,pt040,,,43,,41.82053058,2.719071775
42,21,pt042,,,20,,41.84672741,2.51231734
44,22,pt044,CALDES DE MALAVELLA,ES9170330001010E,37,,41.82669609,2.78270261
46,23,pt046,,,,,41.82298286,2.44442527
48,24,pt048,,,,,41.8666112,2.55985668
50,25,pt050,,,,,41.87728282,2.653184116
52,26,pt052,,,,,41.65592699,2.773799815
54,27,pt054,,,,,41.68491507,2.753584972
56,28,pt056,,,,,41.69275943,2.73914373
58,29,pt058,,,,,41.70240937,2.727694077
60,30,pt060,,,,,41.70237432,2.713280775
62,31,pt062,,,,,41.73900562,2.6941895
64,32,pt064,,,,,41.74170438,2.693575769
66,33,pt066,,,,,41.74523824,2.669520588
68,34,pt068,,,34,,41.77539384,2.669967071
70,35,pt070,,,30,,41.74272682,2.65721428
72,36,pt072,,,23,,41.73088913,2.614318207
74,37,pt074,,,,,41.72467567,2.575305505
76,38,pt076,,,25,,41.72308149,2.57020961
78,39,pt078,,,16,,41.70465953,2.521084729
80,40,pt080,,,,,41.6899589,2.503780926
82,41,pt082,,,12,,41.68451901,2.494816838
84,42,pt084,,,,,41.67998792,2.487948249
86,43,pt086,,,6,,41.6796757,2.468739613
88,44,pt088,,,10,,41.72444987,2.420610243
90,45,pt090,,,,,41.737218,2.409078736
92,46,pt092,,,9,,41.74685973,2.402379638
94,47,pt094,,,61,,41.76677353,2.38085377
96,48,pt096,HOSTALRIC,ES9170830001010E,,,41.73250208,2.625724524
98,49,pt098,,,22,,41.74103145,2.619064882
100,50,pt100,,,,,41.76408732,2.583762159
102,51,pt102,,,21,,41.77037383,2.579813767
104,52,pt104,,,5,,41.67162554,2.479910848
106,53,pt106,TORDERA,ES9082840001030E,,,41.6907259,2.735549232
108,54,pt108,,,4,,41.64770194,2.50776576
110,55,pt110,VILALBA SASSERRA,ES9083060001010E,3,,41.66864386,2.467629831
112,56,pt112,,,31,,41.70481751,2.700657676
114,57,pt114,,,,,41.67766728,2.5846385
116,58,pt116,,,15,,41.71682221,2.523697564
118,59,pt118,,,,,41.72578967,2.572294282
120,60,pt120,,,26,,41.73072793,2.568956998
122,61,pt122,RIELLS I VIABREA,ES9171460006010E,,,41.72776726,2.559664456
124,62,pt124,,,27,,41.73318965,2.565335463
126,63,pt126,BREDA,ES9170270002010E,,,41.7377049,2.569210792
128,64,pt128,,,29,,41.77529585,2.51912156
130,65,pt130,,,,3,41.81954016,2.495261166
132,66,pt132,ARBÚCIES,ES9170090001010E,,,41.8149267,2.521467382
134,67,pt134,,,56,,41.81606229,2.51987703
136,68,pt136,MAÇANET RESIDENCIAL,ES9171030007010E,,,41.76601318,2.695564165
138,69,pt138,,,,,41.73985804,2.676759085
140,70,pt140,TERRAFORTUNA,ES9172130009010E,53,,41.76530639,2.780329237
142,71,pt142,,,,,41.77514386,2.78761345
144,72,pt144,,,,,41.81026952,2.758820049
146,73,pt146,PANTANS DE MONTBARBAT,ES9117103001000E,,,41.75515638,2.7683428
148,74,pt148,,,,,41.77080917,2.467687734
150,75,pt150,,,13,,41.77463007,2.464058558
152,76,pt152,,,2,,41.68824219,2.731956829
154,77,pt154,,,1,,41.70235292,2.762648346
156,78,pt156,,,,,41.69163767,2.740649413
158,79,pt158,,,32,,41.71773462,2.737541002
160,80,pt160,,,49,,41.71196934,2.682304687
162,81,pt162,,,,,41.81062345,2.716708784
164,82,pt164,,,44,,41.81103933,2.703171531
166,83,pt166,,,55,,41.85204241,2.722244706
168,84,pt168,,,51,,41.84299239,2.70272296
170,85,pt170,,,14,,41.72712171,2.51130532
172,86,pt172,SANT CELONI,ES9082020006010E,,,41.69222724,2.507966742
174,87,pt174,,,,,41.75268516,2.397517395
176,88,pt176,,,7,,41.78853163,2.414053271
178,89,pt178,,,60,,41.75195201,2.433910091
180,90,pt180,,,11,,41.69772996,2.48000084
182,91,pt182,,,54,,41.76645142,2.861503734
184,92,pt184,,,40,,41.78625001,2.78867656
186,93,pt186,,,38,,41.80118676,2.841257222
188,94,pt188,,,52,,41.88481206,2.666362123
190,95,pt190,,,,,41.78071161,2.45071303
192,96,pt192,,,,,41.80289815,2.41317253
194,97,pt194,,,,,41.79828579,2.733002413
196,98,pt196,,,39,,41.79265032,2.80696669
198,99,pt198,SANTA COLOMA DE FARNERS,ES9171800004010E,45,,41.85011138,2.672592999
200,100,pt200,,,,,41.73137792,2.626031465
202,101,pt202,,,,,41.76031532,2.598814021
204,102,pt204,,,,,41.7981595,2.548657499
206,103,pt206,,,18,,41.81470418,2.522070646
208,104,pt208,,,47,,41.72747482,2.602923556
210,105,pt210,,,24,,41.72857271,2.59510635
212,106,pt212,,,,,41.72445175,2.575607362
214,107,pt214,,,,2,41.76655909,2.524832762
216,108,pt216,,,57,,41.75606917,2.546247749
218,109,pt218,,,28,,41.74664282,2.552624329
220,110,pt220,,,48,,41.73790038,2.561397914
222,111,pt222,,,17,,41.71577394,2.542626839
224,112,pt224,,,58,,41.71101338,2.533951315
226,113,pt226,,,,1,41.76834781,2.470713948
228,114,pt228,,,46,,41.69697454,2.513034882
230,115,pt230,,,59,,41.70487996,2.468832474
232,116,pt232,,,,,41.68021696,2.488846962
234,117,pt234,SANTA MARIA DE PALAUTORDERA,ES9082590005010E,,,41.68412717,2.458196199
236,118,pt236,,,,,41.73565364,2.411196112
238,119,pt238,,,,,41.77328122,2.377484489
