id,name_ci,name_ind,lat,lon,utm_x,utm_y,edar_name,edar_code,ind_id,capt_id,delete,conca
23,pt0052,pt004,42.26271093,2.418148165,452011.0483,4679109.266,,,,,yes,fluvia
24,pt0054,pt006,42.24595277,2.65949016,471908.6236,4677140.787,,,,,yes,fluvia
25,pt0056,pt022,42.31234988,1.983283765,416210.5951,4684957.501,,,,,yes,ter
26,pt0058,pt008,42.32643392,2.580203517,465411.6787,4686106.165,,,,,yes,fluvia
27,pt0060,pt031,42.36274184,2.858079549,488313.4735,4690062.066,,,,,yes,muga
28,pt0062,pt033,42.35297025,3.110172085,509073.5932,4688973.194,,,,,yes,muga
29,pt0064,pt024,42.03521521,3.125406905,510380.1742,4653693.748,,,,,yes,ter
30,pt0066,pt026,42.05685382,2.964911005,497096.601,4656089.266,,,,,yes,ter
31,pt0068,pt028,42.06204974,2.904372314,492088.0407,4656669.997,,,577,,no,ter
32,pt0070,pt030,42.02731461,2.831645593,486063.2507,4652822.65,EDAR GIRONA,ES9170790005010E,412,,no,ter
33,pt0072,pt032,42.01226398,2.822918828,485337.3724,4651153.047,,,413,,no,ter
34,pt0074,pt035,42.24575744,3.103826248,508565.4784,4677068.196,EDAR EMPURIABRAVA,ES9170470001011E,,,no,muga
35,pt0076,pt010,42.16865363,3.031638272,502613.2762,4668502.404,,,574,,no,fluvia
36,pt0078,pt012,42.1680021,2.978031548,498185.4185,4668429.813,,,573,,no,fluvia
37,pt0080,pt014,42.17709404,2.879589448,490055.5814,4669446.093,,,570,,no,fluvia
38,pt0082,pt016,42.16989084,2.869057277,489184.5274,4668647.587,,,568,,no,fluvia
39,pt0084,pt034,42.0366939,2.240537214,437139.0525,4654129.296,,,474,,no,ter
40,pt0086,pt018,42.17763445,2.79872719,483377.5009,4669518.684,,,564,,no,fluvia
41,pt0088,pt020,42.18283586,2.782888726,482070.92,4670099.416,,,565,,no,fluvia
42,pt0090,pt036,42.04259499,2.243098106,437356.816,4654782.619,,,,,yes,ter
43,pt0092,pt022,42.190007,2.772315017,481199.866,4670897.922,,,557,,no,fluvia
44,pt0094,pt038,42.04850753,2.247413602,437719.7551,4655435.943,EDAR VALL DEL GES-TORELLÓ,ES9082850002010E,,,no,ter
45,pt0096,pt040,42.07588935,2.235682489,436776.1133,4658484.784,,,480,,no,ter
46,pt0098,pt024,42.20219355,2.674672737,473142.6167,4672277.16,,,554,,no,fluvia
47,pt0100,pt026,42.21110385,2.598120183,466827.4754,4673293.44,,,543,,no,fluvia
48,pt0102,pt042,42.13848143,2.210335665,434743.654,4665453.563,,,,,yes,ter
49,pt0104,pt044,42.15019384,2.202283251,434090.3636,4666760.209,,,485,,no,ter
50,pt0106,pt028,42.22204162,2.550555667,462907.7325,4674527.495,EDAR CASTELLFOLLIT DE LA ROCA,ES9170460001010E,,,no,fluvia
51,pt0108,pt046,42.16653086,2.201199262,434017.7757,4668574.996,EDAR RIPOLL,ES9171470007010E,,,no,ter
52,pt0110,pt048,42.17236521,2.194095088,433437.0731,4669228.319,,,,,yes,ter
