lat,long,pixel
41.31875,2.131250006,118326991
41.31875,2.135416672,118326992
41.31875,2.139583339,118326993
41.32291667,2.118750006,118312348
41.32291667,2.122916672,118312349
41.32291667,2.127083339,118312350
41.32708333,2.114583339,118297707
41.33125,2.106250006,118283065
41.33125,2.110416672,118283066
41.33541667,2.102083339,118268424
41.33958333,2.089583339,118253781
41.33958333,2.093750005,118253782
41.33958333,2.097916672,118253783
41.34375,2.072916672,118239137
41.34375,2.077083339,118239138
41.34375,2.081250005,118239139
41.34375,2.085416672,118239140
41.34791667,2.052083338,118224492
41.34791667,2.056250005,118224493
41.34791667,2.060416672,118224494
41.34791667,2.064583339,118224495
41.34791667,2.068750005,118224496
41.35208333,2.047916672,118209851
41.35625,1.985416671,118195196
41.35625,2.047916672,118195211
41.36041667,1.985416671,118180556
41.36041667,2.047916672,118180571
41.36458333,1.985416671,118165916
41.36458333,2.047916672,118165931
41.36875,1.985416671,118151276
41.36875,2.043750005,118151290
41.37291667,1.989583338,118136637
41.37291667,2.035416672,118136648
41.37291667,2.039583338,118136649
41.37708333,1.989583338,118121997
41.37708333,1.993750005,118121998
41.37708333,2.031250005,118122007
41.38125,1.997916671,118107359
41.38125,2.027083338,118107366
41.38541667,2.002083338,118092720
41.38541667,2.006250005,118092721
41.38541667,2.010416671,118092722
41.38541667,2.014583338,118092723
41.38541667,2.018750005,118092724
41.38541667,2.022916671,118092725
41.38541667,2.027083338,118092726
41.38958333,1.935416671,118078064
41.38958333,1.939583337,118078065
41.38958333,1.943750004,118078066
41.38958333,1.947916671,118078067
41.38958333,2.022916671,118078085
41.39375,1.722916669,118063373
41.39375,1.727083336,118063374
41.39375,1.731250002,118063375
41.39375,1.735416669,118063376
41.39375,1.752083336,118063380
41.39375,1.952083338,118063428
41.39375,1.956250004,118063429
41.39375,1.960416671,118063430
41.39375,1.964583338,118063431
41.39375,1.968750004,118063432
41.39375,2.027083338,118063446
41.39791667,1.735416669,118048736
41.39791667,1.739583336,118048737
41.39791667,1.743750003,118048738
41.39791667,1.747916669,118048739
41.39791667,1.752083336,118048740
41.39791667,1.756250003,118048741
41.39791667,1.760416669,118048742
41.39791667,1.764583336,118048743
41.39791667,1.972916671,118048793
41.39791667,1.977083338,118048794
41.39791667,1.981250004,118048795
41.39791667,1.985416671,118048796
41.39791667,2.018750005,118048804
41.39791667,2.022916671,118048805
41.39791667,2.027083338,118048806
41.40208333,1.722916669,118034093
41.40208333,1.727083336,118034094
41.40208333,1.731250002,118034095
41.40208333,1.768750003,118034104
41.40208333,1.985416671,118034156
41.40208333,1.989583338,118034157
41.40208333,1.993750005,118034158
41.40208333,1.997916671,118034159
41.40208333,2.002083338,118034160
41.40208333,2.014583338,118034163
41.40625,1.772916669,118019465
41.40625,1.977083338,118019514
41.40625,1.981250004,118019515
41.40625,2.006250005,118019521
41.40625,2.010416671,118019522
41.41041667,1.777083336,118004826
41.41041667,1.922916671,118004861
41.41041667,1.927083337,118004862
41.41041667,1.968750004,118004872
41.41041667,1.972916671,118004873
41.41041667,2.010416671,118004882
41.41458333,1.777083336,117990186
41.41458333,1.931250004,117990223
41.41458333,1.935416671,117990224
41.41458333,1.943750004,117990226
41.41458333,1.947916671,117990227
41.41458333,1.952083338,117990228
41.41458333,1.956250004,117990229
41.41458333,1.960416671,117990230
41.41458333,1.964583338,117990231
41.41458333,2.006250005,117990241
41.41458333,2.010416671,117990242
41.41875,1.781250003,117975547
41.41875,1.78541667,117975548
41.41875,1.939583337,117975585
41.41875,2.006250005,117975601
41.41875,2.014583338,117975603
41.42291667,1.789583336,117960909
41.42291667,1.793750003,117960910
41.42291667,1.79791667,117960911
41.42291667,1.802083336,117960912
41.42291667,1.806250003,117960913
41.42291667,1.81041667,117960914
41.42291667,2.002083338,117960960
41.42291667,2.018750005,117960964
41.42708333,1.814583336,117946275
41.42708333,1.818750003,117946276
41.42708333,1.82291667,117946277
41.42708333,2.002083338,117946320
41.42708333,2.022916671,117946325
41.42708333,2.027083338,117946326
41.43125,1.802083336,117931632
41.43125,1.81041667,117931634
41.43125,1.827083337,117931638
41.43125,1.831250003,117931639
41.43125,1.997916671,117931679
41.43125,2.031250005,117931687
41.43125,2.035416672,117931688
41.43541667,1.802083336,117916992
41.43541667,1.806250003,117916993
41.43541667,1.83541667,117917000
41.43541667,1.993750005,117917038
41.43541667,2.039583338,117917049
41.43541667,2.043750005,117917050
41.43541667,2.047916672,117917051
41.43541667,2.052083338,117917052
41.43541667,2.056250005,117917053
41.43958333,1.747916669,117902339
41.43958333,1.752083336,117902340
41.43958333,1.756250003,117902341
41.43958333,1.760416669,117902342
41.43958333,1.764583336,117902343
41.43958333,1.768750003,117902344
41.43958333,1.79791667,117902351
41.43958333,1.839583337,117902361
41.43958333,1.84791667,117902363
41.43958333,1.989583338,117902397
41.43958333,1.993750005,117902398
41.43958333,2.060416672,117902414
41.44375,1.735416669,117887696
41.44375,1.739583336,117887697
41.44375,1.743750003,117887698
41.44375,1.772916669,117887705
41.44375,1.777083336,117887706
41.44375,1.78541667,117887708
41.44375,1.789583336,117887709
41.44375,1.793750003,117887710
41.44375,1.843750003,117887722
41.44375,1.852083337,117887724
41.44375,1.985416671,117887756
41.44375,1.997916671,117887759
41.44791667,1.714583336,117873051
41.44791667,1.718750002,117873052
41.44791667,1.722916669,117873053
41.44791667,1.727083336,117873054
41.44791667,1.731250002,117873055
41.44791667,1.781250003,117873067
41.44791667,1.856250003,117873085
41.44791667,1.86041667,117873086
41.44791667,1.981250004,117873115
41.44791667,1.997916671,117873119
41.45208333,1.697916669,117858407
41.45208333,1.710416669,117858410
