code_uwwtp;cod_edar;nom_edar;cabal_disseny;cabal_diari;dbo5;ton;top;x;y
ES9171630006010E;DSGR;SANT GREGORI;240;240;400;71,63571494;8,885714327;480215996;4648048877
ES9080230004010E;DBIR;BIGUES I RIELLS;920;756,2472843;261,2106017;76,83661643;8,104292903;434742481;4613402191
ES9082100001010E;DSFC;SANT FELIU DE CODINES;2900;1349,813507;185,8229043;40,13925207;5,566318827;431270952;4615228698
ES9082840001030E;DTOR;TORDERA;4000;2579,347759;308,9387692;50,15581011;9,032438096;477900303;4615649925
ES9171140003010E;DOLO;OLOT;17000;14349,34118;265,3621922;46,35083785;9,180217793;458015.43;4672206277
ES9171400012010E;DPDS;PORT DE LA SELVA, EL;2625;583,8744197;163,272619;47,42857105;5,553571318;516718784;4686896733
ES9170950005010E;DLDM;LLORET DE MAR;36000;11180,21994;275,2372241;64;6;485374464;4618141292
ES9171930002010E;DSIV;SILS-VIDRERES;4577,777778;3569,914252;216,152747;37,66892523;10,18267109;479354089;4627554352
ES9082540003000E;DSMC;SANTA MARIA DE CORCÓ-L'ESQUIROL;500;335,487004;262,907226;60,30605958;7,680303093;447312182;4653524437
ES9080880001010E;DGAR;GARRIGA, LA;7000;3078,736411;283,7676893;49,79163573;8,106687117;440652.89;4612556877
ES9170080001010E;DANG;ANGLÈS;4500;2918,606316;208,3981829;26,72593389;4,934586757;471882213;4645456437
ES9081660001010E;DPOBL;POBLA DE LILLET;600;302,170174;75,13131882;5,970000267;3,900000095;414651792;4676978909
ES9439060001010E;DLAM;AMPOLLA, L';3200;882,0690866;228,1269841;60,08458328;8,941666663;307866147;4521955489
ES9431480013010E;DTAR;TARRAGONA;35000;24051,03174;353,4759875;74,56089112;16,56723482;350989819;4552277209
ES9171240005010E;DPAL;PALS;6750;1781,10176;124,3738095;40,04821391;7,553571433;513564487;4648904419
ES9081190002010E;DMSF;MASQUEFA;3400;1225,057371;227,2182048;66,54120063;10,19035167;401096218;4593484835
