activitat;Punt2
ESTEVE QUÍMICA, SA;584
DEFIBER, SA;66
AUTORECICLAJE Y GRUAS ROLDAN, SCP;66
CONSORCI DE SERVEIS SOCIALS DE BARCELONA;288
URBANITACIO CAN CERDA;288
AJUNTAMENT DE SANT CUGAT DEL VALLES;286
AAVV SOL I AIRE (NUCLI URBÀ SOL I AIRE);285
CONSORCI DEL PARC NATURAL DE LA SERRA DE COLLSEROLA;288
ASS. ADM. DE COOPERACIÓ CAN CORTES SECTOR A;110
CONSORCI PER A LA CONSTR. EQUIP I EXPLO. DE LAB.;287
AAVV SOL I AIRE (NUCLI URBÀ SOL I AIRE);285
FUNDACIÓ PRIVADA ESCOLES UNIVERSITÀRIES GIMBERNAT;286
CER├üMICA SUGRAÑES, SA (ROSA GRES);128
GUARRO CASAS, SA;289
JANÉ COLL, GABINO;285
ÀRIDS CATALUNYA, SA;285
FUNDACIÓ CATALONIA (CENTRE MONTSERRAT MONTERO);288
AAVV SOL I AIRE (NUCLI URBÀ SOL I AIRE);285
CONGREGACIÓN RELIGIOSA PUREZA DE MARIA;286
FUNDACIÓ COLLSEROLA (ESCOLA AVENÇ);285
CEDIPSA (E.S.BELLATERRA I-II);287
RESIDENCIA DE DISMINUITS PSIQUICS JOAN XXIII - INST.CATALÀ D'ASSIST. I SERV. SOCIALS;288
DESGUACE LA ROCA, SL;290
CEMENTIRIS DE BARCELONA, SA;288
ASSOCIACIÓ VALL DE TOSSA DE LA MOLINA;285
AAVV SOL I AIRE (NUCLI URBÀ SOL I AIRE);285
CEDIPSA (E.S.BELLATERRA I-II);287
PUIGFEL, SA;287
RAMOS TRENZADO, ALBERT (MASIA FONT DEL TORT);296
AJUNTAMENT DE SANT CUGAT;286
FLOR DE MAIG (CENTRE FORMACIÓ I TREBALL);288
FUNDACIÓ PRIVADA SANT MEDIR;285
INSTITUT CULTURAL CIC - ESCOLA THAU SANT CUGAT;286
DESGUACE LA ROCA, SL;290
DRAGADOS, SA;114
RECUPERACION Y RECICLAJE DE RESIDUOS, SL;585
LA BALCHETA RECICLAJE SL;585
MECANIZADOS BUSQUÍ, SL;113
ABELLO LINDE, SA;113
RECYMET SYSTEMS, SL;113
NELVI, SCP;190
CENTRE DE TELECOMUNICACIONS A MONISTROL DE MONTSERRAT;190
ATRA ASSOCIACIÓ;603
ANA M┬¬ MUÑOZ COTES (RESTAURANT-BAR PONT DEL GAT;191
BENEDICTINES MONESTIR DE SANT BENET;191
CARTONAJES INTERNATIONAL, SL;119
IBERINOX 88, SA;101
CEMENTOS MOLINS INDUSTRIAL, SA;100
IBERINOX 88, SA;101
AIGÜES DE CASTELLBISBAL EMPRESA MIXTA, SL (CASTELLBISBAL);118
ALBERGUE 4 ESTACIONES, SL;104
CEMENTOS MOLINS INDUSTRIAL, SA;100
IBERINOX 88, SA;101
CEMENTOS MOLINS INDUSTRIAL, SA;108
DIDAC SYSTEMS, SL.;120
ITG BAIX, SL (INDUSTRIA DE TRATAMIENTO GALVANICO);108
CEPSA ESTACIONES DE SERVICIO, SA;120
MECANIZADOS RODRIGUEZ HERMANOS, SL.;120
CERAMICAS AGUILAR, SL;109
CLUB DE TENIS SANT GERVASI;99
IBERINOX 88, SA;101
TECASA, TABIQUES, SL;598
AJUNTAMENT DE CORBERA DE LLOBREGAT;111
AIGÜES TER LLOBREGAT (PLANTA SANT JUST DESVERN);99
ESTACIÓ DE SERVEI ESTEVE, SL;103
LAFOU, SL. (URBANITZACIÓ MAS DE LES FONTS);107
CAN MAS, CASA DE COLONIES, S.L;102
EDAR EL PRAT DE LLOBREGAT;104
ALTA CRUZ, SA;108
CEMENTOS MOLINS INDUSTRIAL, SA;108
CEMENTOS MOLINS INDUSTRIAL, SA;100
HOLCIM (ESPAÑA), SA;118
CEMENTOS MOLINS INDUSTRIAL, SA;100
SUCESORES DE CERAMICA DE PAPIOL, SA;112
ROTOCAYFO,SL;104
FCC CONSTR. I SERVIÀ CANTÓ, SA (UTE VAR. VALLIRANA);107
ANODICOLOR, SLU;118
CARBURANTS J. SOLANAS, SL;119
CLEMENTE SAURA, PEDRO;109
MAS-BAGÀ BLANC, MANEL;106
PLAÇA GERMANS MOLINS RIBOT;108
GALPGEST PETROGAL ESTACIONES DE SERVICIO, SLU;108
OBERTHUR TECHNOLOGIES IBERICA, SAU;105
PAHI, SL;104
CONSORCI PAR DE COLLSEROLA;600
SUBESTACIÓ BEGUES;91
AUTOPISTES DE CATALUNYA, SA;
AUTOPISTES DE CATALUNYA, SA;
AUTOPISTES DE CATALUNYA, SA;
JUVE & CAMPS, SA;133
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;129
BARDINET, SA;129
AGROMILLORA IBERIA, SLU;134
DHL SUPPLY CHAIN (SPAIN), SLU;129
ASSOCIACIÓ RECREATIVA DE CARAVANISTES DE BARCELONA;133
CACENCA, S.L.;130
TORELLO LLOPART, SA;133
AJUNTAMENT DE GELIDA;129
SEGARRA GUITART, PEDRO (ESCORXADOR D'AUS I CONILLS);142
PARC LOGÍSTIC DE L'ALT PENEDÈS;135
FUNDACIÓN FILOKALIA AMIGOS DE AMMA;150
AJUNTAMENT DE PIERA (BARRI DE LA FORTESA);150
AJUNTAMENT DE PIERA;150
SOLER & DEGOLLADA, SA;140
SOLER JOVE, SL;136
CODORNIU, SA;143
EDAR LES CASETES D'EN RASPALL;140
DEIXALLES I TRANSPORTS A.PLAZAS, SA;137
LA GRAMANOSA, SL;138
PAPELERA RIUDEVITLLES, SA;140
EDAR LA FANGA;139
JEAN LEON, SL;142
EDAR LAVERN;137
GRAMONA, SA;136
MANCOMUNITAT PENEDÈS-GARRAF (BARRI LA FANGA);139
PULIDOS Y CROMADOS DE METALES, SL;135
EDAR L'ALZINAR;139
AJUNTAMENT DE PIERA - BARRI CAN BONASTRE;150
JUNTA DE COMPENSACIÓ POLI.INDUSTRIAL CAN BAS;137
BODEGUES SUMARROCA, SL;134
ALBET I NOYA, SL;138
BODEGUES SUMARROCA, SL;134
MARIA NUTO, SA;144
AJUNTAMENT DE PIERA (BARRI CAN CANALS);141
HOTEL RESTAURANT SOL I VI;142
ESCOLA DE VITICULTURA I ENOLOGIA MERCE ROSSELL I DOMENECH;135
MIGUEL TORRES, SA;74
CEPSA, SAU;74
JOSEP MASACHS, SL;77
BOLEA LORDAN, JOAN ANTON;77
