activitat;Punt2
ESTACION DE SERVICIO EL BRUCH, SA (REPSOL);184
DIA RETAIL ESPAÑA SA;324
AGUSTIN BARRAL, SA;284
LA FARGA VELLA,S.L. (HOSTAL LES FONTS);592
AJUNTAMENT DE PUIG-REIG (POL. IND.CAN VIDAL II);268
SISTEMAS DE EMBALAJE SORSA, SA;587
SIRAP PACKAGING IBERICA SLU;268
├üRIDOS Y DERIVADOS CARTRÓ, SA;317
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;610
VENTURA, ORXATA I GELATS, SA;318
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;609
FRESENIUS MEDICAL CARE ESPAÑA, SA;317
CAMPSA ESTACIONES DE SERVICIO, SA (MARGE DRET);610
PETROLIS INDEPENDENTS, SL;610
DESGUACES TRECE, SL;317
GREEN PLANET EVENTS, SL;317
JUNTA DE COMPENSACIÓ DEL PLA PARCIAL DEL POL.IND.VALLDERIOLF;317
CAMPSA ESTACIONES DE SERVICIO, SA (MARGE DRET);610
GREEN PLANET EVENTS, SL;317
EDAR LES CASES NOVES;463
VINICOLA DEL PAIS, SAU;254
INCASOL;247
SALA RIBALTA, XAVIER;252
AJUNTAMENT DE CALDERS - NUCLI CALDERS;251
PALLARÈS ICART, EDUARD;253
JAUME ESCAYOLA I CIÓ, S.L.;254
IBERPOTASH, SA  - MINA SALLENT;264
RESTAURANT VISTA PIRINEU, SCP;251
RESTAURANT URBISOL, SL;252
RESTAURANT CAN NET, SL;340
CAN RIERA DE CIURET, SL (CAMPING I CASA DE COL├ÆNIES);340
FISA RECUBRIMIENTOS, SA;341
ENTITAT URBANÍSTICA DE CONSERVACIÓ DEL POL. IND EL MOLINOT;334
REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS, SA (EE/S 15.180);332
COPERFIL OBRAS Y SERVICIOS, SA;334
ESTACIÓ DE SERVEI VALLGORGUINA, SL;333
TALLERES PENA, SL;345
GIVAUDAN IBÉRICA, SA;612
SOREA, ETAP CAN SANS DE SANT CELONI;340
RANKE QUIMICA, SA;345
ARKEMA QUÍMICA, SAU;334
LA LLUNA DE CAN CASTELLAR, SL;333
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;334
SOCIEDAD ESPAÑOLA DE CARBUROS METALICOS, SA;345
CAN CLARENS, SL;333
LLAR D'INFANTS GRANOTA, SL;333
INFRAESTRUCTURES VIARIES DE CATALUNYA, SA;
INFRAESTRUCTURES VIARIES DE CATALUNYA, SA;
RESTAURANT CAN RASPALL, SCP;316
GRANJA ESCOLA EL XALOC, SL;248
AJUNTAMENT DE CASTELLNOU DE BAGES;246
L'ANEC 5 AGLANS, SCP;249
DENSO BARCELONA, SA;244
CAPATEST, SL;244
VALLEJO FIDALGO, E.MIQUEL;250
IBERICAR CADI, SA;244
FARMABAN, SA;244
PRECUITS, SL;244
AGROPECUARIA CATALANA, SCCL;244
HERMANOS PRATGINESTOS, SA;244
A. RAYMOND TECNIACERO, SAU;245
SUPERMERCADOS LLOBET, SA;244
FUNDICION PUJOL MUNTALA, SA;244
BASTOS & TORVAL S.L.;247
DISCBAGES, SL;244
GRANJA PORTA, SCP;244
FUNDACIÓ AMPANS;245
CARRERAS GRUPO LOGÍSTICO, SA;132
AUTOGRÚAS SANT JORDI, SL;132
FINDLAY INDUSTRIES ESPAÑA, SL;132
AUTOGRÚAS SANT JORDI, SL;132
AJUNTAMENT DE SANT LLORENÇ D'HORTONS;131
ALDI MONTORNES SUPERMERCADOS, SL;132
AFFINITY PETCARE, SA;132
VOLCATALAN, SA;132
AJUNTAMENT DE SANT LLORENÇ SAVALL (URB. LES MARINES);295
DIPUTACIÓ DE BARCELONA - MARQUET DE LES ROQUES;295
AJUNTAMENT DE SANT POL DE MAR (CENTRE DE RECOLLIDA SELECTIVA);329
AJUNTAMENT DE SANT POL DE MAR (CARRER BON REP├ÆS);
INFRAESTRUCTURES VIARIES DE CATALUNYA, SA;
FORMIGONS LA VALL D'EN BAS, SLU  -FORBAS-;486
ENDESA GENERACION, SA  -C.H. CARBUROS MONTESQUIU-;484
EDMUNDO BEBIÉ, SA;485
EDAR POLÍGON INDUSTRIAL LA TEULERIA  (SORA);483
EDAR SANT QUIRZE DE BESORA;483
SODECA, SLU;483
ESPAI NATURAL SANT DEL FAI, SL;309
COL├ÆNIES ROSA DELS VENTS, SA (MAS BADÓ);311
AJUNTAMENT DE SANT QUIRZE SAFAJA;310
URBANITZACIO DE SANT MARTI SESPERXES;309
PUIG SANTASUSANA, JOSEP;309
ANTONI MONTAÑA MORETÓ;456
CA LA ROTLLADA, SL;457
LATORRE RIU, M. DOLORS  -CASA COL├ÆNIES-;457
ANGLADA PUIGCERVER, JORDI -FORMATGERIES DE CANTONIGR├ÆS-;457
COLOMER LLACH, PERE;472
AJUNTAMENT DE MALLA  -EDAR SECTOR RIERA DE MUNTER-;472
ESPORC, SA;471
DESBALLESTAMENTS POL, SL;471
RWE INNOGY IBERIA SLU;364
TYLER, PAUL;360
SANS BRANDED APPAREL, SL;360
RECUPERAUTO PALAFOLLS, SL;331
AJUNTAMENT DE RIUDARENES - ZONA ESPORTIVA;374
SERVEIS MUNICIPALS DE RIUDARENES, SA;374
AREAS, SA  (ÀREA DE LA TORDERA);
ROSA TARRÉS FERRER;352
SERVEIS MEDIAMBIENTALS DE LA SELVA, NORA, SA -ABOCADOR DE RESIDUS-;374
AJUNTAMENT DE FOGARS DE LA SELVA;360
CRODA IBÉRICA, SA (MEVISA SITE);360
PALOU MIR, LURDES;365
RECUPERAUTO PALAFOLLS, SL;331
SERVEIS MEDIAMBIENTALS DE LA SELVA, NORA, SA -ABOCADOR DE RESIDUS-;374
RECUPERAUTO PALAFOLLS, SL;331
SERVEIS MUNICIPALS DE RIUDARENES, SA;374
CEDIPSA E.S.MALGRAT (2579) DIRECCIÓ BCN;
EL CLOS DE CAN ROQUET, SL;363
SUREDA NOGUÉ, JOSEP (GARATGE SUREDA);374
MADERERA GERUNDENSE, SA;374
ALEXANDRALOG SPNE02 SL;360
NAVARRETE VILCHEZ, TOMÀS  -RESTAURANT CAN CABATXÓ-;374
MAS MAROTO HERMINA Y CIA, CB;374
TESCA SPAIN BARCELONA S.L.U.;360
CORCHO DEL PAIS, SA;374
SERVEIS MUNICIPALS DE RIUDARENES, SA;374
MENADIONA, SL;331
SAURA CARLES, MONTSERRAT;
ASOCIACION RECREATIVA CULTURAL FAMILIAR TORDERA PARK;361
CRODA IBÉRICA, SA (MEVISA SITE);360
CITRICOS Y REFRESCANTES, SA;361
AJUNTAMENT DE TORDERA - VE├ÅNAT DE ST. DANIEL;330
SUCESORES DE F. MASENS, SA;
E.S.TORDERA KM.684, SL;362
C├üRNICA BATALLÉ, SA;374
MASIA MONTCORP, SL;375
UNITEX, SA;360
INICIATIVAS NAMBE, SL;374
CERVERA CORTADA, MANEL (CAMPING MONTSENY);337
BUSQUETS VALDEVELL, MARIA TERESA;338
UNGÉ MARIAGES, MARC;335
FUNDACIO CATALANA DE L'ESPLAI - ESCOLA LA TRAÜNA;337
AIGÜES VALLFLORIDA, SLU;339
PUIG DEUMAL, REMEI (CAMPING LES ILLES);336
PUIG DEUMAL, REMEI (CAMPING LES ILLES);336
E.ON GENERACION, SL (CENTRAL TERM. DE CERCS);278
PEIXOS POVILL, C.B.;278
E.ON GENERACION, SL (CENTRAL TERM. DE CERCS);278
E.ON GENERACION, SL (CENTRAL TERM. DE CERCS);278
EDAR LA NOU DE BERGUEDÀ;278
ROVIRA CLOTET, JESUS (CAMPING MASIA CAL PARADIS);223
AMANN SPAIN, SL;221
RECUBRIMIENTOS Y MOLDEADOS, SA - REMOSA;220
EDAR POLIGON INDUSTRIAL LA POBLA - AJUNTAMENT DE SÚRIA;218
RECUBRIMIENTOS Y MOLDEADOS, SA - REMOSA;220
ESTACIÓ DE SERVEI TROY PALÀ, SL.;219
AJUNTAMENT DE SANT MATEU DE BAGES (SANT MATEU DE BAGES);222
ACONDICIONAMIENTO TARRASENSE (LEITAT);117
LLOC NOU, SCCL;117
PRUDENCIA ANDA BALLESTA,MIGUEL ROVIRA GALIMANY,MIGUEL I MARTA ROVIRA ANDA;116
SAGRADA FAMILIA DE URGEL-INSTITUTO HERMANAS CURIA;116
FERRÉ ROIG, ARMONIA;116
AUTEMA, SA;115
AUTEMA, SA;115
GABINETE DE ASISTENCIA A LA CONSTRUCCION, S.L;117
CONSORCI GESTIÓ RESIDUS URBANS D'OSONA -DIP├ÆSIT CONTROLAT-;482
CÀMPING DE VIDRÀ, SA;477
ROVIRA BAUCELLS, IMMA;480
ESCOLA FAMILIAR AGRARIA MAS QUINTANAS;476
TALLERS MECANICS CASANOVA-CAPDEVILA, SL;481
CONSORCI GESTIÓ RESIDUS URBANS D'OSONA -DIP├ÆSIT CONTROLAT-;482
CONSORCI GESTIÓ RESIDUS URBANS D'OSONA -DIP├ÆSIT CONTROLAT-;482
TRIPLASSA LA MAMBLA, SA;482
EDAR DE CAN BRANQUES -ORÍS-;481
GARCIA GINEBRA, JOSEP M -CASA COLONIES-;479
LA FARGA YOURCOPPERSOLUTIONS SA;476
RESTAURANT PIGUILLEM, SL;478
SEGURA VIUDAS, SA;145
RESTAURANT EL MOLÍ BLANC;146
DS SMITH PACKAGING PENEDES, SA;146
CELLER PARDAS, SL;146
LOGIVIT, SL;601
SEGURA VIUDAS, SA;145
MANCOMUNITAT INTERMUNICIPAL PENEDÈS I GARRAF;148
PAGES DE ROFES, SL;149
DS SMITH PACKAGING DICESA, SA;147
BCNONWOVENS, SL;147
ENTITAT DE CONSERVACIO DEL PLA PARCIAL CAN TORRELLA;175
MODELAUTO CASH, SL;417
MODELAUTO CASH, SL;417
FUNDACIO VEDRUNA CATALUNYA EDUCACIO -ESCOLA BEDRUNA GIRONA-;418
INVERSIONS PETROLIFERS, SL;472
VESPELLA D'ESPLAI, SL  -CASA DE COL├ÆNIES-;465
PERE VILA CARBONELL, SL;467
GESDIP, SAU;472
SOLÀ SABORIT, SL;469
LA BOIXEDA, S.L -CASA TURISME RURAL EL MAS-;470
NAVARRO PEREZ, ANGEL;466
AJ. DE SANT JULIÀ DE VILATORTA (SANT JULIÀ DE VILATORTA);470
COMERCIAL AYMERICH, SA;470
RAE CHO, BEOM -CLUB GOLF TARADELL-;470
FUEGO VITAL, SL;616
CASTELLS SALVANS, RAMON;468
AUTOSUMINISTRES MOTOR, SA  -VIC-;470
FUNDACIÓN PROYECTO Y VIDA;470
ROURA ANGLADA, SA  -ROANSA-;470
YLLA 1878, SL;466
CAMPSA ESTACIONES DE SERVICIO, SA;180
ASOCIACIÓN RETO A LA ESPERANZA;177
FICOSA ELECTRONICS, SLU;179
MÚTUA DE TERRASSA;179
ESTACIO DE SERVEI JORBA;168
AJUNTAMENT D'├ÆDENA  - NUCLI L'ESPELT;164
VILELLA CORCELLES, RAFAEL;161
GUIXOS CANALS, SL;167
C. GIL, SA;164
FAST ENGINYERIA, SL;160
ASSOCIACIÓ PARCS D'ESTUDI I REFLEXIO DE CATALUNYA;163
FUNDACIÓ CATALANA PER L'ESPORT DEL MOTOR;160
FUNDACIÓ CATALANA PER L'ESPORT DEL MOTOR;160
CERAMICA SAN GENIS,SA;165
GESTORA DE RUNES DE LA CONSTRUCCIÓ, SA;166
GUIXOS CANALS, SL;167
AJUNTAMENT DE RUBIÓ (RUBIO);169
ATLAS GESTION MEDIOAMBIENTAL, SA;160
GRUAS Y PORTAVEHICULOS PEDRO, SL;164
SAGARRA BASCOMPTE, S.A.;162
INCASOL;159
EGARA 2005, SL - ES VIDRERES -EGARA;372
PREMIUM MIX GROUP, SL;367
SA VICHY CATALAN;367
FARRE LOGISTICS, SL;367
EDAR MOLLÓ;505
CLUB DE GOLF CAMPRODON;506
MOVIL, SA  -E.S. CAMPRODON-;503
CAN PERICÓ (BEATRIZ ORIOLA-CORTADA SALVADORES);504
TERESA MORET GARDELL (MAS COLLELL);504
VALLTER, SA;508
CAMPING LA BALMA, SL;459
PATEL, SAU;580
CONFIGIRONA, SA;443
HOSTALERIA CROVI, SL;594
SERVEIS MD-PRINCIPAT, SL  -HOSTAL CAN ENRIC  LA CANTINA-;462
EXIDE TECHNOLOGIES RECYCLING, SL;444
AGUAS DANONE, SA  -MANANTIAL FONTER-;448
SERRADORA CUNILL, SLU;448
FUNDACIÓN SALUD Y COMUNIDAD  -CENTRE TERAPÈUTIC-;461
FUNDACIÓ SANT PERE CLAVER DEL CLOT  -COL├ÆNIES TERESA ESPONA-;461
FUNDACIO CATALANA DE L'ESPLAI -CASA COL├ÆNIES CAN MATEU-;454
HORNO DE SAN JUAN, SL -SANT JULIÀ DEL LLOR I BONMATÍ-;615
ENDESA GENERACIÓN, SA  -C.H. SUSQUEDA-;452
BALDHERI, SL;452
ENDESA GENERACION, SA  -C.H. SAU-;454
FUNDACIO CATALANA DE L'ESPLAI -CASA COL├ÆNIES CAN MATEU-;454
GWENA├ïLLE GAUTIER, MA├ÅNA;581
PUJOL GEBELLI, DAVID  -CASA DE COL├ÆNIES LES TALLADES-;454
LABORATORIOS HIPRA, SA  -CIAMER-;448
EDAR BONMATÍ;443
VIDAL ROQUET, JAUME -CÀMPING MOLÍ DE BOJONS-;462
PONS ANGLADA, LLUIS;455
ENDESA GENERACION, SA  -C.H. PASTERAL  II-;445
AIGUA DEL MONTSENY, SA - MANANTIAL AIGUANEU -;459
EUROAYCA, SL  -CLUB DE POLO SANT ANTONI DE VILADRAU-;460
SERRA BAYÈS, JOSEP;458
SERRA Y MOTA, SA;445
LIQUATS VEGETALS, SA;460
ENDESA GENERACION, SA - PRESA DE SUSQUEDA;453
FOREST CAPDEVILA, MARTÍ  -CASA DE COL├ÆNIES LA MINA-;446
AQUARIOS HOTELERA, SA  -CÀMPING AQUARIUS-;
CER├üMICAS PRÍNCEP, SL;595
TENENCIAS FIGUERENSES, SA - CLUB DE TENIS FIGUERES;507
DESBALLESTAMENTS POT, SC;525
ESTACIÓ DE SERVEI AVINYONET, SL;528
PASCUAL MERCADER, JOAQUIM - LACTICS TRAMUNTANA-;530
PRAT PLANAS, LLUÍS  -TURISME RURAL MAS JONQUER-;527
TRANSPORTES CALSINA CARRE, SL;522
├üRIDOS FIGUERAS, SA;525
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;529
GABARRE FLORES, FRANCISCO;507
VALL DE SANTA MAGDALENA, SA;524
EUROPEA DEL HOGAR Y LA LIMPIEZA EUROLAR, SL;530
EDIFICIS EMPORDÀ, SA;525
MOLI PARK HOTEL, SL;523
FRIGORÍFICS DE L'EMPORDÀ, SA  -FRIDASA-;525
DESBALLESTAMENTS POT, SC;525
ENDESA GENERACION, SA   -C.H. BOADELLA-;524
FUNDACIÓ PRIVADA ALTEM;526
AJUNTAMENT DE SANTA LLOGAIA D'ÀLGUEMA - POL.IND.5 P.P. 1;595
TRANS GRUES FONT, SL;595
DOMAX, SL;525
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;522
VALLS AUTOMOCIO, SL;349
POLIESTER NAUTIC, SL;348
EXCAVACIONS ROSELL, SL;348
INDUSTRIA AUXILIAR CARROCERIAS, SL;349
POLÍGON INDUSTRIAL PONT CREMAT;349
PMT-EUROPE, SL;348
PMT-EUROPE, SL;348
SELVAVENTURA, SL;347
TAPISSERIA BATALLE, SL;349
EXCAVACIONS ROSELL, SL;348
IMAR SANT HILARI, SL;349
EXPLOTACIONS TURÍSTIQUES CYPSELA, SA  -CÀMPING CYPSELA-;
TRACTAMENTS I SERVEIS AMBIENTALS VILA, SL;411
TRACTAMENTS I SERVEIS AMBIENTALS VILA, SL;411
SALVADOR SERRA, SA;411
DECOLETAJE Y TORNILLERIA, SA  -DYTSA-;413
CONSORCI DE L'ESTANY;412
TARRÉS MORRAL, MANUEL;408
SALVADOR SERRA, SA;411
CONSELL COMARCAL DE LA GARROTXA -DIP├ÆSIT CONTROLAT BEUDA-;618
TRANSPORTES PRUJÀ, SA;557
CÀMPING BESALÚ, SL;555
CONSELL COMARCAL DE LA GARROTXA -DIP├ÆSIT CONTROLAT BEUDA-;618
CAL PARENT RESORT, SL;556
L.C. PAPER 1881, SA;557
HECINEMAX, SA  -PENSIÓ CAN SEROLA-;553
RESTAURANT SANT FERRIOL,  SL  -HOTEL SPA SANT FERRIOL-;558
ALBA SERVEIS EDUCATIUS, SL;554
RETEVISIÓN I, SAU  -ROCACORBA-;410
EL MARGARIT DE ST. GREGORI, SL;440
CASADEMONT 1956 MEAT SL;443
EMBUTIDOS SABARÍ, SL;441
PUIG POCH, ÀNGEL;442
CASA WESTFALIA,SA;388
RECUPERACIÓ DE PEDRERES, SL -DIP├ÆSIT CONTROLAT VACAMORTA-;389
CER├üMICA FERRÉS, SL;390
FAÑÉ CARBONÉS, JAUME;387
COL├ÆNIES R V, SA  -CASA DE COL├ÆNIES POU DE GLAÇ-;387
CAMPS MOTOR, SA;388
TORRENT CUFÍ, FRANCESC  -MAS PATIRÀS-;388
RECUPERACIÓ DE PEDRERES, SL -DIP├ÆSIT CONTROLAT VACAMORTA-;390
COMUNITAT DE VE├ÅNS MAS GUELO;
CERÀMIQUES LA PEÇA, SC;358
ARCILLAS DE BREDA, SA;358
GERMANS MONTSANT, SC (RESTAURANT BELL-LLOC);359
CAN PIJAUME, SL;614
HOSTAL MARLET, SC;359
LAROMAINE I DILME, SL;421
GERMANS CAÑET-XIRGU, SL;421
CEDINSA D'ARO CONCES. DE LA GENERALITAT DE CATALUNYA,SA;431
JUNTA DE COMPENSACIO DE FONT BONA  (EDAR I COL┬ÀLECTORS DE FONTBONA);378
MARIA CRUZ MIMBRERA I ALTRES, CB -TURISME RURAL MAS SERENA-;430
MAS GIL, SL  -CLOS D'AGON-;384
AJUNTAMENT DE CASSÀ DE LA SELVA;432
RECUPERACIONS MARCEL NAVARRO I FILLS, SL;430
GEST OIL CENTER, SL;421
DCD TALLER AMBIENTAL, SL -CASA TURISME RURAL CAN PIFERRER-;433
2 GRAUS 2009, SL -RESTAURANT MAS TARRÉ-;431
ROGET AUTOMOCIÓ, SL-GARATGE ROGET-;430
NOEL ALIMENTARIA, SAU  -CENTRES 1 I 4-;544
ETAP DE CASTELL-PLATJA D'ARO;383
MIRFER, SA;
CONSTRUCCIONS ENRIC RUSCALLEDA, S.L;380
PARCS AQUÀTICS DE LA COSTA BRAVA, SL  -AQUADIVER-;
CONSORCI CONDIC. I GESTIO COMPLEX TRACT. RESIDUS DE SOLIUS;379
PARCS AQUÀTICS DE LA COSTA BRAVA, SL  -AQUADIVER-;
ETAP DE CASTELL-PLATJA D'ARO;383
MUGADAS, SLU;
MIRFER, SA;
REPSOL COMERCIAL DE PRODUCTOS PETROLÍFEROS, S.A;381
RIDELBAMAR, SL;
LLOGUERS TOLEDO CB;382
SOLÀ COSTA, PILAR;381
EMBUTIDOS MONTER, SLU  -PLANTA SERINYÀ-;560
FRIBEL, SA;
CEDIPSA;574
PETROPALOL, SL;409
CÀMPING ESPONELLÀ, SL;566
CASA ANAMARIA RESORT, SLU -HOTEL CASA ANAMARIA-;570
PRAT POLIESTER, SL;567
FARBOS LLEVANT, S.L.;
FÀBREGA BONADONA, SL;565
PLASTIARMETSA, SA;413
PETRO PALOL, SL;409
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;573
TUBERT LLENSA, ARTUR  -RESTAURANT CAL FERRER-;561
CEDIPSA   -E.S. 33.821 PONTOS I  I PONTOS II-;573
ENDESA GENERACION, SA  -C.H. LES ILLES-;562
SAT N  3021  -L'ARMENTERA FRUITS N 345 CAT-;577
CEDIPSA;574
MASIAS CODINA, CARLES  -CÀMPING MASIA CAN PATXET-;563
POSIBLEMENTE LA MEJOR CASA RURAL DE GIRONA, SL -TURISME RURAL-;571
RESIDÈNCIA ELS CIRERERS, SL;407
ALSINA BARCELÓ, RAMON  -MAS GIFREU-;573
RESIDENCIA PLA DE MARTÍS, SCCL;567
POLIESTER PLA DE L'ESTANY, SL;567
CONSELL COMARCAL DE L'ALT EMPORDÀ;576
MAS CUCUT, SCP;569
MAR RICO, SL  -RESTAURANT SANTA ANA-;573
AJUNTAMENT DE VILOPRIU (EDAR I COL. DE VALLDAVIÀ);
AJUNTAMENT DE PALAU DE SANTA EULÀLIA EDAR 3 (ZONA NORD);575
EDAR URB. SECTOR ELS PRATS  (VILADEMULS);406
LIDEROU, SL;559
FAJULA - PEDRO, SL  (E.S. NÚM 10957);
ESCORXADOR VILA DE L'ARMENTERA, SL;577
FUNDACIÓ ESPLAI GIRONA  -CASA DE COL├ÆNIES ELS ARCS-;562
INDUSTRIAS DEL ENVASE Y CONTRACHAPEADOS, SA (IDENCO);
GRUES FONT GARATGE, SL;
AGRICOLA RAMADERA LES ANGLADES, SCP;568
AREAS SAU  -ÀREA DE L'EMPORDÀ 2018-;574
EDAR URB. SECTOR ELS PRATS  (VILADEMULS);406
ENDESA GENERACIÓN, SA  -C.H. ORFES-;572
ÀRIDS GERMANS CURANTA, SA;
SOCIETAT CATALANA DE PETROLIS, SA  -E.S. BELLCAIRE D'EMPORDÀ-;
AJUNTAMENT DE VILADEMULS (NUCLI DE VILAFRESER);404
ENRIC PLADEVALL VILA;
RESANGI, SL;564
RESANGI, SL  -SANTUARI SANTA MARIA DEL COLLELL-;565
DIP├ÆSIT DE RUNA TERRA NEGRA, SL;
BRITLI, SL   -CÀMPING LAVA-;619
CEDIPSA   -E.S. 33.821 PONTOS I  I PONTOS II-;573
COLOMER, PLANAS, GENÍS JORDI;400
ECCOCIWINE, SL;403
EDAR JUIÀ;404
SERVEIS LA PERA, SL;402
FUNDACIÓ PRIVADA RESILIS;404
RESTAURADORS GERODA, SL -RESTAURANT D'EN BAHI-;402
CUINATS JOTRI, SL;404
CASADELLA QUER, ESTEVE;579
SARAS ENERGIA, SA;404
ESCOLA DE NATURA MAS PAGÈS;401
EDAR FLAÇA;402
TERREAL ESPAÑA DE CERAMICAS, SAU;402
ROUSSELOT GELATIN, SL;405
GONZALEZ COVAS, JUAN;404
HOTEL-RESTAURANT SAUSA, SL;401
ESPECIALIDADES ELECTRICAS ESCUBEDO SAU;414
GENERAL GALVÀNICA GIRONINA, SL;414
LUTECAF, SA -SANTS METGES HOTEL-;414
CENTRE DE JARDINERIA SANT NARCÍS, SL;435
COMPAÑIA LOGISTICA DE HIDROCARBUROS CLH, SA;435
MONBAKE GRUPO EMPRESARIAL S.A.U.;437
PAPELERA DE SARRIA, SL;415
COMPAÑIA LOGISTICA DE HIDROCARBUROS CLH, SA;435
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;414
PROJOSMAN, SA;414
CAMPSA ESTACIONES DE SERVICIO, SA  -E.S. PALOL-;414
GIRÓ BARELLA, EDUARDO;415
TORRASPAPEL, SA  (SARRIÀ DE TER);415
TORRASPAPEL, SA -CENTRE LTC-;415
FRIGORÍFICS DE L'EMPORDÀ, SA  -SALT-;436
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;436
ROURA PASCUAL, NÚRIA;416
ECOGIRONINA DE DIP├ÆSITS, SL;435
NESTLÉ ESPAÑA, SA;438
CONSTRUCCIONES RUBAU, SA;414
ESPECIALIDADES ELECTRICAS ESCUBEDO SAU;414
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;373
APLICA, SL (E.S.VIDRERES - MARGE DRET);372
AJUNTAMENT DE CALDES DE MALAVELLA  (URB. CAN CARBONELL);368
TRETY, SA;373
DEUTSCHER SHAFERHUND CENTER, SL;370
JUNTA DE COMPENSACIO PLA PARCIAL SECTOR LA GOBA DE VIDRERES;369
GRUAS VIÑOLAS, SL;373
SISMANDELFOS, SL;372
COL├ÆNIES ROSA DELS VENTS, SA;368
T 500 PURATOS, SA;366
ESTAMPADOS GASERANS, SL;353
COMPAÑIA ESPAÑOLA DISTRIBUIDORA PETROLEOS, SA  (E.S.GASERANS I-II);613
ASDARA MOBILIARI, SA;353
OUTILS WOLF ESPAÑA, SL;354
BAGUÉ SALVÀ, DOLORS -RESTAURANT ELS CORTALS DEL MIG-;350
RETAL IBERIA, SLU;613
PERXISTÓ, SL;353
AJUNTAMENT DE SANT FELIU DE BUIXALLEU;351
MAS MERCADER, NARCIS;352
GASERAN, SA;353
RESERVAT 2000, SL;351
RECUPERACIONS MASNOU, SL;353
GASERAN, SA;353
SISTEMAS TÉCNICOS DE ENCOFRADOS, SA;353
GOHER TEXTIL CALELLA, SA;352
COMPAÑIA ESPAÑOLA DISTRIBUIDORA PETROLEOS, SA  (E.S.GASERANS I-II);613
AJUN.SANT FELIU BUIXALLEU(EDAR I COL.EL DUCAT DEL MONTSENY);354
AJUNTAMENT DE SAT FELIU DE BUIXALLEU - EDAR URB. CAN NOGUERA;353
LAMITOR, SA;353
AJUNTAMENT DE SANT FELIU DE BUIXALLEU;353
PLUS-FELT, SL;353
VILA VILLAGE, SCP (CAMPING ELS PINS);353
ACIN COSTA BRAVA, SL;353
FERRER INTERNACIONAL, SA;353
FUSTERIA GURDO, SL;353
MONTSENYSER, SL  -HOTEL VILAR RURAL DE SANT HILARI-;350
GOHER TEXTIL CALELLA, SA;353
CONCERTO DÉVELOPPMENT IBERICA, SL;353
COMPAÑIA ESPAÑOLA DISTRIBUIDORA PETROLEOS, SA  (E.S.GASERANS I-II);613
IMPRO LACORTE, SL;353
CUMANERA WONDER, SLU;521
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;519
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;519
TP FERRO CONCESIONARIA, S.A;520
EDISTRIBUCION REDES DIGITALES SL -SE LLANÇÀ-;513
GBI SERVEIS, SAU - DIP├ÆSIT CONTROLAT I CTRM DE LLORET DE MAR;
RAURELL VALLS, JOSEP  -TALLER LES ALEGRIES-;
EDISTRIBUCION REDES DIGITALES SL -SE LLORET-;
PARCS AQUÀTICS DE LA COSTA BRAVA, SL  -WATER WORLD-;
ESTEBAN ESPUÑA, SA  -PLANTA PERNIL CURAT-;536
CODERCH PRUNÉS, MARTA;534
COMUNITAT SALESIANA GIRONA;535
LA FAGEDA FUNDACIÓ;619
NOEL ALIMENTARIA, SAU - PLANTA SANT ESTEVE D'EN BAS-;531
FRANCISCO PUIGVERT, SL;536
CLOTA DURAN, LLUIS;532
COM.PROP.NAUS INDUSTRIALS D'OLOT A VIC;531
CONSTRUCCIONES H. HERRERA, SL;532
CONSTRUCCIONES H. HERRERA, SL;532
PLASFUR, SA;537
CARNS I EMBOTITS GARROTXA, SA;531
MOLÍ EL FERRÉ, SC;596
AJUNTAMENT DE LES PRESES - PISCINA MUNICIPAL;533
RESERVES EXPERIENCIA RURAL, S.L.-TURISME RURAL-;619
ESTEBAN ESPUÑA, SA  -PLANTA MULTIPRODUCTE-;538
JOCS L'ESCALA, SL - KARTING L'ESTARTIT-;
LUOK, SL -CASA FONTANA-;396
CREIXELL, SA;395
C.C. DEL BAIX EMPORDÀ (CENTRE ACOLLIDA ANIMALS);395
CASA DARNÉS, SA;
PERE GIRALT SAGRERA, SA  -PLANTA RECICLATGE-;395
AVÍCOLA MARIA, SA;395
CÀMPING BEGUR, SL;
CASA DARNÉS, SA;
PLA-GIRIBERT & TORRES CIA CB  -MAS ISERN-;394
INICIATIVAS TURÍSTICAS, SAU  -C├üMPING EL DELFÍN VERDE-;
ASSISTÈNCIA COSTA BRAVA, SL;395
ARENALES DE MAR, SA -GOLF SERRES DE PALS-;396
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;517
BASE GENERAL ALVAREZ DE CASTRO;518
MORENO SERRANO, IVAN  -DESBALLESTAMENTS MORENO-;523
TEXPLAN, SA;449
TEXPLAN, SA;449
ARNAU ARNAU, JOSE  -GRANJA FONTANIL-;449
