,activitat_,nom_abocam,ind_id,utm_x,utm_y,Niquel,Triclorometà,Plom,Diuron
0,AJUNTAMENT D'AVINYÓ - POL. IND. EL SOLER,AJUNTAMENT D'AVINYÓ - POLÍGON INDUSTRIAL EL SOLER (SORTIDA DEPURADORA),253,414273.8856,4632206.677,1545.8424100000002,0.0,125.64384640000002,3.3789599999999993
1,"PER-PRA, SL","PER-PRA, SL:  RIU DE SALDES",277,396126.9278,4675543.775,0.0,0.0,0.0,0.0
2,"L'ANEC 5 AGLANS, SCP",ÀNEC 5 AGLANS SCP (SORTIDA DEPURADORA COMPACTA),247,418338.8042,4624802.349,0.0,0.0,0.0,0.0
3,"CARBONERES PEDRAFORCA, SA",CARBONES PEDRAFORCA SA (Abocament 2: dutxes pis 2),277,396126.9278,4675543.775,0.0,0.0,0.0,0.0
4,CAMPING CAMPALANS SL,"FRONTANYÀ RURAL, SL (SORTIDA DEPURADORA)",275,417467.7502,4666179.478,0.0,0.0,0.0,0.0
5,FUNDACIÓ UNIVERSITAT I TECNOLOGÍA,FUNDACIÓ PRIVADA UNIVERSITAT I TECNOLOGIA (SORTIDA DEPURADORA),281,402151.7178,4680189.628,0.0,0.0,0.0,0.0
6,"TRACTAMENTS DE SUPERFICIES, SL","Abocament TRACTAMENT DE SUPERFÍCIES, SL -Clavegueram i riu Llobregat",271,406797.339,4656597.406,0.0,0.0,0.0,0.0
7,AJUNTAMENT DE CASTELLNOU DE BAGES,AJUNTAMENT DE CASTELLNOU DE BAGES - TORRENT SERRA DELS MORTS,244,404837.4676,4627633.416,0.0,0.0,0.0,0.0
8,"CANTERAS VALSAN, SA (RA-MONTJUÏC-AMPLIACIÓ II)","CANTERAS VALSAN, SA (MONTJUIC)",240,407015.1025,4617252.838,57.670190000000005,1.7865115919999999,0.7147044800000001,0.0129864696
9,"HERNÁNDEZ PÉREZ, EMILIO","HERNÁNDEZ PÉREZ, EMILIO - CASA CA L'EMILI",241,405926.285,4619357.99,0.0,0.0,0.0,0.0
10,"BALVITEX, SA",BALVITEX SA (SUD) (SORTIDA DEPURADORA),267,407813.5687,4650644.907,0.0,0.0,0.0,0.0
11,SIRAP PACKAGING IBERICA SLU,"Riu Llobregat - IVEX PACKAGING IBERICA, S.L.",266,407160.2782,4643748.719,0.0,0.0,0.0,0.0
14,"HOSTAL PEDRAFORCA, SA",HOSTAL PEDRAFORCA SL (SORTIDA DEPURADORA),587,398086.7993,4677431.153,0.0,0.0,0.0,0.0
15,UTE OLOST-OLVAN,UTE OLOST-OLVAN,268,411080.0211,4653548.565,0.0,0.0,0.0,0.0
16,"VINICOLA DEL PAIS, SAU","Abocament de BODEGAS ROQUETA, SA (022001000193)",252,413548.0073,4629593.385,17301.057,535.9534775999999,214.411344,3.89594088
17,"LA FARGA VELLA,S.L. (HOSTAL LES FONTS)","LA FARGA VELLA, S.L.(HOSTAL LES FONTS) 021996000195",590,417830.6894,4681133.317,0.0,0.0,0.0,0.0
18,"GEOGRAF, SA - CH EL COLLET","ABOCAMENT GEOGRAF, SA - RIERA DE SALDES",278,406652.1634,4674237.129,179.05890699999998,0.0,23.062732799999996,0.0
