,activitat_,nom_abocam,ind_id,utm_x,utm_y,Niquel,Triclorometà,Plom,Diuron
19,"TORRE DE CASANOVA, SCP",TORRENT DE L'OCELLA / RIERA DE CASTELLNOU,248,426033.1143,4629157.836,0.0,0.0,0.0,0.0
20,"AUTOESCOLA FONT, SL","AA2003001645 RIERA ELS JONCARS (AUTOESCOLA FONT, SL)",241,405926.285,4619357.99,0.0,0.0,0.0,0.0
21,"JAUME ESCAYOLA I CIÓ, S.L.","JAUME ESCAYOLA I CIÓ, S.L. (SORTIDA PLUVIALS)",252,413548.0073,4629593.385,0.0,0.0,0.0,0.0
22,"FIBRAS HILADAS ESTEVA, SA","ABOCAMENT FIBRAS HILADAS ESTEVA, SA (AIGÜES SOBRANTS CONDICIONAMENT NAU)",270,402006.5422,4659210.698,0.0,0.0,0.0,0.0
23,"FILATS GONFAUS, SA","FILATS GONFAUS, SA  (SORTIDA DEPURADORA)",265,407378.0417,4642151.707,0.0,0.0,0.0,0.0
24,"PALLARÈS ICART, EDUARD",EDUARD PALLARÈS ICARD (SORTIDA DEPURADORA),251,421677.8444,4632497.043,0.0,0.0,0.0,0.0
25,"SALA RIBALTA, XAVIER",XAVIER SALA RIBALTA - Torrent de Cantagalls,250,418919.5068,4629448.202,0.0,0.0,0.0,0.0
27,"CARBONERES PEDRAFORCA, SA",CARBONES PEDRAFORCA SA (Abocament 1: aigües de mina + dutxes pis 3),277,396126.9278,4675543.775,0.0,0.0,0.0,0.0
28,"FIBRAS HILADAS ESTEVA, SA","FIBRAS HILADAS ESTEVA, SA (SORTIDA DEPURADORA)",270,402006.5422,4659210.698,0.0,0.0,0.0,0.0
29,"A. RAYMOND TECNIACERO, SAU",021993000004 - AB 1,243,405272.9946,4623713.477,0.0,0.0,0.0,0.0
30,"INTERNITCO COMERÇ, SL","INTERNITCO COMERÇ, SL BL20030357 (SORTIDA RESIDUALS SANITÀRIES)",584,407087.6903,4639973.963,0.0,0.0,0.0,0.0
32,"RESTAURANT URBISOL, SL","RIERA DE MALRUBI (RESTAURANT URBISOL, SL)",250,418919.5068,4629448.202,0.0,0.0,0.0,0.0
33,CONSELL COMARCAL DEL BERGUEDÀ,"CONSELL COMARCAL DEL BERGUEDÀ, PLUVIALS SEMINETES, FOCUS 3",272,407450.6295,4662114.356,0.0,0.0,0.0,0.0
34,"ESTACIÓ DE SERVEI BALLUS, SA","ESTACIÓ DE SERVEI OLVAN (BALLÚS, SA) SORTIDA TRACTAMENT",271,406797.339,4656597.406,0.0,0.0,0.0,0.0
35,"VENI ESPORT, SL",AA2003000516-Riera de la Llena,261,422717.6549,4659379.463,0.0,0.0,0.0,0.0
36,SIRAP PACKAGING IBERICA SLU,RIERA DE LA RIBA (SIRAP PACKAGING IBERICA SLU - OLVAN),269,408031.3321,4655072.985,0.0,0.0,0.0,0.0
37,AIGÜES DE MANRESA - BARRI DE VILADORDIS,"AIGÜES DE MANRESA, SA - BARRI DE VILADORDIS (TORRENT INNOMINAT)",241,405926.285,4619357.99,0.0,0.0,0.0,0.0
39,INCASOL,AJUNTAMENT DE SALLENT - POLÍGON INDUSTRIAL PLANS DE LA SALA (SORTIDA DEPURADORA),245,408974.974,4625092.715,0.0,0.0,0.0,0.0
40,"COLLELL CARRILLO, LÍDIA","COLLELL CARRILLO, LÍDIA",258,424291.0063,4654782.619,0.0,0.0,0.0,0.0
41,"EMBUTIDOS SOLÀ, SA","EMBOTITS PERAFITA, S.L.",258,424291.0063,4654782.619,0.0,0.0,0.0,0.0
42,"CAMPING FONT FREDA, SA",CAMPING FONT FREDA SA (Sortida depuradora),603,401716.1908,4663130.637,0.0,0.0,0.0,0.0
43,"TEXPACK ENGINEERING, SA","TEXPACK ENGINEERING, SA (SORTIDA DEPURADORA)",257,407668.393,4637360.671,127.43705399999996,0.0,38.63007744,0.0
44,"BALVITEX, SA",BALVITEX SA (NORD) (SORTIDA DEPURADORA),267,407813.5687,4650644.907,0.0,0.0,0.0,0.0
45,"CAMPING PUIGCERCOS, SL","ABOC CAMPING PUIGCERCÓS, S.L (RIERA DE MERLÈS)",589,421024.5539,4664655.057,0.0,0.0,0.0,0.0
46,"MONTAÑA DOU, LLUÍS","MONTAÑA DOU, LLUÍS (MAS LA TRIA): TORRENT E LA TRIA",256,425307.236,4648249.389,0.0,0.0,0.0,0.0
47,"CAL JOANET, SCP-CAMPING MIRADOR AL PEDRAFORCA",CAMPING MIRADOR AL PEDRAFORCA -MONTSERRAT VILA MIRET- (sortida depuradora),277,396126.9278,4675543.775,0.0,0.0,0.0,0.0
49,"CONILL SEGARRA, JAUME",JAUME CONILL SEGARRA,264,404692.2919,4645055.365,0.0,0.0,0.0,0.0
51,"PEDRACAMP, SL","PEDRACAMP, S.L. (SORTIDA DEPURACIÓ)",588,396707.6305,4676269.69,0.0,0.0,0.0,0.0
53,"GRANJA ESCOLA EL XALOC, SL","GRANJA ESCOLA EL XALOC, SL: ABOCAMENT A LA RIERA DE CALDERS",246,411515.548,4623713.477,0.0,0.0,0.0,0.0
54,"RESTAURANT LA MOLA, SL","RESTAURANT LA MOLA, S.L   (Sortida depuradora)",260,421677.8444,4651080.455,0.0,0.0,0.0,0.0
56,"RODELLAS-SORTS, S.L","RODELLAS-SORTS, S.L - Rec de la Tria",256,425307.236,4648249.389,0.0,0.0,0.0,0.0
57,"CAMPING LLUÇANES, S.A.",CAMPING LLUÇANÉS (ABOC TORRENT DE BARTRONS),256,425307.236,4648249.389,0.0,0.0,0.0,0.0
58,"HIDRODATA, SA - CH BAGA","HIDRODATA, SA  C.H. PENDIS   (SORTIDA DEPURADORA)",280,404910.0554,4678955.573,73.41415186999998,0.0,9.455720447999997,0.0
59,"VILADASES, SL - CAMPING GIRONELLA",CÀMPING GIRONELLA: RIERA DE CLARÀ,586,406942.5147,4651225.638,0.0,0.0,0.0,0.0
60,BASTOS & TORVAL S.L.,BASTOS & TORVAL  (SORTIDA TRACTAMENT),245,408974.974,4625092.715,0.0,0.0,0.0,0.0
61,"SAULEDA, SA","021996000280-SAULEDA,SA",254,420153.5,4636271.799,0.0,0.0,0.0,0.0
62,"BERGUEDÀ NÀUTIC, S.L","BERGUEDÀ NÀUTIC, S.L (sortida depuradora) - Embassament La Baells",274,407305.4538,4663783.96,0.0,0.0,0.0,0.0
63,"RESTAURANT VISTA PIRINEU, SCP","RESTAURANT VISTA PIRINEU, SCP (llera)",249,409991.2036,4626762.319,0.0,0.0,0.0,0.0
67,AJUNTAMENT DE BERGA,AJUNTAMENT DE BERGA -BAR RESTAURANT PARATGE FONT NEGRA (SORTIDA DEPURADORA),273,403530.8866,4662912.862,0.0,0.0,0.0,0.0
68,"PALAU I FILLS, SA","RIERA DE CUFORB (PALAU I FILLS, SA)",270,402006.5422,4659210.698,0.0,0.0,0.0,0.0
69,"CARBONERES PEDRAFORCA, SA",CARBONES PEDRAFORCA SA (Abocament 3: sanitàries oficines),588,396707.6305,4676269.69,0.0,0.0,0.0,0.0
70,"CLAUDI ROCA, S.L.","Abocament CLAUDI ROCA, SL - riera de la Riba",269,408031.3321,4655072.985,0.0,0.0,0.0,0.0
73,"FUNDICION MARTINEZ, S.A.","abocament FUNDICIONES MARTINEZ,SA - torrent del guix",241,405926.285,4619357.99,2018.45665,62.52790572,25.0146568,0.45452643600000003
74,"VALLEJO FIDALGO, E.MIQUEL",E.MIQUEL VALLEJO FIDALGO (SORTIDA DEPURADORA),248,426033.1143,4629157.836,0.0,0.0,0.0,0.0
75,"SISTEMAS DE EMBALAJE SORSA, SA",SISTEMA DE EMBALAJE SORSA (SORTIDA DEPURADORA),585,407813.5687,4649773.809,0.0,0.0,0.0,0.0
77,"FERNANDEZ MARCENARO, FERNANDO",Abocament FERNANDO FERNANDEZ MARCENARO - riera de metge,603,401716.1908,4663130.637,0.0,0.0,0.0,0.0
78,CONSELL COMARCAL DEL BERGUEDÀ,"CONSELL COMARCAL DEL BERGUEDÀ, ABOCAMENT SANITÀRIES. FOCUS 1",272,407450.6295,4662114.356,0.0,0.0,0.0,0.0
79,"SANFEPLAST,SA",SANFEPLAST-Riera de Relat,255,420879.3783,4642732.438,0.0,0.0,0.0,0.0
80,"IBERPOTASH, SA  - MINA SALLENT",IBERPOTASH (SORTIDA SANITÀRIES),262,408757.2105,4629883.751,0.0,0.0,0.0,0.0
84,"REIXAGÓ AGRÍCOLA I RAMADERA, SL","REIXAGÓ AGRÍCOLA I RAMADERA, SL (SORTIDA SANITÀRIES I NETEGES DE SALES DE MUNYIR VAQUES)",259,422839.2497,4650209.358,0.0,0.0,0.0,0.0
87,AJUNTAMENT DE PUIG-REIG (POL. IND.CAN VIDAL II),EDAR POL.INDL.CAL VIDAL II (SORTIDA DEPURADORA),266,407160.2782,4643748.719,0.0,0.0,0.0,0.0
88,FUNDACIÓ AMPANS,ABOCAMENT AMPANS: ABOCAMENT A UN AFLUENT DEL RIU D'OR.,243,405272.9946,4623713.477,0.0,0.0,0.0,0.0
89,"LA MOIANESA, SL","LA MOIANESA, SL (SORTIDA DEPURADORA)",248,426033.1143,4629157.836,0.0,0.0,0.0,0.0
90,"EVOFEED, SL","EVOFEED,SL (SORTIDA TRACTAMENT)",259,422839.2497,4650209.358,0.0,0.0,0.0,0.0
91,"MOLISPELT, SL - CAMPING L'ESPELT","RIU TORT (MOLISPELT, SL)",591,410644.4941,4676705.238,0.0,0.0,0.0,0.0
92,AJUNTAMENT DE CALDERS - NUCLI CALDERS,AJUNTAMENT DE CALDERS - EDAR NUCLI CALDERS,249,409991.2036,4626762.319,0.0,0.0,0.0,0.0
93,CONSELL COMARCAL DEL BERGUEDÀ,"CONSELL COMARCAL DEL BERGUEDÀ, SANITÀRIES, FOCUS 2",272,407450.6295,4662114.356,0.0,0.0,0.0,0.0
94,"AGUSTIN BARRAL, SA",AGUSTIN BARRAL SA - Riu Llobregat,282,415507.8788,4677576.336,2883.5095,89.32557959999998,35.735224,0.64932348
95,"ENDESA GENERACION, SA -CH LA BAELLS","ENDESA GENERACION, S.A CH. LA BAELLS (SORTIDA SISTEMA DE PRETRACTAMENT)",274,407305.4538,4663783.96,1.2754881046575344,0.0,0.16428248021917805,0.0
96,"GONZÁLEZ GARCÍA, MARIA CARMEN","REST&HOST EXPERIENCE, SL (SORTIDA DEPURADORA)",253,414273.8856,4632206.677,0.0,0.0,0.0,0.0
