,activitat_,nom_abocam,ind_id,utm_x,utm_y,Niquel,Triclorometà,Plom,Diuron
65,INCASOL,POLÍGON INDUSTRIAL RIERA DE CASTELLOLÍ - INCASÒL (SORTIDA DEPURADORA),158,388360.0299,4602226.407,0.0,0.0,0.0,0.0
66,"AMAT-3, SA","TORRENT CUBILET (AMAT-3, SA)",171,410136.3793,4594241.347,0.0,0.0,0.0,0.0
67,"BARDINET, SA",BARDINET (SORTIDA RESIDUALS),128,405272.9946,4589377.72,0.0,0.0,0.0,0.0
68,COMUNITAT PROPIETARIS VINYES DEL TURÓ,COMUNITAT DE PROPIETARIS VINYES DEL TURÓ (ABOCAMENT LLERA),170,407886.1565,4593297.659,0.0,0.0,0.0,0.0
69,"RESIDUOS ALTERNATIVOS DE CATALUÑA, SL","RESIDUOS ALTERNATIVOS DE CATALUÑA, SL",185,405998.8729,4597653.146,0.0,0.0,0.0,0.0
70,JUNTA DE COMPENSACIÓ PLAN PARCIAL MASIA BACH,Afluent de Can Sitges CLUB DE GOLF MASIA BACH 022000000281,170,407886.1565,4593297.659,0.0,0.0,0.0,0.0
71,"DIDAC SYSTEMS, SL.","Abocament de DIDAC SYSTEMS, SL (02200100044)",119,412096.2507,4591265.098,0.0,0.0,0.0,0.0
72,"BUTANO MARTORELL, SA","BUTANO MARTORELL, SA",120,409120.1496,4591337.689,0.0,0.0,0.0,0.0
73,"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU",PEATGE MARTORELL SORTIDA 25 EDIFICI E (SORTIDA TRACTAMENT),120,409120.1496,4591337.689,0.0,0.0,0.0,0.0
74,ASOCIACION PROPIETARIOS PARCELISTAS FINCA OASIS,Abocament 2 URBANITZACIO FINCA OASIS - riera de Sant Jaume,173,410862.2576,4599322.749,0.0,0.0,0.0,0.0
75,"MB. PAPELES ESPECIALES, SA","MB PAPELES ESPECIALES, SA (SORTIDA EDAR PROPIA)",155,388432.6177,4599758.298,514764.11594,15946.402470191999,6379.452188480001,115.9172276496
76,"ATLAS GESTION MEDIOAMBIENTAL, SA","ATLAS GESTION MEDIOAMBIENTAL, SA",159,390174.7257,4604839.7,0.0,0.0,0.0,0.0
77,"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU  (PK 171,5): ABOCAMENT A LLERA",120,409120.1496,4591337.689,0.0,0.0,0.0,0.0
80,"DS SMITH PACKAGING DICESA, SA","BLACAR, SA (SORTIDA SANITÀRIES)",146,390247.3135,4590466.592,424.79017999999996,0.0,128.7669248,0.0
82,"CAL PUJOLET, SCP","Abocament CAL PUJOLET, SCP - riera de Marganell",194,400482.1977,4611372.93,0.0,0.0,0.0,0.0
83,"SEGARRA GUITART, PEDRO (ESCORXADOR D'AUS I CONILLS)",Abocament PERE SEGARRA GUITART - Torrent Mas Rovira,141,395763.9887,4583860.77,0.0,0.0,0.0,0.0
84,"PAGES DE ROFES, SL",PAGÈS DE ROFES (SORTIDA DEPURADORA BIOLÒGICA),148,382335.2399,4594822.079,0.0,0.0,0.0,0.0
87,"BALDOSAS VALLES, SL","BALDOSAS DEL VALLÈS, SL",184,399683.7316,4602589.365,0.0,0.0,0.0,0.0
88,LA BALCHETA RECICLAJE SL,RECUPERACION Y RECICLAJE DE RESIDUSO_Riera de Rubí,583,417975.865,4591265.098,0.0,0.0,0.0,0.0
89,"MASIA CAN FERMI, CB","MASIA CAN FERMI, CB: RIERA DE MARGANELL",194,400482.1977,4611372.93,0.0,0.0,0.0,0.0
90,"EXPLOTACIONS FUNERARIES, SL","EXPLOTACIONS FUNERARIES, SL (SORTIDA DEPURADORA)",186,409120.1496,4598596.835,865.05285,26.797673879999998,10.7205672,0.19479704399999997
91,"LOGIVIT, SL","LOGIVIT, SL",599,394457.4077,4588796.989,0.0,0.0,0.0,0.0
92,HOTEL RESTAURANT SOL I VI,"Abocament HOTEL RESTAURANT OL I VI, SL (022000000243)",141,395763.9887,4583860.77,0.0,0.0,0.0,0.0
94,"GARVE , SA",022001000236 - AB 1,156,387416.3881,4599104.975,0.0,0.0,0.0,0.0
96,"MAS-BAGÀ BLANC, MANEL",MANEL MAS-BAGÀ BLANC,105,412967.3047,4585167.416,0.0,0.0,0.0,0.0
97,"BODEGUES SUMARROCA, SL","ABOCAMENT 1 BODEGUES SUMARROCA, SL",133,402224.3056,4587199.977,11707.048569999999,362.66185317599997,145.08500944,2.6362533288
98,"MECANIZADOS RODRIGUEZ HERMANOS, SL.","MECANIZADOS RODRIGUEZ HERMANOS, SL",119,412096.2507,4591265.098,0.0,0.0,0.0,0.0
100,AJUNTAMENT DE CASTELLVÍ DE ROSANES (POL.IND. ROSANES),AJUNTAMENT DE CASTELLVÍ DE ROSANES (POL. IND.),121,407160.2782,4590466.592,0.0,0.0,0.0,0.0
101,"DS SMITH PACKAGING PENEDES, SA","CARTONAJES DEL PENEDÉS, S.A. (SORTIDA DEPURADORA)",145,392860.4754,4589159.946,0.0,0.0,0.0,0.0
102,"UNION INDUSTRIAL PAPELERA, SA","AB. 2 RIU ANOIA - SORTIDA PROCÈS (UNION INDUSTRIAL PAPELERA, SA)",154,390392.4892,4600774.578,0.0,0.0,0.0,0.0
104,CLUB DE TENIS SANT GERVASI,CLUB DE TENIS SANT GERVASI (SORTIDA DEPURADORA),98,422258.5471,4582191.166,0.0,0.0,0.0,0.0
105,"UNION INDUSTRIAL PAPELERA, SA","AB. 1 RIU ANOIA - SORTIDA DOMÈSTIQUES (UNION INDUSTRIAL PAPELERA, SA)",154,390392.4892,4600774.578,13840.8456,428.76278207999997,171.5290752,3.1167527039999996
107,"IBERINOX 88, SA","Abocament 4 IBERINOX 88, SA Riera de la Salut aigües pluvials",100,420806.7904,4582699.306,0.0,0.0,0.0,0.0
