edars,lat,long,Niquel,Triclorometà,Plom,Diuron
ES9080480001010E,41.5334327146674,1.6260494448728,30484.24817004,220.81651989685062,439.5801786768,41.7864078
ES9083000004010E,41.5500614299307,1.96513388348102,263876.3030404603,1379.0909170825184,2724.795081357088,258.8116633189041
ES9082910001010E,41.5731799105457,1.9194903091982,125780.8242222,902.1092686517086,1813.7484276240002,172.41457899999997
ES9081620002010E,41.5320204324704,1.79139922662724,71135.30706065097,371.6550926309332,734.5993259125887,69.77801334816438
ES9081610008010E,41.4946606832063,1.72252555159961,516966.4185234696,3763.5295001645504,7364.705459560108,641.6875198456
ES9082400005010E,41.4236835881109,1.81078369588244,448700.7314916,3218.1144560979255,6470.225101872,615.058362
ES9082220003010E,41.4697026453942,1.83515196748703,84383.7522226981,447.6604882457476,868.3083499162302,82.31140748767122
ES9081190002010E,41.4858505791191,1.81573395649704,294833.29659588,2114.5659619500116,4251.470217489599,404.1439466
ES9082050005010E,41.4345461320576,2.0668843695601,503009.12367467996,3607.618215966607,7253.347342785599,689.5018126
ES9082870007010E,41.4413336574429,1.74876996968896,307017.7083792,1594.7859770328103,3174.7457348880002,301.790723
ES9080980004010E,41.6948480637152,1.7935892861875,113031.4819788,818.7578827636036,1629.904033296,154.938366
