edars,lat,long,Niquel,Triclorometà,Plom,Diuron
ES9080220001010E,42.072860623286,1.8689375521904,880771.9772275201,4575.119805503288,9107.706173932798,865.7768087999999
ES9081910004010E,41.7875111985091,1.90628947058917,445237.4773299599,3193.2757440109963,6420.2852813232,610.3110922
ES9081750001010E,41.9527037297761,1.88332597856911,204696.16269984,1063.282543373474,2116.6800863375997,201.2112046
ES9081390002010E,41.6943293387548,1.87123320351212,129776.8867164,940.0553468767299,1871.371297488,177.89219799999998
ES9082130003010E,41.7433920107169,1.87386607645317,596555.0437769998,4278.536395193808,8602.27128684,817.730265
ES9080120001010E,41.8502276613295,1.97167714830975,83346.4463076,597.7668073667904,1201.848428592,114.24748199999999
ES9080180002010E,41.8932602116709,1.88873708913272,316252.12173408,1642.7536105684555,3270.2350620912,310.86792019999996
ES9080920002010E,42.0194306165023,1.88741953857507,178107.42079872004,925.1688399173917,1841.7366787007998,175.0751368
ES9081660001010E,42.2444929554308,1.97497661265951,49284.77076179999,353.47397969862715,710.6820616560001,67.557301
ES9081380001010E,41.8022960557893,2.10350864171398,208784.75088743996,1497.4195000978136,3010.6577530848003,286.1925508
ES9081710001010E,41.9658369274922,2.03376762222332,103098.41235036,739.4293521263173,1486.6700424911999,141.3225702
ES9080180001010E,41.8480701325454,1.88077576240908,180973.2732192,940.0553468767299,1871.371297488,177.89219799999998
ES9080490002010E,42.0209848659601,1.84618528150139,67400.60322240001,350.10858959925133,696.9623307360001,66.25310599999999
ES9080990001010E,42.2292068749554,1.87846504884523,169616.00621952,881.060671148982,1753.9304008128,166.7282888
ES9082680005010E,42.1460017334032,1.86060862319352,64640.89348415999,335.7734347495182,668.4252904223999,63.5403804
