edars,lat,long,Niquel,Triclorometà,Plom,Diuron
ES9080010001010E,41.5038258160794,1.91455603567021,3035479.3038219986,29889.483367246918,40173.868944609894,3600.8775115254
ES9080910001010E,41.4417753057254,1.85389854546824,234310.1445989605,1700.055434935825,3377.450733227829,320.99087590630137
ES9083020001010E,41.5664050252073,1.64972677599509,3537296.7576240003,40698.95932022072,44057.68455141788,3794.28565013692
ES9081130006010E,41.7045126339898,1.84313920766297,3300405.10056684,23670.746713084674,47591.551404532795,4524.0437838
ES9081140002010E,41.4823906270665,1.92969447337829,1250736.47551196,9224.091533133393,17943.36858978418,1696.7543105090467
ES9081270001010E,41.5993156359354,1.85024421571884,159250.31926187998,1834.924574300337,1984.6769952799998,171.8862758
ES9081840001010E,41.4614726517852,2.00304884415797,3068214.2534632143,21783.42939778325,81932.78843871459,4091.8751089034304
ES9082110001010E,41.382624890444,2.03463839011294,10654606.28394036,76415.6153532417,153638.4859452912,14604.845120200001
ES9082790004050E,41.5199471834786,2.03608008172802,7437634.673883183,53470.847016621025,107223.21587938219,10186.032948911452
ES9080440001010E,41.5237446871542,1.69237380675159,933982.4732302008,432015.9596914297,10929.931780336396,873.0857267146301
ES9080530002010E,41.6230053823484,1.86550743422461,812380.5012492695,9751.714400223325,9982.216603185636,849.7742926157368
