ID,NAME,LAT,LONG,ELEVATION
1,wColomers,42.07686002,2.991162733,18
2,wDarniusBoadella,42.34058878,2.833225165,156
3,wBaells,42.12201452,1.878559556,629
4,wSau,41.96862496,2.413554059,425
5,wSiurana,41.24964238,0.913800784,462
6,wAger,42.05176672,0.73911934,1481
7,wAitona,41.48697148,0.460210126,97
8,wAlbesa,41.76006848,0.671002705,261
9,wAlcanar,40.5571563,0.523268672,22
10,wAlcarras2,41.56509318,0.550269324,124
11,wAlcarras,41.57167006,0.551220041,132
12,wAlgerri2,41.81972281,0.588440568,302
13,wAlgerri,41.80012155,0.648597542,299
14,wAlguaire,41.74279068,0.535742689,371
15,wAltAneu,42.64664121,0.983623976,2240
16,wAmposta,40.70575044,0.629030058,2
17,wAngles,41.96012025,2.63176987,150
18,wAnglesola,41.69007955,1.043695096,291
19,wArbucies1,41.842461,2.42659594,859
20,wArbucies2,41.8400619,2.418776362,18
21,wArres,42.77026914,0.732721176,2243
22,wArtesa,41.91598819,1.045369955,361
23,wAsco,41.19638454,0.512204068,249
24,wBadalona2,41.46681186,2.244709968,78
25,wBadalona,41.47586554,2.251790958,120
26,wBanyoles,42.11366986,2.791581201,162
27,wBarcelona1,41.38381697,2.167668758,13
28,wBarcelona2,41.41858513,2.123895211,409
29,wBarcelona3,41.37920641,2.105421052,82
30,wBatea,41.08672929,0.318925381,382
31,wBegues,41.28853959,1.908476795,572
32,wBellvis,41.67342552,0.812897593,197
33,wBenissanet,41.06278121,0.634691922,32
34,wBerga,42.10721975,1.827465851,1139
35,wBotarell2,41.13742466,1.024231866,148
36,wBotarell,41.15403566,0.997729671,229
37,wCabanes,42.3063787,2.954828468,31
38,wCabrils,41.51751699,2.377472408,79
39,wCaldes,41.61261678,2.168274635,176
40,wCaldes2,41.61280376,2.169220398,175
41,wCamarasa,41.91780346,0.8816943,669
42,wCanyelles,41.28800681,1.721948664,148
43,wCassa,41.87477182,2.927162998,181
44,wCastellAro,41.80901302,3.031746298,14
45,wCastellbisbal,41.47887927,1.975463497,145
46,wCastelldans,41.52913852,0.752983885,228
47,wCastellnouBages,41.83087346,1.847094854,506
48,wCastellnouSeana,41.65677414,0.951749892,263
49,wCerdanyola,41.48405069,2.12742192,84
50,wCervera,41.6757222,1.295806637,557
51,wClariana,41.953766,1.585108748,692
52,wConstanti,41.17047513,1.169917801,108
53,wCruilles,41.92055578,2.917197854,344
54,wCunit,41.20185982,1.633426797,17
55,wDas,42.3878125,1.867668594,1097
56,wDeltebre,40.78771811,0.741662843,0
57,wDosrius,41.61991606,2.445148514,459
58,wMasroig,41.1222639,0.721353503,139
59,wMontmell,41.34235448,1.486292839,549
60,wPerello,40.87311862,0.715634565,173
61,wPoal,41.67299547,0.877358769,223
62,wPontSuert,42.39771913,0.743757573,823
63,wPontVilomara,41.67532853,1.875608327,283
64,wPratLlobregat,41.34045551,2.080219118,8
65,wVendrell,41.21541451,1.52033382,61
66,wAlamus,41.59522791,0.735070829,230
67,wHostaletsPierola,41.53139597,1.807717573,312
68,wPlansSio,41.68823407,1.203677258,428
69,wEspot,42.53523366,1.050531936,2552
70,wFalset2,41.15075835,0.823574307,349
71,wFalset,41.15348076,0.81988532,356
72,wFogars2,41.77362214,2.437737571,1667
73,wFogars,41.75503015,2.465722105,1216
74,wFontrubi,41.43266407,1.624227982,411
75,wGandesa,41.06580941,0.430057842,349
76,wGimenells,41.65711122,0.391986377,260
77,wGirona2,41.96746381,2.811283666,81
78,wGirona,41.98222744,2.806858174,72
79,wGisclareny,42.26476292,1.762143999,1390
80,wGolmes,41.63635404,0.924519614,261
81,wGuardiolaBergueda2,42.22902649,1.876727733,717
82,wGuardiolaBergueda,42.23412339,1.874831612,787
83,wGurb,41.95226574,2.232755939,509
84,wHorta,40.95433376,0.309085875,503
85,wIsona,42.13932006,1.038997965,690
86,wAldea,40.76952965,0.616218846,64
87,wAmetllaMar,40.90912966,0.764308144,96
88,wEspluga,41.39315529,1.099095071,439
89,wBisbalEmporda,41.97742178,3.035354374,30
90,wComa,42.18524458,1.525707241,2294
91,wGranadella,41.36000487,0.667601735,505
92,wPoblaSegur,42.23929637,0.964217276,514
93,wQuar,42.08077637,1.96202869,859
94,wSeuUrgell,42.3707942,1.432727825,848
95,wTallada,42.0541921,3.062020138,15
96,wVallBas,42.14573351,2.454570845,461
97,wVallBoi,42.46495692,0.871486227,2311
98,wLlosses,42.15085459,2.199147919,698
99,wVallsValira,42.51753185,1.365020712,2394
100,wLladorre,42.70042669,1.272091678,2400
101,wLladurs,42.0884068,1.4284066,775
102,wLleida1,41.59822741,0.648553652,165
103,wLleida2,41.59989495,0.645541422,161
104,wLleida3,41.68345424,0.460723172,290
105,wLloret,41.72346015,2.842813797,75
106,wMaials,41.35809638,0.483076968,355
107,wMalgrat2,41.64908131,2.752086882,3
108,wMalgrat,41.64710023,2.756537656,2
109,wMargalef,41.2852973,0.753791239,405
110,wMasBarberans2,40.71480302,0.415154258,211
111,wMasBarberans,40.71831922,0.399273226,240
112,wMediona,41.48492084,1.69190182,328
113,wMeranges,42.46740974,1.779421073,2265
114,wMiralcamp,41.60996072,0.875503049,262
115,wMollerussa,41.61815978,0.871777223,245
116,wMollo,42.37735768,2.414855338,1404
117,wMonistrol,41.59555413,1.836774267,915
118,wMontella,42.28881879,1.713131008,2348
119,wMontmaneu,41.60256359,1.400703282,784
120,wMontmelo,41.54910786,2.245455484,74
121,wMuntanyola,41.87812207,2.178025219,811
122,wNavata,42.22792437,2.862956813,151
123,wOdena,41.58527017,1.653000084,331
124,wOliana,42.07674961,1.315217161,492
125,wOliola,41.87705472,1.154231302,446
126,wOlot,42.1881312,2.470967323,432
127,wOrganya,42.21630854,1.331320224,568
128,wOris,42.07405238,2.20886639,625
129,wOs,41.87743163,0.758533247,546
130,wParets,41.56729124,2.226138009,106
131,wPinos,41.79646293,1.521197,634
132,wPort,41.31723154,2.130905135,4
133,wPortbou,42.43505378,3.166429339,195
134,wPrades,41.31397188,0.997524452,976
135,wPrades2,41.31481068,0.98160998,926
136,wQueralbs,42.39862265,2.155214636,1972
137,wRellinars,41.6327216,1.917432556,424
138,wRibaRoja,41.2439519,0.43277583,61
139,wRiudecanyes,41.12269146,0.969499856,170
140,wRoquetes,40.77051482,0.297363439,1100
141,wRoses,42.27053272,3.182523882,25
142,wSabadell,41.56562666,2.069596759,259
143,wBoi,42.04109412,2.119346323,773
144,wSantCarles,40.62679355,0.662328005,1
145,wSantCugat,41.48311015,2.07955809,157
146,wSantJaume,40.70734383,0.83424695,1
147,wSantLlorenc,41.68135426,2.026600704,529
148,wSantMartiRiucorb,41.57230448,1.088393168,414
149,wSantMartiSarroca,41.37517655,1.63000818,258
150,wSantPau,42.2584787,2.364429353,853
151,wSantPereRibes,41.27845618,1.804703017,159
152,wSantPerePescador,42.17665711,3.095740108,3
153,wSantQuirze,42.09642376,2.214018089,669
154,wSantSadurni,41.43384238,1.794256277,165
155,wSantSalvador,41.67418051,1.767183925,347
156,wFarners2,41.86471258,2.664501271,164
157,wFarners,41.86488356,2.66445218,164
158,wQueralt,41.52985522,1.367064185,715
159,wSeros2,41.46379457,0.427650104,90
