utm_x,utm_y,edar_name,edar_code,ind_id
406071.4607,4600048.664,,,187
404619.7041,4604476.742,,,189
404619.7041,4610356.65,,,192
405055.2311,4611953.662,,,602
405998.8729,4597653.146,,,185
403893.8258,4616672.107,,,203
403748.8145,4617615.96,EDAR MANRESA,ES9081130006010E,204
390755.4283,4599685.706,,,153
390392.4892,4600774.578,,,154
388432.6177,4599758.298,,,155
387416.3881,4599104.975,,,156
385383.9288,4598887.2,EDAR CARME,ES9080480001010E,
389594.023,4601355.31,,,157
389303.6717,4602153.816,,,600
387416.3881,4602516.773,EDAR IGUALADA,ES9083020001010E,
412894.7168,4598887.2,,,176
398159.3871,4615655.826,,,201
413693.183,4600339.03,EDAR VILADECAVALLS (EST),ES9083000004010E,178
397070.5696,4615728.418,,,200
414201.2978,4601718.267,,,179
407305.4538,4610574.424,,,193
398594.9141,4600847.17,,,182
396199.5157,4614203.997,,,199
394384.8199,4612098.845,,,198
409918.6158,4602952.322,EDAR VACARISSES,ES9082910001010E,174
396997.9818,4603750.828,,,183
399175.6167,4598524.243,"EDAR HOSTALETS DE PIEROLA, ELS",ES9081620002010E,180
426178.2899,4573915.741,,,96
415217.5274,4588506.623,,,110
413910.9465,4591192.506,,,117
410136.3793,4594241.347,,,171
409120.1496,4591337.689,,,120
407160.2782,4590466.592,,,121
405272.9946,4589377.72,,,128
402224.3056,4587199.977,,,133
399683.7316,4587490.342,,,142
398522.3263,4588651.806,,,143
397796.4479,4589522.903,,,140
396925.394,4590539.183,,,149
393368.5902,4594459.122,EDAR PIERA,ES9081610008010E,
419209.8582,4594967.262,,,115
400119.2585,4597362.78,,,181
394820.3469,4588579.214,,,144
394457.4077,4588796.989,,,599
390247.3135,4590466.592,,,146
400627.3734,4586474.062,EDAR SANT SADURNÍ D'ANOIA,ES9082400005010E,
397723.8601,4585893.33,,,135
397070.5696,4583788.178,,,136
415435.2909,4583642.995,,,104
412967.3047,4585167.416,,,105
382335.2399,4594822.079,,,148
410644.4941,4592862.11,EDAR MARTORELL,ES9081140002010E,169
391771.658,4585240.007,,,139
418483.9798,4586691.836,,,108
419282.446,4581683.026,EDAR SANT FELIU DE LLOBREGAT,ES9082110001010E,
407886.1565,4593297.659,,,170
402732.4205,4591555.464,EDAR SANT LLORENÇ D'HORTONS,ES9082220003010E,
409337.9131,4581465.252,,,107
421097.1418,4583062.264,,,99
401135.4882,4593370.25,EDAR MASQUEFA,ES9081190002010E,131
420226.0878,4577908.271,,,94
422258.5471,4582191.166,,,98
417467.7502,4584368.91,,,103
416015.9936,4587635.525,,,111
413548.0073,4591773.238,,,596
416741.8719,4590466.592,EDAR RUBÍ,ES9081840001010E,112
417975.865,4591265.098,,,583
418846.919,4593805.799,,,113
418556.5677,4605057.474,,,116
393150.8267,4583134.855,,,138
384077.3478,4592353.97,,,147
394312.232,4593152.476,,,150
391699.0701,4596419.091,,,151
390174.7257,4604839.7,,,159
410862.2576,4599322.749,,,173
399683.7316,4602589.365,,,184
401062.9003,4595910.951,,,177
403748.6501,4607452.992,,,601
404982.6432,4611155.156,,,195
420806.7904,4582699.306,,,100
404692.2919,4613913.631,,,197
395763.9887,4583860.77,,,141
395328.4617,4583425.221,,,137
424653.9455,4576601.624,,,97
418338.8042,4582191.166,,,102
414491.6491,4578343.819,,,101
411805.8994,4582336.349,,,106
422040.7836,4587417.751,EDAR VALLVIDRERA,ES9082050005010E,109
417540.338,4585820.739,,,598
419572.7973,4596927.231,EDAR TERRASSA,ES9082790004050E,114
412096.2507,4591265.098,,,119
402442.0691,4591991.012,,,130
400772.549,4587345.159,,,134
395473.6373,4588506.623,EDAR RIUDEBITLLES,ES9082870007010E,
392860.4754,4589159.946,,,145
390900.604,4597725.737,EDAR VALLBONA D'ANOIA,ES9080440001010E,152
388360.0299,4602226.407,,,158
411370.3724,4598088.695,,,175
409410.5009,4595257.628,EDAR ABRERA,ES9080010001010E,
409700.8523,4595910.951,,,172
409120.1496,4598596.835,,,186
405345.5824,4602807.139,,,188
404184.1771,4605928.571,EDAR MONISTROL DE MONTSERRAT,ES9081270001010E,190
405490.7581,4608541.864,EDAR CASTELLBELL I EL VILAR,ES9080530002010E,191
400482.1977,4611372.93,,,194
405345.5824,4612679.577,,,196
403240.5353,4615147.686,,,202
399611.1437,4616599.515,EDAR SANT SALVADOR DE GUARDIOLA,ES9080980004010E,
412822.129,4592063.604,,,118
404256.7649,4588434.031,EDAR GELIDA,ES9080910001010E,129
402805.0083,4587635.525,,,132
