activitat_,nom_abocam,Punt2
AJUNTAMENT D'AVINYÓ - POL. IND. EL SOLER,AJUNTAMENT D'AVINYÓ - POLÍGON INDUSTRIAL EL SOLER (SORTIDA DEPURADORA),253
"PER-PRA, SL","PER-PRA, SL:  RIU DE SALDES",277
"L'ANEC 5 AGLANS, SCP",ÀNEC 5 AGLANS SCP (SORTIDA DEPURADORA COMPACTA),247
"CARBONERES PEDRAFORCA, SA",CARBONES PEDRAFORCA SA (Abocament 2: dutxes pis 2),277
CAMPING CAMPALANS SL,"FRONTANYÀ RURAL, SL (SORTIDA DEPURADORA)",275
FUNDACIÓ UNIVERSITAT I TECNOLOGÍA,FUNDACIÓ PRIVADA UNIVERSITAT I TECNOLOGIA (SORTIDA DEPURADORA),281
"TRACTAMENTS DE SUPERFICIES, SL","Abocament TRACTAMENT DE SUPERFÍCIES, SL -Clavegueram i riu Llobregat",271
AJUNTAMENT DE CASTELLNOU DE BAGES,AJUNTAMENT DE CASTELLNOU DE BAGES - TORRENT SERRA DELS MORTS,244
"CANTERAS VALSAN, SA (RA-MONTJUÏC-AMPLIACIÓ II)","CANTERAS VALSAN, SA (MONTJUIC)",240
"HERNÁNDEZ PÉREZ, EMILIO","HERNÁNDEZ PÉREZ, EMILIO - CASA CA L'EMILI",241
"BALVITEX, SA",BALVITEX SA (SUD) (SORTIDA DEPURADORA),267
SIRAP PACKAGING IBERICA SLU,"Riu Llobregat - IVEX PACKAGING IBERICA, S.L.",266
"E.ON GENERACION, SL (CENTRAL TERM. DE CERCS)",ENEL VIESGO GENERACIÓN TÉRMICA SL (INDUSTRIALS),276
"COMSA  EMPRESA CONSTRUCTORA, SA","COMSA EMPRESA CONSTRUCTORA, SA (ABOCAMENT AIGUES DE DRENATGE TÚNEL)",279
"HOSTAL PEDRAFORCA, SA",HOSTAL PEDRAFORCA SL (SORTIDA DEPURADORA),587
UTE OLOST-OLVAN,UTE OLOST-OLVAN,268
"VINICOLA DEL PAIS, SAU","Abocament de BODEGAS ROQUETA, SA (022001000193)",252
"LA FARGA VELLA,S.L. (HOSTAL LES FONTS)","LA FARGA VELLA, S.L.(HOSTAL LES FONTS) 021996000195",590
"GEOGRAF, SA - CH EL COLLET","ABOCAMENT GEOGRAF, SA - RIERA DE SALDES",278
"TORRE DE CASANOVA, SCP",TORRENT DE L'OCELLA / RIERA DE CASTELLNOU,248
"AUTOESCOLA FONT, SL","AA2003001645 RIERA ELS JONCARS (AUTOESCOLA FONT, SL)",241
"JAUME ESCAYOLA I CIÓ, S.L.","JAUME ESCAYOLA I CIÓ, S.L. (SORTIDA PLUVIALS)",252
"FIBRAS HILADAS ESTEVA, SA","ABOCAMENT FIBRAS HILADAS ESTEVA, SA (AIGÜES SOBRANTS CONDICIONAMENT NAU)",270
"FILATS GONFAUS, SA","FILATS GONFAUS, SA  (SORTIDA DEPURADORA)",265
