x,y,longitude,latitude,flow_2022
8082,6507,41.32083333,2.1125,37.33055917
8082,6511,41.32083333,2.129166667,16056.31993
8082,6512,41.32083333,2.133333333,16056.31993
8082,6513,41.32083333,2.1375,16056.31993
8081,6507,41.325,2.1125,37.33055917
8081,6508,41.325,2.116666667,16088.92924
8081,6509,41.325,2.120833333,16088.92924
8081,6510,41.325,2.125,16088.92924
8080,6507,41.32916667,2.1125,16119.33521
8079,6496,41.33333333,2.066666667,40.39660937
8079,6505,41.33333333,2.104166667,16119.33521
8079,6506,41.33333333,2.108333333,16119.33521
8078,6496,41.3375,2.066666667,40.39660937
8078,6504,41.3375,2.1,16119.33521
8078,6505,41.3375,2.104166667,88.66007889
8077,6497,41.34166667,2.070833333,40.39660937
8077,6501,41.34166667,2.0875,16074.5622
8077,6502,41.34166667,2.091666667,16074.5622
8077,6503,41.34166667,2.095833333,16074.5622
8077,6505,41.34166667,2.104166667,88.66007889
8076,6497,41.34583333,2.070833333,16074.5622
8076,6498,41.34583333,2.075,16074.5622
8076,6499,41.34583333,2.079166667,16074.5622
8076,6500,41.34583333,2.083333333,16074.5622
8076,6506,41.34583333,2.108333333,88.66007889
8075,6492,41.35,2.05,15882.91273
8075,6493,41.35,2.054166667,15882.91273
8075,6494,41.35,2.058333333,15882.91273
8075,6495,41.35,2.0625,15882.91273
8075,6496,41.35,2.066666667,15882.91273
8075,6507,41.35,2.1125,88.66007889
8074,6491,41.35416667,2.045833333,15094.12308
8074,6508,41.35416667,2.116666667,88.66007889
8073,6476,41.35833333,1.983333333,35.89747267
8073,6491,41.35833333,2.045833333,25341.08502
8073,6509,41.35833333,2.120833333,88.66007889
8073,6510,41.35833333,2.125,88.66007889
8072,6476,41.3625,1.983333333,171.2185592
8072,6491,41.3625,2.045833333,25320.39146
8072,6511,41.3625,2.129166667,88.66007889
8071,6476,41.36666667,1.983333333,171.2185592
8071,6491,41.36666667,2.045833333,25320.39146
8070,6476,41.37083333,1.983333333,171.2185592
8070,6490,41.37083333,2.041666667,25320.39146
8069,6477,41.375,1.9875,171.2185592
8069,6488,41.375,2.033333333,25319.76437
8069,6489,41.375,2.0375,25319.76437
8069,6491,41.375,2.045833333,3055.929084
8068,6477,41.37916667,1.9875,171.2185592
8068,6478,41.37916667,1.991666667,171.2185592
8068,6487,41.37916667,2.029166667,25319.76437
8067,6479,41.38333333,1.995833333,171.2185592
8067,6486,41.38333333,2.025,25319.76437
8066,6422,41.3875,1.758333333,3.215519983
8066,6480,41.3875,2,171.2185592
8066,6481,41.3875,2.004166667,171.2185592
8066,6482,41.3875,2.008333333,171.2185592
8066,6483,41.3875,2.0125,171.2185592
8066,6484,41.3875,2.016666667,171.2185592
8066,6485,41.3875,2.020833333,171.2185592
8066,6486,41.3875,2.025,25319.76437
8065,6421,41.39166667,1.754166667,3.215519983
8065,6464,41.39166667,1.933333333,80.45729812
8065,6465,41.39166667,1.9375,80.45729812
8065,6466,41.39166667,1.941666667,80.45729812
8065,6467,41.39166667,1.945833333,196.8533234
8065,6485,41.39166667,2.020833333,25319.76437
8064,6410,41.39583333,1.708333333,1.371312024
8064,6411,41.39583333,1.7125,1.371312024
8064,6412,41.39583333,1.716666667,1.371312024
8064,6413,41.39583333,1.720833333,1.371312024
8064,6414,41.39583333,1.725,1.371312024
8064,6415,41.39583333,1.729166667,1.371312024
8064,6416,41.39583333,1.733333333,1.371312024
