ID,NAME,LAT,LONG,ELEVATION
53,sFalset2,41.15075835,0.823574307,349
54,sFalset,41.15348076,0.81988532,356
55,sFogars,41.77362214,2.437737571,1667
56,sFontrubi,41.43266407,1.624227982,411
57,sGandesa,41.06580941,0.430057842,349
58,sGimenells,41.65711122,0.391986377,260
59,sGirona2,41.96746381,2.811283666,81
60,sGirona,41.98222744,2.806858174,72
61,sGisclareny,42.26476292,1.762143999,1390
62,sGolmes,41.63635404,0.924519614,261
63,sGuardiolaBergueda2,42.22902649,1.876727733,717
64,sGuardiolaBergueda,42.23412339,1.874831612,787
65,sGurb,41.95226574,2.232755939,509
66,sHorta,40.95433376,0.309085875,503
67,sIsona,42.13932006,1.038997965,690
68,sAldea,40.76952965,0.616218846,64
69,sAmetllaMar,40.90912966,0.764308144,96
70,sEspluga,41.39315529,1.099095071,439
71,sBisbalEmporda,41.97742178,3.035354374,30
72,sComa,42.18524458,1.525707241,2294
73,sGranadella,41.36000487,0.667601735,505
74,sPoblaSegur,42.23929637,0.964217276,514
75,sQuar,42.08077637,1.96202869,859
76,sSeuUrgell,42.3707942,1.432727825,848
77,sTallada,42.0541921,3.062020138,15
78,sVallBas,42.14573351,2.454570845,461
79,sVallBoi,42.46495692,0.871486227,2311
80,sLlosses,42.15085459,2.199147919,698
81,sVallsValira,42.51753185,1.365020712,2394
82,sLladorre,42.70042669,1.272091678,2400
83,sLladurs,42.0884068,1.4284066,775
84,sLleida,41.68345424,0.460723172,290
85,sLloret,41.72346015,2.842813797,75
86,sMaials,41.35809638,0.483076968,355
87,sMalgrat,41.64710023,2.756537656,2
88,sMargalef,41.2852973,0.753791239,405
89,sMasBarberans,40.71831922,0.399273226,240
90,sMediona,41.48492084,1.69190182,328
91,sMeranges,42.46740974,1.779421073,2265
92,sMollerussa,41.61815978,0.871777223,245
93,sMollo,42.37735768,2.414855338,1404
94,sMonistrol,41.59555413,1.836774267,915
95,sMontella,42.28881879,1.713131008,2348
96,sMontmaneu,41.60256359,1.400703282,784
97,sMontmelo,41.54910786,2.245455484,74
98,sMuntanyola,41.87812207,2.178025219,811
99,sNavata,42.22792437,2.862956813,151
100,sOdena,41.58527017,1.653000084,331
101,sOliana,42.07674961,1.315217161,492
102,sOliola,41.87705472,1.154231302,446
103,sOlot,42.1881312,2.470967323,432
104,sOrganya,42.21630854,1.331320224,568
105,sOris,42.07405238,2.20886639,625
106,sOs,41.87743163,0.758533247,546
107,sParets,41.56729124,2.226138009,106
108,sPinos,41.79646293,1.521197,634
109,sPort,41.31723154,2.130905135,4
110,sPortbou,42.43505378,3.166429339,195
111,sPrades,41.31481068,0.98160998,926
112,sQueralbs,42.39862265,2.155214636,1972
113,sRellinars,41.6327216,1.917432556,424
114,sRibaRoja,41.2439519,0.43277583,61
115,sRiudecanyes,41.12269146,0.969499856,170
116,sRoquetes,40.77051482,0.297363439,1100
117,sRoses,42.27053272,3.182523882,25
118,sSabadell,41.56562666,2.069596759,259
119,sBoi,42.04109412,2.119346323,773
120,sSantCarles,40.62679355,0.662328005,1
121,sSantCugat,41.48311015,2.07955809,157
122,sSantJaume,40.70734383,0.83424695,1
123,sSantMartiRiucorb,41.57230448,1.088393168,414
124,sSantMartiSarroca,41.37517655,1.63000818,258
125,sSantPau,42.2584787,2.364429353,853
126,sSantPereRibes,41.27845618,1.804703017,159
127,sSantPerePescador,42.17665711,3.095740108,3
128,sSantQuirze,42.09642376,2.214018089,669
129,sSantSadurni,41.43384238,1.794256277,165
130,sSantSalvador,41.67418051,1.767183925,347
131,sFarners2,41.86471258,2.664501271,164
132,sFarners,41.86488356,2.66445218,164
133,sQueralt,41.52985522,1.367064185,715
134,sSeros,41.46379457,0.427650104,90
135,sSetcases,42.42193946,2.252532623,2356
136,sSolsona,41.98765573,1.511648903,691
137,sTagamanent,41.74765415,2.302826152,1030
138,sTarragona,41.1038862,1.200967403,6
139,sTarrega,41.66727997,1.162939982,435
140,sTivissa,41.04342878,0.740315579,317
141,sTorredembarra,41.14662156,1.418496224,2
142,sTorresSegre,41.51918531,0.548047791,214
143,sTorresSegre2,41.52603202,0.527115324,142
144,sTorroja,41.21373013,0.809977123,330
145,sTremp,42.16252407,0.888133292,474
146,sUlldecona,40.62717597,0.369949079,211
147,sUlldemolins2,41.3200401,0.88561879,686
148,sUlldemolins,41.3190487,0.878733458,631
149,sVacarisses,41.59239847,1.914735119,345
150,sVallfogona,41.78438129,0.827961122,238
151,sVallirana,41.38076264,1.932935318,217
152,sVic,41.93582219,2.238562126,496
153,sVielha2,42.63850113,0.778762509,2239
154,sVielha,42.69888849,0.794105045,998
155,sVilarodona2,41.30891452,1.364801945,294
156,sVilarodona,41.30725303,1.362609678,285
157,sViladecans,41.29846393,2.038550692,2
158,sVilafranca,41.36615109,1.728885633,239
159,sVilanovaMeia,41.99544363,1.025554425,592
160,sVilanovaSegria,41.71455288,0.628401915,222
161,sVilanovaValles,41.55050498,2.286530991,98
162,sVilassar,41.51171214,2.386767277,44
163,sVinebre,41.18431377,0.594328349,49
164,sVinyols,41.08086743,1.066150831,31
