ID,NAME,LAT,LONG,ELEVATION
1,tBarcelona2,41.45247819,2.183636924,121
2,tColomers,42.07686002,2.991162733,18
3,tGuinguetaAneu,42.54828703,1.15913002,865
4,tIsovol,42.37235809,1.813327693,1031
5,tPoblaClaramunt,41.54150917,1.662624502,282
6,tSeuUrgell2,42.36068417,1.453537471,697
7,tBaserca,42.57792599,0.759469481,1409
8,tDarniusBoadella,42.34058878,2.833225165,156
9,tFoix,41.25561732,1.651034658,101
10,tBaells,42.12201452,1.878559556,629
11,tSantPonc,41.96294229,1.605613258,521
12,tSau,41.96862496,2.413554059,425
13,tSiurana,41.24964238,0.913800784,462
14,tTavascan,42.63702533,1.251637252,1101
15,tAger,42.05176672,0.73911934,1481
16,tAitona,41.48697148,0.460210126,97
17,tAlbesa,41.76006848,0.671002705,261
18,tAlcanar,40.5571563,0.523268672,22
19,tAlcarras2,41.56509318,0.550269324,124
20,tAlcarras,41.57167006,0.551220041,132
21,tAlgerri2,41.81972281,0.588440568,302
22,tAlgerri,41.80012155,0.648597542,299
23,tAlguaire,41.74279068,0.535742689,371
24,tAlinya,42.17426207,1.427747271,1161
25,tAltAneu,42.64664121,0.983623976,2240
26,tAmposta,40.70575044,0.629030058,2
27,tAngles,41.96012025,2.63176987,150
28,tAnglesola,41.69007955,1.043695096,291
29,tArbucies1,41.842461,2.42659594,859
30,tArbucies2,41.8400619,2.418776362,18
31,tArres,42.77026914,0.732721176,2243
32,tArtes,41.79243991,1.935570375,281
33,tArtesa,41.91598819,1.045369955,361
34,tAsco,41.19638454,0.512204068,249
35,tBadalona2,41.46681186,2.244709968,78
36,tBadalona,41.47586554,2.251790958,120
37,tBaga,42.25929913,1.859702119,930
38,tBanyoles,42.11366986,2.791581201,162
39,tBarcelona1,41.38381697,2.167668758,13
40,tBarcelona3,41.39395049,2.204608937,4
41,tBarcelona4,41.41858513,2.123895211,409
42,tBarcelona5,41.37920641,2.105421052,82
43,tBatea,41.08672929,0.318925381,382
44,tBegues,41.28853959,1.908476795,572
45,tBellvis,41.67342552,0.812897593,197
46,tBenissanet,41.06278121,0.634691922,32
47,tBerga,42.10721975,1.827465851,1139
48,tBlancafort,41.43651336,1.16048732,428
49,tBotarell2,41.13742466,1.024231866,148
50,tBotarell,41.15403566,0.997729671,229
51,tCabanes,42.3063787,2.954828468,31
52,tCabrils,41.51751699,2.377472408,79
53,tCaldes,41.61261678,2.168274635,176
54,tCaldes2,41.61280376,2.169220398,175
55,tCamarasa,41.91780346,0.8816943,669
56,tCamprodon,42.32380392,2.412378451,1113
57,tCanyelles,41.28800681,1.721948664,148
58,tCassa,41.87477182,2.927162998,181
59,tCastell,41.80901302,3.031746298,14
60,tCastellarHug,42.28014005,2.022688711,1453
61,tCastellarRiu,42.12899294,1.786375666,1985
62,tCastellbisbal,41.47887927,1.975463497,145
63,tCastelldans,41.52913852,0.752983885,228
64,tCastellnou,42.40449518,0.913631237,1517
65,tCastellnouBages,41.83087346,1.847094854,506
66,tCastellnouSeana,41.65677414,0.951749892,263
67,tCastelloEmpuries,42.23817973,3.095372489,4
68,tCerdanyola,41.48405069,2.12742192,84
69,tCervera,41.6757222,1.295806637,557
70,tClariana,41.953766,1.585108748,692
71,tComa,42.16894995,1.561678596,1813
72,tConstanti,41.17047513,1.169917801,108
73,tCruilles,41.92055578,2.917197854,344
74,tCunit,41.20185982,1.633426797,17
75,tDas,42.3878125,1.867668594,1097
76,tDeltebre,40.78771811,0.741662843,0
77,tDosrius,41.61991606,2.445148514,459
78,tMasroig,41.1222639,0.721353503,139
79,tMontmell,41.34235448,1.486292839,549
80,tPerello,40.87311862,0.715634565,173
81,tPoal,41.67299547,0.877358769,223
82,tPontSuert,42.39771913,0.743757573,823
83,tPontVilomara,41.67532853,1.875608327,283
84,tPratLlobregat,41.34045551,2.080219118,8
85,tVendrell,41.21541451,1.52033382,61
86,tAlamus,41.59522791,0.735070829,230
87,tHostaletsPierola,41.53139597,1.807717573,312
88,tPlansSio,41.68823407,1.203677258,428
89,tEspolla,42.38456053,3.007033775,84
90,tEspot,42.53523366,1.050531936,2552
91,tFalset2,41.15075835,0.823574307,349
92,tFalset,41.15348076,0.81988532,356
93,tFogars2,41.77362214,2.437737571,1667
94,tFogars,41.75503015,2.465722105,1216
95,tFontrubi,41.43266407,1.624227982,411
96,tFornells,41.91477887,2.819735293,96
97,tGandesa,41.06580941,0.430057842,349
98,tGimenells,41.65711122,0.391986377,260
99,tGirona2,41.96746381,2.811283666,81
100,tGirona,41.98222744,2.806858174,72
101,tGisclareny,42.26476292,1.762143999,1390
102,tGolmes,41.63635404,0.924519614,261
103,tGuardiolaBergueda2,42.22902649,1.876727733,717
104,tGuardiolaBergueda,42.23412339,1.874831612,787
105,tGurb,41.95226574,2.232755939,509
106,tHorta,40.95433376,0.309085875,503
107,tIsona,42.13932006,1.038997965,690
108,tAldea,40.76952965,0.616218846,64
109,tAmetllaMar,40.90912966,0.764308144,96
110,tEspluga,41.39315529,1.099095071,439
111,tBisbalEmporda,41.97742178,3.035354374,30
112,tBisbalPenedes,41.27319906,1.468812853,180
113,tComa2,42.18524458,1.525707241,2294
114,tGranadella,41.36000487,0.667601735,505
115,tLlacuna,41.47945684,1.535278491,589
116,tPoblaSegur,42.23929637,0.964217276,514
117,tQuar,42.08077637,1.96202869,859
118,tSeuUrgell,42.3707942,1.432727825,848
119,tTallada,42.0541921,3.062020138,15
120,tVallBas2,42.13854153,2.357909733,1284
121,tVallBas,42.14573351,2.454570845,461
122,tVallBoi,42.46495692,0.871486227,2311
123,tLlosses,42.15085459,2.199147919,698
124,tVallsValira,42.51753185,1.365020712,2394
125,tLladorre,42.70042669,1.272091678,2400
126,tLladurs,42.0884068,1.4284066,775
127,tLleida1,41.59822741,0.648553652,165
128,tLleida2,41.59989495,0.645541422,161
129,tLleida3,41.68345424,0.460723172,290
130,tLloret,41.72346015,2.842813797,75
131,tMaials,41.35809638,0.483076968,355
132,tMalgrat2,41.64908131,2.752086882,3
133,tMalgrat,41.64710023,2.756537656,2
134,tMargalef,41.2852973,0.753791239,405
135,tMasBarberans2,40.71480302,0.415154258,211
136,tMasBarberans,40.71831922,0.399273226,240
137,tMediona,41.48492084,1.69190182,328
138,tMeranges,42.46740974,1.779421073,2265
139,tMiralcamp,41.60996072,0.875503049,262
140,tMollerussa,41.61815978,0.871777223,245
141,tMollo,42.37735768,2.414855338,1404
142,tMonistrol,41.59555413,1.836774267,915
143,tMontella1,42.28881879,1.713131008,2348
144,tMontella2,42.32047027,1.662378648,1509
145,tMontmaneu,41.60256359,1.400703282,784
146,tMontmelo,41.54910786,2.245455484,74
147,tMuntanyola,41.87812207,2.178025219,811
148,tNavata,42.22792437,2.862956813,151
149,tNulles,41.25121485,1.298390542,240
150,tOliana,42.07674961,1.315217161,492
151,tOliola,41.87705472,1.154231302,446
152,tOlot,42.1881312,2.470967323,432
153,tOrganya,42.21630854,1.331320224,568
154,tOris,42.07405238,2.20886639,625
155,tOs,41.87743163,0.758533247,546
156,tParets,41.56729124,2.226138009,106
157,tParlava,42.02146305,3.060212741,16
158,tPinos,41.79646293,1.521197,634
159,tPort,41.31723154,2.130905135,4
160,tPortbou,42.43505378,3.166429339,195
161,tPrades,41.31397188,0.997524452,976
162,tPrades2,41.31481068,0.98160998,926
163,tQueralbs2,42.39266382,2.160543178,2141
164,tQueralbs,42.39862265,2.155214636,1972
165,tRellinars,41.6327216,1.917432556,424
166,tRibaRoja,41.2439519,0.43277583,61
167,tRiudecanyes,41.12269146,0.969499856,170
168,tRoquetes,40.77051482,0.297363439,1100
169,tRoses,42.27053272,3.182523882,25
170,tSabadell,41.56562666,2.069596759,259
171,tSaldes,42.22419237,1.724501627,1299
172,tBoi,42.04109412,2.119346323,773
173,tSantCarles,40.62679355,0.662328005,1
174,tSantCugat,41.48311015,2.07955809,157
175,tSantJaume,40.70734383,0.83424695,1
176,tSantLlorenc,41.68135426,2.026600704,529
177,tSantMartiRiucorb,41.57230448,1.088393168,414
178,tSantMartiSarroca,41.37517655,1.63000818,258
179,tSantPau,42.2584787,2.364429353,853
180,tSantPereRibes,41.27845618,1.804703017,159
181,tSantPerePescador,42.17665711,3.095740108,3
182,tSantQuirze,42.09642376,2.214018089,669
183,tSantSadurni,41.43384238,1.794256277,165
184,tSantSalvador,41.67418051,1.767183925,347
185,tFarners2,41.86471258,2.664501271,164
186,tFarners,41.86488356,2.66445218,164
187,tQueralt,41.52985522,1.367064185,715
188,tSeros2,41.46379457,0.427650104,90
189,tSeros,41.46043353,0.407130303,97
190,tSetcases,42.42193946,2.252532623,2356
191,tSolsona,41.98765573,1.511648903,691
192,tSort,42.40527536,1.129938005,679
193,tTagamanent,41.74765415,2.302826152,1030
194,tTarragona,41.1038862,1.200967403,6
195,tTarrega,41.66727997,1.162939982,435
196,tTivissa,41.04342878,0.740315579,317
197,tTornabous,41.68835036,1.044756801,291
198,tTorredembarra,41.14662156,1.418496224,2
199,tTorresSegre,41.51918531,0.548047791,214
200,tTorresSegre2,41.52603202,0.527115324,142
201,tTorroellaFluvia,42.1825812,3.058754822,7
202,tTorroellaFluvia2,42.18178716,3.061563433,7
203,tTorroellaMontgri,42.02300193,3.156810545,5
204,tTorroja,41.21373013,0.809977123,330
205,tTremp,42.16252407,0.888133292,474
206,tUlldecona,40.62717597,0.369949079,211
207,tUlldemolins2,41.3200401,0.88561879,686
208,tUlldemolins,41.3190487,0.878733458,631
209,tVacarisses,41.59239847,1.914735119,345
210,tVallfogona,41.78438129,0.827961122,238
211,tVallirana,41.38076264,1.932935318,217
212,tVentallo,42.1502899,3.064933915,5
213,tVic,41.93582219,2.238562126,496
214,tVielha2,42.63850113,0.778762509,2239
215,tVielha,42.69888849,0.794105045,998
216,tVilarodona2,41.30891452,1.364801945,294
217,tVilarodona,41.30725303,1.362609678,285
218,tVilablareix,41.95347613,2.776068281,115
219,tViladecans,41.29846393,2.038550692,2
220,tViladrau,41.84502747,2.388099793,776
221,tVilafranca,41.36615109,1.728885633,239
222,tVilanovaMeia,41.99544363,1.025554425,592
223,tVilanovaSau,41.97554454,2.398366828,425
224,tVilanovaSegria,41.71455288,0.628401915,222
225,tVilanovaValles,41.55050498,2.286530991,98
226,tVilassar,41.51171214,2.386767277,44
227,tViliella,42.41541338,1.695486949,1558
228,tVilobi,41.88544631,2.741050621,118
229,tVinebre,41.18431377,0.594328349,49
230,tVinyols,41.08086743,1.066150831,31
231,tOdena,41.58527017,1.653000084,331
