ID,NAME,LAT,LONG,ELEVATION
1,pAbrera,41.51074567,1.917310383,58
2,pAsco2,41.18774416,0.569403169,47
3,pBarcelona5,41.45247819,2.183636924,121
4,pBatea2,41.10955301,0.210905383,218
5,pCampllong,41.89797976,2.818842216,97
6,pCardona,41.92066622,1.696075185,395
7,pCastellarValles,41.6084685,2.081258715,233
8,pCastellbell,41.64656164,1.858396556,147
9,pCastellgali2,41.6896457,1.865133209,171
10,pColomers,42.07686002,2.991162733,18
11,pCornudella,41.23564094,0.882483431,378
12,pPapiol,41.44885595,1.995677423,38
13,pEsponella,42.17758312,2.798648637,92
14,pFogarsSelva,41.73895835,2.693885954,36
15,pGarrigas,42.15357771,2.954792036,35
16,pGirona4,41.9750595,2.824550321,66
17,pGuardiolaBergueda2,42.21438557,1.869705979,688
18,pIsovol,42.37235809,1.813327693,1031
19,pJorba,41.58723013,1.554811288,334
20,pBisbalEmporda2,41.96458629,3.03821947,29
21,pPoblaSegur2,42.2632794,1.015627745,540
22,pRoca,41.61966489,2.360394416,158
23,pSeuUrgell2,42.36068417,1.453537471,697
24,pMasies,41.98420721,2.301072223,428
25,pMontblanc,41.36478312,1.179845465,294
26,pPeralada,42.30419876,3.008759796,14
27,pPontMolins,42.31551754,2.917968379,42
28,pRipoll,42.17219216,2.194229581,653
29,pSallent,41.78762938,1.91716489,244
30,pCeloni,41.68034122,2.488976096,132
31,pAbadesses,42.22166429,2.243255294,726
32,pDespi,41.35181064,2.046600124,5
33,pSantQuinti,41.45869656,1.664099955,296
34,pSantSadurni,41.44349748,1.788187977,122
35,pGramenet,41.4505976,2.200589117,12
36,pCristina,41.81813956,2.979121769,35
37,pLlogaia,42.2377829,2.969057765,52
38,pPerpetua,41.52257338,2.197702302,13
39,pSerraDaro,42.02608644,3.070750566,261
40,pSuria,41.81351335,1.762733581,26
41,pTerrassa2,41.53282571,2.033961386,195
42,pVilabella,41.23396684,1.33729486,143
43,pVilanovaGeltru,41.23000026,1.693238299,75
44,pBaserca,42.57792599,0.759469481,1409
45,pEmbCamarasa,41.90830449,0.887204863,333
46,pCanelles,41.97922606,0.611202479,506
47,pDarniusBoadella,42.34058878,2.833225165,156
48,pFlix,41.23412803,0.546423293,42
49,pFoix,41.25561732,1.651034658,101
50,pBaells,42.12201452,1.878559556,629
