Column1;Column2;Column3;Column4;Column5;Column6;Column7
;;valor ng/L;valor ng/L;valor ng/L;valor ng/L;valor ng/L
;;min;max;mean;std;count
cod_estaci;variable;;;;;
010001000;Antracè;0.5;1.0;0.5833333333333334;0.2041241452319315;6
010001000;Benzo(b)fluorantè;0.5;2.0;1.1666666666666667;0.752772652709081;6
010001000;Coure;800.0;3900.0;1614.2857142857142;1065.2520381402255;7
010001000;Diuron;5.0;35.0;12.714285714285714;12.037639382568408;7
010001000;Fluorantè;0.5;1.3;0.8166666666666668;0.36009258068817057;6
010001000;Naftalè;50.0;50.0;50.0;0.0;7
020002000;Antracè;0.5;0.5;0.5;0.0;2
020002000;Benzo(b)fluorantè;0.5;0.5;0.5;0.0;2
020002000;Coure;900.0;6000.0;2326.6666666666665;1148.5809049597226;15
020002000;Diuron;5.0;5.0;5.0;0.0;2
020002000;Fluorantè;0.5;0.5;0.5;0.0;2
020002000;Naftalè;50.0;50.0;50.0;0.0;2
040001000;Antracè;0.5;1.0;0.5833333333333334;0.2041241452319315;6
040001000;Benzo(b)fluorantè;0.5;1.0;0.5833333333333334;0.2041241452319315;6
040001000;Coure;1100.0;2000.0;1633.3333333333333;314.11250638372655;6
040001000;Diuron;5.0;5.0;5.0;0.0;6
040001000;Fluorantè;0.5;1.0;0.5833333333333334;0.2041241452319315;6
040001000;Naftalè;50.0;50.0;50.0;0.0;6
045001000;Antracè;4.0;25.0;8.833333333333334;8.232051182218601;6
045001000;Benzo(b)fluorantè;4.0;100.0;37.333333333333336;35.78640337707419;6
045001000;Coure;1500.0;50000.0;19216.666666666668;17530.478221276982;6
045001000;Diuron;25.0;275.0;87.33333333333333;95.82623162092239;6
045001000;Fluorantè;4.0;36.3;15.383333333333333;12.835952113757148;6
045001000;Naftalè;50.0;50.0;50.0;0.0;6
045040100;Antracè;0.5;0.5;0.5;;1
045040100;Benzo(b)fluorantè;0.5;0.5;0.5;;1
045040100;Coure;250.0;2100.0;542.3076923076923;565.6287629142435;13
045040100;Diuron;5.0;5.0;5.0;;1
045040100;Fluorantè;0.5;0.5;0.5;;1
045040100;Naftalè;50.0;50.0;50.0;;1
050001000;Antracè;0.5;0.5;0.5;;1
050001000;Benzo(b)fluorantè;0.5;0.5;0.5;;1
050001000;Coure;700.0;1500.0;1100.0;565.685424949238;2
050001000;Diuron;5.0;5.0;5.0;;1
050001000;Fluorantè;0.5;0.5;0.5;;1
050001000;Naftalè;50.0;50.0;50.0;0.0;2
050003000;Antracè;0.5;0.5;0.5;0.0;2
050003000;Benzo(b)fluorantè;0.5;0.5;0.5;0.0;2
050003000;Coure;1500.0;5300.0;3400.0;2687.0057685088805;2
050003000;Diuron;5.0;5.0;5.0;0.0;2
050003000;Fluorantè;0.5;0.5;0.5;0.0;2
050003000;Naftalè;50.0;50.0;50.0;0.0;2
050004000;Antracè;0.5;1.0;0.6;0.22360679774997896;5
050004000;Benzo(b)fluorantè;0.5;1.0;0.7;0.27386127875258304;5
050004000;Coure;1100.0;1500.0;1350.0;164.31676725154983;6
050004000;Diuron;5.0;17.0;7.0;4.898979485566356;6
050004000;Fluorantè;0.5;1.0;0.6;0.22360679774997896;5
050004000;Naftalè;50.0;50.0;50.0;0.0;6
050004020;Coure;500.0;3100.0;1242.857142857143;899.7354108424372;7
050005000;Antracè;0.5;0.5;0.5;;1
050005000;Benzo(b)fluorantè;0.5;0.5;0.5;;1
050005000;Coure;1100.0;2600.0;1720.0;563.0275304103699;5
050005000;Diuron;5.0;5.0;5.0;;1
050005000;Fluorantè;0.5;0.5;0.5;;1
050005000;Naftalè;50.0;50.0;50.0;;1
050006000;Antracè;0.5;0.5;0.5;;1
050006000;Benzo(b)fluorantè;0.5;0.5;0.5;;1
050006000;Coure;250.0;500.0;350.0;136.93063937629154;5
050006000;Diuron;5.0;5.0;5.0;;1
050006000;Fluorantè;0.5;0.5;0.5;;1
050006000;Naftalè;50.0;50.0;50.0;;1
050007000;Antracè;0.5;0.5;0.5;0.0;2
050007000;Benzo(b)fluorantè;0.5;0.5;0.5;0.0;2
050007000;Coure;1000.0;1100.0;1050.0;70.71067811865476;2
050007000;Diuron;5.0;5.0;5.0;0.0;2
050007000;Fluorantè;0.5;0.5;0.5;0.0;2
050007000;Naftalè;50.0;50.0;50.0;0.0;2
050008000;Antracè;0.5;2.0;1.0;0.7071067811865476;4
050008000;Benzo(b)fluorantè;0.5;4.0;1.75;1.6583123951777;4
050008000;Coure;1900.0;7600.0;3683.3333333333335;2132.0569098095543;6
050008000;Diuron;13.0;100.0;52.8;40.480859674666;5
050008000;Fluorantè;0.5;2.0;1.0;0.7071067811865476;4
050008000;Naftalè;50.0;50.0;50.0;0.0;5
050009000;Antracè;0.5;1.0;0.625;0.25;4
050009000;Benzo(b)fluorantè;0.5;1.0;0.625;0.25;4
050009000;Coure;1500.0;2100.0;1783.3333333333333;204.12414523193152;6
050009000;Diuron;5.0;5.0;5.0;0.0;5
050009000;Fluorantè;0.5;1.0;0.625;0.25;4
