pixel_number,Crom dissolt,Dimoxistrobina,Famoxadona,Ipconazol,Metconazol,Penconazol,Procloraz,Tebuconazol,Tetraconazol,2-etilhelix,Aclonifè,Etilbenzè,Fluorurs,Metolaclor,Seleni,Terbutilazina,Toluè,Tricloroetilè,Alaclor,Aldrin,Antracè,Atrazina,Benzo(b)fluorantè,Bifenox,Cibutrina,Cipermetrina,Cloroalcans,Clorpirifòs,Compostos de tributilestany,Diclorometà,Diclorvós,Dicofol,Dieldrin,Diuron,Endosulfan,Endrin,Fluorantè,Heptaclor,Isodrin,Isoproturon,Naftalè,Pentaclorobenzè,Quinoxifeno,Simazina,Terbutrina,Trifluralina,Niquel dissolt,Clofenvinfós,Plom dissolt,DBO 5 dies,Nitrogen Total,Amoni,Amoniac,Nitrats,Nitrogen orgànic,Fòsfor total,Fosfats,Nitrogen Kjeldahl,Fòsfor orgànic,1.2-Dicloroetà,p.p-DDT,Èter difenílic polibromat,PFOS,Clotrimazol,Fluconazol,Imazalil,Miconazol,Tetraclorur de carboni,Trimetoprim,1.1.1-Tricloroetà
114403646,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
114491523,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1186643.8356164384,753424.6575342464,322896.2818003913,0.0,0.0,430528.3757338551,188356.1643835616,0.0,753424.6575342464,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
114506130,319415.799536352,0,0,0,0,0,0,0,0,0,0,0.0,7634306.786251598,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,4146.445291666666,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,554255.1377899784,0.0,65984.92618354376,473524482.93333316,522795271.74874425,162175224.71830118,0.0,344439879.3541712,16180167.67627185,53630047.44107102,49662819.12019605,157993039.06457758,3738061.654208305,0.0,0,0,0,159177580.78073895,0,1424732.0864918611,0,0.0,93379576.70103718,0.0
114579332,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,17694063.92694064,21232876.712328766,9436834.09436834,0.0,0.0,11796042.617960425,7077625.570776255,0.0,21232876.712328766,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
114637914,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,102739726.02739726,34246575.34246575,0.0,0.0,68493150.68493152,17123287.671232875,0.0,102739726.02739726,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
114667234,2.5171232876712324,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.13127853881278537,0,0,0,0.0,0.0,0,0.0,0,0.0,7.265981735159818,0.0,2.1917808219178077,54937.214611872136,22831.0502283105,8561.643835616438,0.0,0.0,14269.406392694063,5707.762557077625,0.0,22831.0502283105,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
114696280,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,8309775.840597758,7599885.844748857,3684772.9578893958,0.0,570776.2557077626,3344336.6311517004,1507206.0502283105,0.0,6938529.878896168,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
114725618,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,104166666.66666667,64367816.09195402,56000000.0,0.0,6436781.609195403,1931034.4827586242,18492509.36329588,0.0,151041666.66666666,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
114740360,10.06849315068493,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.5251141552511415,0,0,0,0.0,0.0,0,0.0,0,0.0,29.063926940639274,0.0,8.76712328767123,125219748.85844749,104267917.41115744,48648528.66565195,0.0,10416666.666666666,45202722.078838825,41694014.29422275,0.0,154481592.62483266,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
114813361,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,45662100.456621,39954337.89954338,17123287.671232875,0.0,0.0,22831050.228310507,11415525.11415525,0.0,39954337.89954338,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
