id,pixel_number,Ciprofloxacina,Sulfametoxazol,Trimetoprim,Venlafaxina,Clorobenzè,Hexabromociclodecà,Octilfenols,Tetracloroetilè,Triclorometà,Nonilfenols,Cloroalcans,Diuron,Plom,Mercuri,Zinc,Niquel
1,115077114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,114828220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,114989078,18.72,0.0,8.559,8.4525,0.0,0.0,35.502,0.8595000000000002,10719.069551999999,22.080000000000002,0.0,77.9188176,4288.226880000001,25.500000000000004,13722.000000000002,346021.1400000001
4,114740360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.65464109589039,0.0,413.4246575342466,408.81028995433786
5,114989182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,114886646,2751469.058699314,256.05052333143027,70518525.39010146,48962521.136929095,0.0,61.23315000000005,0.0,0.0,28900.039745135047,0.0,0.0,5468.924366666667,57531.4049912,132559.63418832523,1372072.3835727817,3989719.537859999
7,114828087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,114842675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,114813443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,114828026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,114916103,1303.2785388127854,0.0,35.38099315068492,0.5472260273972602,0.0,0.0,74.43531963470319,3.220456621004566,22474.15267561644,67.20187214611872,0.0,163.3686015890411,8990.917088584474,75.47945205479452,139662.14611872143,725485.7235159818
12,114667234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.163660273972598,0.0,103.35616438356165,102.20257248858447
13,114886820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,114506130,3396686.36578699,351.0308912928336,93379576.70103718,79126944.11687909,0.0,75.59227500000007,0.0,0.0,35324.651896523035,0.0,0.0,6751.382783333334,71022.47372919999,163644.76303216934,1693822.2668430286,4925305.59801
15,114725618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,115047807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,115721257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,115838359,158978263.70043534,16429.624520255347,4370530973.522176,3703451785.931444,0.0,3538.0153875000033,0.0,0.0,1653332.4598046497,0.0,0.0,315991.2328916667,3324130.7383885994,7659217.687146026,79277535.22143324,230523648.00370494
19,115896917,167876.7123287671,135142.92237442924,0.0,938758.7671232877,0.0,0.0,25667.35159817352,7252.100456621006,7749707.819178082,15963.470319634704,0.0,56334.00054794521,3100316.2374429232,18219.178082191782,6197990.86757991,250167490.8675799
20,115062505,13363653.37730748,1381.068091306641,367385198.7400754,311310771.7669872,0.0,297.4042500000002,0.0,0.0,138978.5081054448,0.0,0.0,26562.10483333333,279425.186404,643830.9736809755,6664039.955190537,19377731.618699998
