id,pixel_number,Trimetoprim
1,115077114,0.0
2,114828220,0.0
3,114989078,0.0
4,114740360,0.0
5,114989182,0.0
6,114886646,1545442.1518759897
7,114828087,0.0
8,114842675,0.0
9,114813443,0.0
10,114828026,0.0
11,114916103,0.0
12,114667234,0.0
13,114886820,0.0
14,114506130,3815694.215999067
15,114725618,0.0
16,115047807,0.0
17,115721257,0.0
18,115838359,178589476.9035519
19,115896917,0.0
20,115062505,15012164.62315151
21,115340647,0.0
22,115355276,0.0
23,115311331,0.0
24,115325969,0.0
25,115808937,0.0
26,115311312,0.0
27,115296668,0.0
28,115267385,0.0
29,115765020,21034229.35168577
30,115662536,0.0
31,115223441,0.0
32,115194143,0.0
33,115413649,0.0
34,115150212,643729.4813855476
35,115355088,17673076.945061997
36,115179482,0.0
37,115164771,0.0
38,115179471,0.0
39,115208681,0.0
40,115823775,0.0
41,115164826,0.0
42,115194159,0.0
43,115135502,0.0
44,115150225,0.0
45,115135506,2202685.038405128
46,115120946,0.0
47,115062385,0.0
48,115091678,0.0
49,115311297,0.0
50,115091751,0.0
51,115296598,0.0
52,115150306,0.0
53,115311237,0.0
54,115677192,0.0
55,115179477,0.0
56,115223397,45428382.61861863
57,115428345,0.0
58,115896841,0.0
59,115721264,0.0
60,115604125,0.0
61,115296649,0.0
62,115852888,1015962.3685226102
63,115501547,0.0
64,115194208,0.0
65,115384469,0.0
66,115413696,0.0
67,115896801,0.0
68,115413693,0.0
69,115399098,0.0
70,115794333,0.0
71,115516263,0.0
72,115472236,0.0
73,115984747,0.0
74,115984629,0.0
75,115999383,609331.7228382281
76,115969974,0.0
77,115852941,0.0
78,116013945,0.0
79,115984757,0.0
80,116072601,1783155.2332655005
81,116043222,0.0
82,116614250,0.0
83,116745979,0.0
84,116614333,0.0
85,116306836,0.0
86,116292196,0.0
87,116306836,0.0
88,116321474,0.0
89,116584925,8101900.6292703925
90,116028674,0.0
91,116394691,0.0
92,116335982,7203873.443155684
93,116116521,0.0
94,116277535,0.0
95,116101746,54778430.48660604
96,116409391,0.0
97,116658194,0.0
98,116028548,0.0
99,116687457,3841492.5349095557
100,116043383,0.0
101,116218972,0.0
102,116043394,0.0
103,116643557,0.0
104,116731294,0.0
105,116379937,0.0
106,116482443,0.0
107,116043216,0.0
108,116043175,0.0
109,116614301,0.0
110,116101757,1264117.6266139855
111,116702097,369161.6586953378
112,116585015,0.0
113,116087227,0.0
114,116746001,0.0
115,117287578,0.0
116,117229018,20325389.827335652
117,117038750,13858611.740239346
118,116936286,0.0
119,116921563,2119761.8704785537
120,116921585,0.0
121,116892377,2128361.310115384
122,116892362,0.0
123,116892341,0.0
124,116848468,0.0
125,116863095,2277008.7666948712
126,116819136,0.0
127,116848454,0.0
128,117492547,0.0
129,117390077,0.0
130,117302179,0.0
131,117302202,20292220.560165025
132,117199718,0.0
133,117331586,0.0
134,117580338,0.0
135,117360817,0.0
136,117038725,4963105.161827504
137,116877821,0.0
138,117082675,0.0
139,117390038,0.0
140,117536409,0.0
141,117433970,0.0
142,117316832,0.0
143,117390006,0.0
144,117726766,0.0
145,117682829,0.0
146,117756035,0.0
147,117785303,0.0
148,117829245,0.0
149,117785302,0.0
150,117594981,0.0
151,117331458,13897922.944493702
152,117082573,1420750.5602530723
153,117609641,0.0
154,117712126,0.0
155,117580373,0.0
156,117536456,81350824.12434374
157,117390059,0.0
158,117009407,3452060.768498833
159,116877637,0.0
160,117463273,12324225.49095384
161,117346161,0.0
162,117272967,29921135.97066106
163,117229052,0.0
164,117170500,0.0
165,117126578,10834065.451028898
166,117346185,0.0
167,116965609,0.0
168,116614260,15426166.217096029
169,116541067,2799731.847476455
170,116599567,0.0
171,116877747,0.0
172,116892384,0.0
173,116863095,0.0
174,116936290,0.0
175,116994843,0.0
176,117038758,0.0
177,117053392,0.0
178,116541107,0.0
179,116131236,0.0
180,115999464,162160.86172307684
181,115999445,0.0
182,115677359,0.0
183,115633435,0.0
184,115706633,0.0
185,115589498,0.0
186,115735908,971122.4332734261
187,115721260,0.0
188,115750534,0.0
189,115735883,0.0
190,115574830,0.0
191,115984750,0.0
192,116145797,0.0
193,116262915,1265346.1179906754
194,116219009,0.0
195,116394681,0.0
196,116467887,0.0
197,116585015,0.0
198,116380035,0.0
199,116511800,0.0
200,116336099,1815710.2547477847
201,116145797,0.0
202,116028662,2797889.110411421
203,115955458,0.0
204,116014003,0.0
205,116043281,0.0
206,116013990,0.0
207,115691885,0.0
208,115589399,0.0
209,116262841,3519013.5485284366
210,116453128,0.0
211,116043195,0.0
212,116101746,0.0
213,116365258,0.0
214,116409177,4654753.82627832
215,115896780,0.0
216,115589334,614.245688344988
217,115545410,0.0
218,115150120,0.0
219,115106189,0.0
220,114886600,1229105.6223783214
221,114696280,0.0
222,114813361,0.0
223,115150138,0.0
224,115091589,0.0
225,115047680,0.0
226,115355259,0.0
227,115340614,0.0
228,115311320,0.0
229,115369835,0.0
230,115486963,0.0
231,115384465,0.0
232,115223449,0.0
233,115003790,0.0
234,115545468,0.0
235,115179451,0.0
236,115077101,0.0
237,114403646,0.0
238,117785325,155627800.22068033
239,117609632,123900726.28744423
240,116819103,2841500.5542839146
241,116584971,0.0
242,117097313,4692837.0589557085
243,116160486,0.0
244,116189570,0.0
245,114828040,0.0
246,114637914,0.0
247,115384429,0.0
248,115179473,0.0
249,117009537,17220029.751040563
250,116980254,0.0
251,116907016,0.0
252,116965565,0.0
253,116438659,0.0
254,116379925,0.0
255,116218863,0.0
256,115472209,0.0
257,115194149,1292372.928277855
258,115179486,2549733.8523200457
259,115091750,0.0
260,114959994,59078150.421138465
261,116687338,0.0
262,115838437,0.0
263,115179621,0.0
264,115984699,0.0
265,115999326,0.0
266,115838415,0.0
267,115970170,0.0
268,114828257,0.0
269,115223450,1449619.824494172
270,115794505,0.0
271,115501517,0.0
272,115706459,0.0
273,115955348,32704897.430240545
274,116731324,0.0
275,116540993,0.0
276,114828141,0.0
277,114901444,2243225.598671102
278,116160307,0.0
279,117756027,0.0
280,117624264,0.0
281,117668209,170408952.82617337
282,117404660,0.0
283,117243616,0.0
284,117111852,0.0
285,117536435,0.0
286,117390041,0.0
287,117433985,113728818.35261561
288,117097252,4795416.088909321
289,116936205,0.0
290,117126548,20432274.73787233
291,116658056,14282440.745397659
292,116658056,0.0
293,117360798,0.0
294,117316882,0.0
295,117214415,0.0
296,117097285,0.0
297,116921602,0.0
298,117346180,1401094.4151149178
299,117038820,0.0
300,116848486,3571224.43203776
301,116643507,0.0
302,116453200,14421260.27096363
303,116892382,0.0
304,116804532,0.0
305,117009481,20057578.707217243
306,117170520,0.0
307,116716656,0.0
308,116570380,0.0
309,116599688,0.0
310,116306916,0.0
311,116014088,0.0
312,115662688,0.0
313,115794448,5697743.005088109
314,115618758,34967779.95647081
315,115677301,0.0
316,115574835,0.0
317,116394681,21562480.64366246
318,116350746,0.0
319,115721188,0.0
320,116028656,0.0
321,116072558,6841468.476786477
322,116101822,0.0
323,115750452,1898019.1769860133
324,115838271,0.0
325,116292090,0.0
326,116013914,7909027.483130067
327,115633285,0.0
328,115252621,0.0
329,115237966,0.0
330,117961015,0.0
331,115311377,0.0
332,115355262,0.0
333,115223478,0.0
334,115399102,0.0
335,115238085,0.0
336,114857398,0.0
337,115164853,143733.49107272722
338,115252681,0.0
339,114857506,0.0
340,114579332,0.0
341,114491523,0.0
342,114930746,906012.3903088574
343,116833837,0.0
344,116877749,2453297.279249883
345,116453107,1117927.1527878782
346,115838383,0.0
347,116101743,0.0
348,116863080,0.0
349,115897001,0.0
350,115911637,0.0
351,116687464,1122226.8726062933
352,116687469,0.0
353,115164972,0.0
354,115091753,0.0
355,115194241,0.0
356,115076874,0.0
357,114988995,0.0
358,115677088,10194021.44377342
359,115559972,0.0
360,115896636,0.0
361,115911330,0.0
362,115457424,1233405.3421967358
363,115530650,0.0
364,115779573,0.0
365,115428240,0.0
366,115120739,0.0
367,116687258,14372120.615896031
368,116277332,0.0
369,116145571,0.0
370,116116292,2369145.619946619
371,116628663,0.0
372,116672620,0.0
373,116028399,0.0
374,116043008,0.0
375,115940524,0.0
376,116379849,0.0
377,116189531,0.0
378,116599466,0.0
379,117536370,0.0
380,117389965,0.0
381,117199645,0.0
382,117155726,0.0
383,117009329,2094577.7972564092
384,117609570,0.0
385,116994682,0.0
386,116980042,0.0
387,116862914,0.0
388,116980040,0.0
389,116980038,0.0
390,117550965,0.0
391,117507044,0.0
392,116877533,0.0
393,117536319,0.0
394,117565596,0.0
395,117580231,492010.7963643354
396,116833649,19256602.32961538
397,116775086,0.0
398,117492402,0.0
399,117477761,0.0
400,117463115,0.0
401,117404545,0.0
402,117345969,0.0
403,117302047,0.0
404,117565669,0.0
405,117404552,0.0
406,117038586,0.0
407,117507112,3043655.3910808084
408,117038583,0.0
409,117463193,0.0
410,117302073,0.0
411,117199652,0.0
412,117507068,0.0
413,117082500,0.0
414,117155695,0.0
415,117433900,4060163.999960371
416,117433864,0.0
417,117550992,820632.239628904
418,118326987,0.0
419,117887756,0.0
420,117799912,0.0
421,117712061,0.0
422,117799898,0.0
423,117829173,0.0
424,117858447,0.0
425,117931639,0.0
426,117931632,0.0
427,117887708,0.0
428,117858426,0.0
429,117829143,0.0
430,117712013,0.0
431,118356085,0.0
432,117682807,0.0
433,117565634,0.0
434,118326763,0.0
435,118400074,0.0
436,118429344,0.0
437,117887697,0.0
438,118341519,0.0
439,117887696,0.0
440,118077874,0.0
441,117843765,0.0
442,117960914,14483913.33117482
443,118282961,64098994.65274466
444,118268322,0.0
445,118033967,0.0
446,117975547,0.0
447,118502456,30111554.38929023
448,118253718,0.0
449,118429375,0.0
450,118034104,0.0
451,118034158,0.0
452,118224443,0.0
453,118268367,0.0
454,117990230,0.0
455,117697341,0.0
456,117770624,0.0
457,118019310,0.0
458,118034087,0.0
459,118253734,7245642.139717478
460,117946325,0.0
461,118122007,0.0
462,117741335,0.0
463,117799880,964979.9926742228
464,118253735,0.0
465,117990126,0.0
466,118078064,0.0
467,118136651,0.0
468,117785239,9517122.695217244
469,118531765,0.0
470,118531774,0.0
471,118956296,0.0
472,118927016,0.0
473,118897736,0.0
474,118546451,0.0
475,118517173,0.0
476,118458660,0.0
477,118487895,1342126.829033799
478,119014815,3976012.340657108
479,119146603,0.0
480,118751338,0.0
481,119014842,0.0
482,118985561,0.0
483,118678141,0.0
484,118985556,0.0
485,118678115,0.0
486,118927000,0.0
487,118970915,0.0
488,118795200,0.0
489,118648863,0.0
490,118912319,0.0
491,118912360,0.0
492,118736638,1099499.782137529
493,118941584,0.0
494,119058721,1123455.3639829832
495,118941625,0.0
496,118736716,0.0
497,118590376,3581052.3630512804
498,119834574,0.0
499,118941625,0.0
500,118985548,67919602.8081957
501,119029479,0.0
502,119000165,0.0
503,118897684,0.0
504,118941631,0.0
505,118853816,0.0
506,118809896,9856186.315183679
507,118722047,0.0
508,118531719,0.0
509,118077908,0.0
510,118473178,0.0
511,118282869,1456376.527065967
512,117975405,421372.54220466176
513,118048576,0.0
514,118780646,0.0
515,118238966,0.0
516,118590376,848273.2956044284
517,118502526,0.0
518,118063361,0.0
519,118400128,0.0
520,118326894,0.0
521,118268330,0.0
522,118400107,0.0
523,118341549,0.0
524,118224492,0.0
525,118136651,0.0
526,118034163,0.0
527,117917038,0.0
528,117785271,0.0
529,117829200,0.0
530,117799924,0.0
531,117712086,0.0
532,117360725,0.0
533,118063373,0.0
534,117785186,0.0
535,117755936,0.0
536,117653448,0.0
537,117375284,0.0
538,117389897,0.0
539,117375239,0.0
540,116965331,2109933.9394650343
541,117551023,0.0
542,117477794,0.0
543,117653475,0.0
544,117302123,0.0
545,117170366,0.0
546,116936119,0.0
547,116892179,0.0
548,116745788,0.0
549,116643304,0.0
550,116570102,3774539.754879952
551,116511538,0.0
552,116482252,0.0
553,116233368,3171964.7346135187
554,116130858,0.0
555,116101571,0.0
556,115369583,0.0
557,115281736,0.0
558,116921488,0.0
559,116584790,0.0
560,116511592,0.0
561,116453033,2690396.1149510476
562,115647855,0.0
563,116306613,3660290.056847784
564,115955252,0.0
565,115925972,0.0
566,115867412,2061408.53008578
567,115516051,0.0
568,115179328,0.0
569,115120739,0.0
570,115032923,0.0
571,115076873,1590896.332813519
572,119366120,0.0
573,118868411,0.0
574,119088029,0.0
575,118151083,4325518.137325406
576,118663567,0.0
577,118487880,0.0
