id,pixel_number,Ciprofloxacina,Clorobenzè,Diclorobenzè ,Hexabromociclodecà,Mercuri dissolt,Nonilfenols,Octilfenols,Sulfametoxazol,Tetracloroetilè,Trimetoprim,Venlafaxina
1,115077114,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,114828220,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,114989078,0.0,0.0,0,0.0,25.500000000000004,37.196999999999996,48.349500000000006,0.0,0.8595000000000002,8.559,8.4525
4,114740360,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,114989182,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,114886646,2751469.058699314,0.0,0,61.23315000000005,132559.63418832523,0.0,0.0,256.05052333143027,0.0,70518525.39010146,48962521.136929095
7,114828087,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,114842675,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,114813443,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,114828026,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,114916103,9.177043378995434,0.0,0,0.0,75.47945205479452,454.9146575342465,78.3854109589041,0.0,3.220456621004566,35.38099315068492,0.5472260273972602
12,114667234,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,114886820,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,114506130,3396686.36578699,0.0,0,75.59227500000007,163644.76303216934,0.0,0.0,351.0308912928336,0.0,93379576.70103718,79126944.11687909
15,114725618,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,115047807,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,115721257,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,115838359,158978263.70043534,0.0,0,3538.0153875000033,7659217.687146026,0.0,0.0,16429.624520255347,0.0,4370530973.522176,3703451785.931444
19,115896917,3125.0228310502284,0.0,0,0.0,18219.178082191782,3626.4840182648404,0.0,135142.92237442924,7252.100456621006,0.0,938758.7671232877
20,115062505,13363653.37730748,0.0,0,297.4042500000002,643830.9736809755,0.0,0.0,1381.068091306641,0.0,367385198.7400754,311310771.7669872
21,115340647,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,115355276,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,115311331,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,115325969,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,115808937,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,115311312,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,115296668,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,115267385,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,115765020,18724424.9694156,0.0,0,416.70667500000036,902100.9763801686,0.0,0.0,1935.0775662317765,0.0,514760177.8091302,436191737.65911263
30,115662536,6.054183789954338,0.0,0,0.0,49.794520547945204,300.11157534246576,51.711609589041096,0.0,2.124566210045662,23.341181506849313,0.3610102739726027
31,115223441,2106.9796666666666,0.0,0,0.0,47.50000000000001,0.0,12.692,1275.451,47.395500000000006,3728.197416666666,1301.1469166666668
32,115194143,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,115413649,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,115150212,1146080.9115726848,0.0,0,25.505700000000022,62253.877463159704,0.0,0.0,147.4441939165865,0.0,31507339.466415633,26698337.873306274
35,115355088,15732366.406378513,0.0,0,350.11927500000024,757950.2771992236,0.0,0.0,1625.8629755758868,0.0,432504375.53802985,366490733.440252
36,115179482,864.48,0.0,0,0.0,5040.0,60000000.0,0.0,37384.799999999996,2006.16,0.0,259690.31999999998
37,115164771,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,115179471,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,115208681,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,115823775,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,115164826,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,115194159,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,115135502,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,115150225,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,115135506,3921608.9207057706,0.0,0,87.27427500000009,213017.5616248957,0.0,0.0,504.5180146802282,0.0,107810419.20473902,91355190.47106516
46,115120946,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,115062385,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,115091678,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,115311297,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,115091751,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,115296598,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,115150306,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,115311237,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,115677192,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,115179477,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,115223397,40439814.91321222,0.0,0,899.9764125000006,1948299.965282225,0.0,0.0,4179.256706090694,0.0,1111746093.6341448,942059004.0238479
57,115428345,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,115896841,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,115721264,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,115604125,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
